Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_HSL_98232_1,[Supply of Aluminium Diffuser Boxes for INS JAMUNA],29-Sep-2025 03:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFgzE%2FO2%2Bt9QkOdcBknhsVA%3D%3D
2,2025_HSL_98191_1,[Overhauling of Air bottle  on ORV Sindhu sankalp],23-Sep-2025 05:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,30-Sep-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUEXCAKsxFeke2KlpICRFtw%3D%3D
3,2025_HSL_98172_1,[PROCUREMENT OF 230V AC AND 24V DC DISTRIBUTION BOARDSFOR 05XFSS VC 11200-204],20-Sep-2025 03:00 PM,Hindustan Shipyard Limited||MAIN PURCHASE,04-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFdsJVRMN%2BHRXSoTVHZfoRw%3D%3D
4,2025_HSL_97985_1,"[Supply, Installatio, commissioing of Marine Emergency Diesel Generator along with control panel   for ORV Sagar kanya ]",19-Aug-2025 05:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SqHPhbJQH5iIR7gFDdLzMrg%3D%3D
5,2025_HSL_98219_1,[Hiring of 125 KVA step down transformer as per attached scope of work for RV Sindhu Sankalp],26-Sep-2025 03:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,01-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5OQv9ob8qcugz2DEQ9cuaQ%3D%3D
6,2025_HSL_98218_1,[Hiring of 125 KVA DG Set as per attached scope of work for RV Sindhu Sankalp],26-Sep-2025 03:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,01-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbhOgNVxjoaSCw1Dv6rC5Rg%3D%3D
7,2025_HSL_98192_1,[Repair works of Anchor shank on ORV Sagar Kanya],23-Sep-2025 05:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,30-Sep-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Stk3TCQd46PWCjXT8ju1xsQ%3D%3D
8,2025_HSL_98180_1,[Renewal of Relays on ORV Sindhu sankalp],22-Sep-2025 05:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S07Br6bFtcVQ22WbnGzgmrw%3D%3D
9,2025_HSL_98187_1,[Works of Alarm monitoring system on ORV Sindhu sankalp],23-Sep-2025 12:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,30-Sep-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sl5op7ckA%2Bjd3S1qILwXe3A%3D%3D
10,2025_HSL_98120_1,[Hiring of portable chilled water plant of 80 TR capacity],13-Sep-2025 09:00 AM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,06-Oct-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SLNA6nx0hBG8dvO6CbnQULg%3D%3D
11,2025_HSL_98189_1,"[To Establish Rate Contract (RC) with an experienced classification society for availing the services in Ship Building,Submarine an Ship repairs in carrying out the inspections/surveys in the yard as well as in NABL Labs and OEM Premises in Vizag]",23-Sep-2025 02:00 PM,Hindustan Shipyard Limited||SHIP BUILDING OUTSOURCING,13-Oct-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SPk1YkmyDBjhHxhKmNIg3VQ%3D%3D
12,2025_HSL_98028_1,[Hiring of 2 Portable AC units for INS SHAKTI ],26-Aug-2025 06:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,06-Oct-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvR6BG63kn94CKoZHV3oX%2Fg%3D%3D
