Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_HSL_98195_1,1,[Procurement of Sanitary fittings for INS Jamuna],24-Sep-2025 12:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,04-Oct-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S2S470D5xGjqWxFGjFAtJ9A%3D%3D
2,2025_HSL_98189_1,1,"[To Establish Rate Contract (RC) with an experienced classification society for availing the services in Ship Building,Submarine an Ship repairs in carrying out the inspections/surveys in the yard as well as in NABL Labs and OEM Premises in Vizag]",23-Sep-2025 02:00 PM,Hindustan Shipyard Limited||SHIP BUILDING OUTSOURCING,13-Oct-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SPk1YkmyDBjhHxhKmNIg3VQ%3D%3D
3,2025_HSL_98180_1,1,[Renewal of Relays on ORV Sindhu sankalp],22-Sep-2025 05:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S07Br6bFtcVQ22WbnGzgmrw%3D%3D
4,2025_HSL_98169_1,1,"[Modification works to Board room Annexe, Pantry, Staff Office Room and Attached Toilet and provision of VIP Visitor rooms at 2nd floor of Admin Building.]",20-Sep-2025 10:00 AM,Hindustan Shipyard Limited||CIVIL ENGINEERING,03-Oct-2025 03:00 PM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJqJC40BgePRYQPZvN8vwMA%3D%3D
5,2025_HSL_98165_1,1,[Energy audit of power distribution networks],19-Sep-2025 05:00 PM,Hindustan Shipyard Limited||SHIP BUILDING OUTSOURCING,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sva0bql9tBayfMkYUDy5j0g%3D%3D
6,2025_HSL_98164_1,1,[Digitalization of Drawings and Manuals of Plant Maintenance],19-Sep-2025 05:00 PM,Hindustan Shipyard Limited||SHIP BUILDING OUTSOURCING,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sdbmr2Htd5KbmPni9zlGvhw%3D%3D
7,2025_HSL_98129_1,1,[Hiring of Mobile Cranes of various capacities on Rate contract basis for a period of 2 years],15-Sep-2025 05:00 PM,Hindustan Shipyard Limited||SHIP BUILDING OUTSOURCING,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SxVcnrApFz1aFt7djcPZwCQ%3D%3D
8,2025_HSL_98120_1,1,[Hiring of portable chilled water plant of 80 TR capacity],13-Sep-2025 09:00 AM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,06-Oct-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SLNA6nx0hBG8dvO6CbnQULg%3D%3D
9,2025_HSL_98082_1,1,[Procurement of Electrical items of PM AC Panel on ORV Sagar Kanya ],06-Sep-2025 12:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,03-Oct-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SpyjtmsYXvI4UXL1v5lBBBw%3D%3D
10,2025_HSL_98078_1,1,"[Procurement of Pilot lamps, Contactors etc for ORV Sagar Kanya]",05-Sep-2025 05:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,06-Oct-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sv4qjC1dUl2EH%2BYMMUeC8NA%3D%3D
11,2025_HSL_98054_1,1,"[Analysis of Lub Oil, Coolant, Hydraulic oil and Portable water on INS JAMUNA ]",02-Sep-2025 04:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sh04tX%2FQwQWPBhsjOdvgoSg%3D%3D
12,2025_HSL_98028_1,1,[Hiring of 2 Portable AC units for INS SHAKTI ],26-Aug-2025 06:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,06-Oct-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvR6BG63kn94CKoZHV3oX%2Fg%3D%3D
13,2025_HSL_97985_1,1,"[Supply, Installatio, commissioing of Marine Emergency Diesel Generator along with control panel   for ORV Sagar kanya ]",19-Aug-2025 05:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SqHPhbJQH5iIR7gFDdLzMrg%3D%3D
14,2025_HSL_97753_1,1,[Procurement ogf Bulb flat],07-Jul-2025 05:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgVlUBEPYAdKY6kI9R6XxZA%3D%3D
