Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_HRY_475179_1,1,"[Construction of Gazebo for visitors and Sand filling/interlocking paver at Pipli Zoo, Kurukshetra]",29-Sep-2025 05:00 PM,Haryana Government||PCCF Wildlife||CCF Wildlife Panchkula||DWLO Panchkula,06-Oct-2025 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SPmCQnVV5KElwxRJ%2B7RnfXw%3D%3D
2,2025_HBC_475424_1,1,[Tender for sale of Molasses.],29-Sep-2025 05:00 PM,Haryana Board Corporation||Haryana SugarFed||Gohana Coop. Sugar Mill,06-Oct-2025 12:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SfhXF%2BYAnhOJ2hUhcxGMxzA%3D%3D
3,2025_HRY_474961_1,1,[Desilting of Bathing Ghat from RD 75228-78000 of WJC Main Branch on the celeberation of Chath Parv near Surya Mandir.],26-Sep-2025 06:40 PM,Haryana Government||Irrigation YWS Circle Karnal||Karnal WS Divn Karnal,03-Oct-2025 03:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S6FFbkhoRXOMOdTDdP30WKw%3D%3D
4,2025_HBC_474846_1,1,[DNIT for -1.Construction...],26-Sep-2025 05:00 PM,Haryana Board Corporation||HSSPP Panchkula,09-Oct-2025 03:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=StMFy9TA2E1QeCq17%2FRlKsw%3D%3D
5,2025_HRY_474782_1,1,"[Replacement of 10 KVA DG set with 30 KVA DG set in Judicial Court complex, Guhla in District Kaithal]",26-Sep-2025 02:00 PM,Haryana Government||Engineer-in-Chief PW(B and R) Department||SE (Elect.) Karnal||EE Elect. Karnal,03-Oct-2025 02:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ScxilXBvRvaq%2BDLTuksgdDw%3D%3D
6,2025_HRY_474724_1,1,[S/R for Server Room at Thir...],26-Sep-2025 11:00 AM,Haryana Government||Engineer-in-Chief PW(B and R) Department||SE (Elect.) Karnal||EE Elect. Rewari,02-Oct-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sv2PFXGJKuR0B6iSJavZWig%3D%3D
7,2025_HRY_474728_1,1,[S/R for Sub Divisional Engi...],26-Sep-2025 11:00 AM,Haryana Government||Engineer-in-Chief PW(B and R) Department||SE (Elect.) Karnal||EE Elect. Rewari,02-Oct-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sz3JRfe%2F7uegu4kRNxszTww%3D%3D
8,2025_HBC_474713_1,1,[Installation of CNC Turning  4X Carving 4T ATC Lathe Machine Autofeed and Annual maintenance contract for 3 years including completion of One and Half years of warranty period at HFDC Yamunanagar Saw Mill Jagadhri],26-Sep-2025 11:00 AM,"Haryana Board Corporation||Haryana Forest Development Corporation Limited||HFDC, Yamunanagar",07-Oct-2025 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SOfpR6%2FQ%2FemX%2Fkwo4EvgwXA%3D%3D
9,2025_HRY_474432_1,1,[Preparation of Digital Sajra on Good Quality Cloth 03 copies of each Sajra including GST under MCG jurisdiction.],25-Sep-2025 12:00 PM,Haryana Government||Urban Local Bodies||MC Gurgaon,02-Oct-2025 12:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sf%2BXCR0b9gcW%2F5j27XqHLyw%3D%3D
10,2025_HRY_474346_1,1,"[SELECTION	OF AGENCY		FOR DOOR-TO-DOOR COLLECTION, SEGREGATIONOF MUNICIPALSOLID WASTE	FROM EACH ESTABALISHMENT AND TRANSPORTATION TO THE PROCESSINGSITE]",24-Sep-2025 05:00 PM,Haryana Government||Urban Local Bodies||MC Dharuhera,09-Oct-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMEintkmSpjg7JXW%2FhSMsqg%3D%3D
11,2025_HBC_473499_1,1,[Internal RepairPainting External Bwall Repair in the office building of ACB sector 47 Gurugram],24-Sep-2025 01:00 PM,Haryana Board Corporation||Haryana Police Housing Corporation,01-Oct-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S0FsabzbJXajXQUKWdVa8Dg%3D%3D
12,2025_HBC_474155_1,1,"[Civil work for Resitement of retail outlet of IOCL petrol pump at The Sonipat Sugar Mill (as per IOCL specification,drawing design of boundary wall filling drainage works. ]",23-Sep-2025 05:00 PM,Haryana Board Corporation||Haryana SugarFed||Sonepat Coop. Sugar Mill,30-Sep-2025 09:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SsZfzZsI8zu8JeNyjZfyRBw%3D%3D
13,2025_HBC_473937_1,1,"[HEW 79Providing and laying of WMM, Tack coat, DBM, Bituminous concrete, Thermoplastic paint, cat eyes, Kerb and Channel and Signage Boards on roads in Sector-76,77 and 78 Faridabad]",22-Sep-2025 09:00 AM,Haryana Board Corporation||HUDA||Faridabad Division III,03-Oct-2025 06:55 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SUB6ZlbaKnIA9lVSYGFDdRQ%3D%3D
14,2025_HRY_473976_1,1,"[Estimate of sump well at  Vinaayk plaza and jyoti hospital in ward 27 (div. 3B) ,MCG.Recall]",22-Sep-2025 09:00 AM,Haryana Government||Urban Local Bodies||MC Gurgaon,06-Oct-2025 12:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SG9IX8AZK9AEJen%2FBfb90%2BQ%3D%3D
15,2025_HRY_473974_1,1,[999 - Estimate for desilting of various sewer lines in ward no. 1 under MC Sonipat],22-Sep-2025 09:00 AM,Haryana Government||Urban Local Bodies||MC Sonepat,01-Oct-2025 09:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SaC7X%2F9nhaXRQwbQh5Ss3SQ%3D%3D
16,2025_HRY_473973_1,1,[982 - Estimate for desilting of various sewer lines in ward no.5 under MC Sonipat],22-Sep-2025 09:00 AM,Haryana Government||Urban Local Bodies||MC Sonepat,01-Oct-2025 09:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SAUg4WlPqVkncwYIgKNAirg%3D%3D
17,2025_HRY_473970_1,1,[979 - Estimate for desilting of various sewer lines in ward no.3 under MC Sonipat],22-Sep-2025 09:00 AM,Haryana Government||Urban Local Bodies||MC Sonepat,01-Oct-2025 09:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sz8mRH0PiqmGzpJTe1ogfIQ%3D%3D
18,2025_HRY_473971_1,1,[980 - Estimate for desilting of various sewer lines in ward no.6 under MC Sonipat],22-Sep-2025 09:00 AM,Haryana Government||Urban Local Bodies||MC Sonepat,01-Oct-2025 09:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S4FBkqbTf%2FmlbpvUfKO%2BS4g%3D%3D
19,2025_HRY_473969_1,1,[978 - Estimate for desilting of various sewer lines in ward no.4 under MC Sonipat],22-Sep-2025 09:00 AM,Haryana Government||Urban Local Bodies||MC Sonepat,01-Oct-2025 09:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1V4cnMC5ppx4Ct6RZQQhwQ%3D%3D
20,2025_HRY_473966_1,1,"[Art Painting for motivational slogan at various places in MC Limit, Municipal Committee Dharuhera.]",22-Sep-2025 09:00 AM,Haryana Government||Urban Local Bodies||MC Dharuhera,02-Oct-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SGZv6GI%2Bdw1htOZvW0iladg%3D%3D
21,2025_HBC_473937_1,2,"[HEW 79Providing and laying of WMM, Tack coat, DBM, Bituminous concrete, Thermoplastic paint, cat eyes, Kerb and Channel and Signage Boards on roads in Sector-76,77 and 78 Faridabad]",22-Sep-2025 09:00 AM,Haryana Board Corporation||HUDA||Faridabad Division III,03-Oct-2025 06:55 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SUB6ZlbaKnIA9lVSYGFDdRQ%3D%3D
22,2025_HBC_473931_1,2,[HEW 78 Providing and laying of GSB...],20-Sep-2025 06:55 PM,Haryana Board Corporation||HUDA||Faridabad Division III,03-Oct-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgzpjZuXBmYoDy1%2FY2T%2BI2g%3D%3D
23,2025_HRY_473879_1,2,"[Providing and laying of 450mm and 350mm NP3 RCC Sewer pipe line in Om nagar gali no 2,ward 28 under MCG recall]",20-Sep-2025 06:00 PM,Haryana Government||Urban Local Bodies||MC Gurgaon,03-Oct-2025 12:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SnOEQJEevYEOgdanZCDpRiw%3D%3D
24,2025_HRY_473702_1,2,[Maintenance of Plantation at Khol Hai Raitan WLS at Panchkula  ],20-Sep-2025 05:00 PM,Haryana Government||PCCF Wildlife||CCF Wildlife Panchkula||DWLO Panchkula,03-Oct-2025 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ScaqIw4L0V8rWR9M9LodcPA%3D%3D
25,2025_HBC_473829_1,2,[Civil Work lying of interlocking tiles paver blocks at out cane purchase centre bega],20-Sep-2025 05:00 PM,Haryana Board Corporation||Haryana SugarFed||Sonepat Coop. Sugar Mill,30-Sep-2025 09:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SW8YkZ5Bkrdlk6JWNS19HFA%3D%3D
26,2025_HRY_473797_1,2,"[Provision of construction of chambers and drain work at GMDA road crossing in village Sikanderpur Badha , ward no 19 , under MC Manesar. - Retender-III]",20-Sep-2025 04:00 PM,Haryana Government||Urban Local Bodies||MC Manesar,03-Oct-2025 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SR58LGoODEnpcpNtIhyU47g%3D%3D
27,2025_HRY_473802_1,2,"[Desilting of storm water line (from sati chowk to Badha pond), Village Badha, ward 20, under jurisdiction of Municipal corporation Manesar- Retender-III]",20-Sep-2025 04:00 PM,Haryana Government||Urban Local Bodies||MC Manesar,03-Oct-2025 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SSisdn4qL9twrigIXFXi03Q%3D%3D
28,2025_HRY_473719_1,2,[Bharolanwali (ZP) Construct...],20-Sep-2025 02:00 PM,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Zila Parishad Fatehabad,30-Sep-2025 12:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFUCa9KEdi0K7623UpbfSuA%3D%3D
29,2025_HRY_473752_1,2,[Amani- Const. Of Sub Health...],20-Sep-2025 02:00 PM,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Zila Parishad Fatehabad,30-Sep-2025 12:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S65INcB8MNlCgow7MGnDzog%3D%3D
30,2025_HRY_473687_1,2,[Reclamation of Water logged and Saline Soil through Sub surface Drainage Technology in the Village  Assan Block and District Rohtak],20-Sep-2025 09:00 AM,Haryana Government||Department of Haryana Agriculture||Divisional Soil Cons. Officer  Rohtak||Assistant Soil Cons. Officer Rohtak,06-Oct-2025 09:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SxnFrrS9qbxQRG3tPLgvYHA%3D%3D
31,2025_HRY_473656_1,3,"[RFP For Engagement of the agency for supporting, MC Yamunanagar to improve the waste management and to improve the ranking in Swahta Suevekshan -2026]",19-Sep-2025 06:00 PM,Haryana Government||Urban Local Bodies||MC Yamunanagar,03-Oct-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SmIOBAtjKn8ciSfOgpSvYWA%3D%3D
32,2025_HRY_473646_1,3,[Regarding providing vehicle for use of officers in Municipal Committee Ganaur],19-Sep-2025 06:00 PM,Haryana Government||Urban Local Bodies||MC Gannaur,30-Sep-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SqCNNB%2BloBSLj9c6tL3ISfQ%3D%3D
33,2025_HBC_473551_1,3,[HEW 50 Repairing of Water Supply L...],19-Sep-2025 05:00 PM,Haryana Board Corporation||HUDA||Division Palwal,03-Oct-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sl1Idd1ohBTkmeVflPCjUlg%3D%3D
34,2025_HRY_473591_1,3,[Supply of Electrical Items for maintenance of street lights in Municipal Corporation Yamunanagar-Jagadhri. 1 Year (FOR L/C SOCIETY LTD)],19-Sep-2025 04:00 PM,Haryana Government||Urban Local Bodies||MC Yamunanagar,03-Oct-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9zNxsAFRfDx7KKoa%2FhOfqQ%3D%3D
35,2025_HRY_473189_1,3,"[Procurement for upgradation of Servers, Storage and IT related Equipment through central Public Sector Units (PSUs) in a Single Bid System For New Haryana Secretariat, Sector-17, Chandigarh]",19-Sep-2025 09:00 AM,Haryana Government||Citizen Resources Information Department||SIT,07-Oct-2025 04:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1BFntdOBuVHIwnhXtKKE%2Bg%3D%3D
36,2025_HRY_473275_1,3,[CONSTRUCTION OF NEW JUDICIAL COURTS COMPLEX GURUGRAM (SCHEDULE FOR PROVIDING HVAC AIR CONDITIONING SYSTEM ON 3RD FLOOR AND ADDITIONAL ITEMS OF HVAC AIR CONDITING SYSTEM)],19-Sep-2025 09:00 AM,Haryana Government||Engineer-in-Chief PW(B and R) Department||SE (Elect.) Karnal||EE Elect. Gurgaon,07-Oct-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXnYSTrVc22jY271hCC22tw%3D%3D
37,2025_HRY_473229_1,3,[Construction of BPHU at CHC...],18-Sep-2025 05:00 PM,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Zila Parishad Sonipat,06-Oct-2025 09:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8pWfv2k%2BcfF4AljQiF8jzw%3D%3D
38,2025_HRY_472002_1,3,"[Supply, Installation and Upgradation of Street Light, Energy Meter CCMS Panels For Smart Lighting System Establishment of Command And Control Centre For It Infrastructure To Monitor Smart Street Lighting At Municipal Council Kalka  Haryana]",18-Sep-2025 05:00 PM,Haryana Government||Urban Local Bodies||MC Kalka,09-Oct-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SfQVdl5YUjmUbpQnGAOoU2g%3D%3D
39,2025_HRY_473184_1,3,[DNIT for Washing of 04 Nos....],18-Sep-2025 05:00 PM,Haryana Government||Engineer- in- Chief PHED Panchkula||Rewari Circle||Kosli PHED,04-Oct-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S3MPbqQsWvhLZW6NKsVc2Jw%3D%3D
40,2025_HBC_473237_1,3,[Annual Maintance of various properties in NGM at Satnali for FY 2025-2026(Re-Advertised)],18-Sep-2025 05:00 PM,Haryana Board Corporation||Haryana State Agricultural State Marketing Board||Gurugram Circle||Rewari,03-Oct-2025 05:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SvzOSqoX1j2%2F6rXDet0hgVA%3D%3D
41,2025_HRY_473227_1,4,[Construction of SHC at Village Giwana],18-Sep-2025 05:00 PM,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Zila Parishad Sonipat,06-Oct-2025 09:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SkYIFDGzuo7n64UA35R5Dsg%3D%3D
42,2025_HRY_473229_1,4,[Construction of BPHU at CHC...],18-Sep-2025 05:00 PM,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Zila Parishad Sonipat,06-Oct-2025 09:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8pWfv2k%2BcfF4AljQiF8jzw%3D%3D
43,2025_HBC_473188_1,4,[E TENDER REGARDING HIRING THE SERVICES OF HALWAI FOR MANUFACTURING SHAPING AND PACKING OF KAJU PINNI AND BESAN LADDOO ],18-Sep-2025 01:10 PM,Haryana Board Corporation||Hry Dairy Dev Coop Fed Ltd||Vita Milk Plant Ballabgarh,04-Oct-2025 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S4%2FZ9jmUAg3LmQIFna99vNQ%3D%3D
44,2025_HBC_472973_1,4,[SPECIAL REVISED ESTIMATE FO...],18-Sep-2025 12:10 PM,Haryana Board Corporation||HVPNL||CE TS  Panchkula||XEN TS Madanpur,03-Oct-2025 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SQ9xhrV3QpsQlfVMvdS9btg%3D%3D
45,2025_HBC_473105_1,4,[Providing of Manpower],17-Sep-2025 06:00 PM,Haryana Board Corporation||Haryna Rail Infrastructure Development Corporation,08-Oct-2025 03:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8recrO7sBJsSOAdHpHxdYA%3D%3D
46,2025_HBC_473112_1,4,[Estimate For Extension for the water course at Outlet RD 45620-R  Under D-Plan Scheme Jind],17-Sep-2025 05:35 PM,Haryana Board Corporation||CADA||cad division jind,03-Oct-2025 02:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STb1roO8DSteeMWUNxBTqng%3D%3D
47,2025_HBC_473111_1,4,[Estimate For Extension for the water course at Outlet RD 41200-R Karsola Minor Under D-Plan Scheme Jind],17-Sep-2025 05:30 PM,Haryana Board Corporation||CADA||cad division jind,03-Oct-2025 02:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SbShDzRz1vx9xTVS9ckvyJQ%3D%3D
48,2025_HBC_473055_1,4,[Earth/Soil filling for park...],17-Sep-2025 05:00 PM,Haryana Board Corporation||HSIIDC||Karnal||Industrial Area,01-Oct-2025 12:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SA9NZWt26ctsupniFzURD3w%3D%3D
49,2025_HBC_473012_1,4,[construction of Boundary wa...],17-Sep-2025 04:00 PM,Haryana Board Corporation||HVPNL||CE TS Hisar||XEN Civil Rewari,16-Oct-2025 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SRtvaLbmTYEZBbN2B6njQiw%3D%3D
50,2025_HRY_472975_1,4,[Const. Of RCC Pipe Line 350mm In Village New Zhinda Block Assandh Distt. Karnal Scheme ZP],17-Sep-2025 04:00 PM,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Zila Parishad Karnal,02-Oct-2025 04:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SUhj3jQTtnB%2Bxdty6C%2FVJuw%3D%3D
51,2025_HRY_472935_1,5,[Const. of Balmiki Chaupal at village Rajpura Alamgirpur Block Dharuhera Distt. Rewari],17-Sep-2025 03:00 PM,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Rewari||SDO Panchayati Raj Dharuhera,08-Oct-2025 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Ss6MF6r11FB0mLQ%2BP31Ca0A%3D%3D
52,2025_HRY_472951_1,5,"[Const. of Boundary wall of Samshanghat at village Turkiawas,Block Dharuhera,disst Rewari.]",17-Sep-2025 03:00 PM,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Rewari||SDO Panchayati Raj Dharuhera,08-Oct-2025 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sz3OhMInHcNMy8nfSYYmoCQ%3D%3D
53,2025_HRY_472943_1,5,[Completion of Hall in village Dhakia Block Dharuhera District Rewari(HGVY Scheme)],17-Sep-2025 03:00 PM,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Rewari||SDO Panchayati Raj Dharuhera,08-Oct-2025 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SdXbX6GEBEFqlfPfGj3nRmQ%3D%3D
54,2025_HRY_472743_1,5,[Completion of B/wall of suports ground at Village Tatarpur istmurar Block Dharuhera District Rewari under (HGVY) scheme],17-Sep-2025 03:00 PM,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Rewari||SDO Panchayati Raj Dharuhera,08-Oct-2025 11:00 AM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SeBPb%2Bqd92ygnwc5FE9UuQw%3D%3D
55,2025_HBC_472874_1,5,"[Strengthening and special repair of 25mtr. wide road from NH-73 to water treatment plant Sector-32, U/E, Panchkula Extension. (Providing and laying of 60 mm thick DBM, 30 mm thick BC, Road marking thermoplastic paint, cat eyes, Delinators and mandato]",17-Sep-2025 09:00 AM,Haryana Board Corporation||HUDA||PKL Division II,30-Sep-2025 12:00 PM,https://etenders.hry.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SywDc6qp3088ZIHRN8FW7Kg%3D%3D
