Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_WRO_186669_1,[ROAD TRANSPORTATION OF BULK PETROLEUM PRODUCTS BY TOP LOADING TANKTRUCKS ATF Ex RATLAM TERMINAL],10-Sep-2025 12:30 PM,IndianOil||Marketing||Western Region Office||Contracts Cell,01-Oct-2025 12:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0KBpixvcOUbqhRWSUsHCpQ%3D%3D
2,2025_JR_186750_1,[Miscellaneous refractory insulation and painting jobs during emergency shutdown at Dumad Oxo-alcohol and KAHSPL plant of Gujarat Refinery],16-Sep-2025 03:00 PM,IndianOil||Refineries||Gujarat Refinery||Contracts,30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyWtrEOCqdjOOtVHmhF5DJQ%3D%3D
3,2025_REFHQ_186268_1,[SUPPLY OF TANK MIXER (JET)],13-Aug-2025 06:00 PM,IndianOil||Refineries||Refineries HQ||Project - PMC||Digboi-DR 1.0 Expansion||Project Group,30-Sep-2025 02:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=St7FhWJ9bvFofHs9gJTAnfA%3D%3D
4,2025_REFHQ_185943_1,[SUPPLY OF SKID BASED AIR PACKAGE SYSTEM],23-Jul-2025 06:30 PM,IndianOil||Refineries||Refineries HQ||Project - PMC||Digboi-DR 1.0 Expansion||Project Group,06-Oct-2025 02:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXTT%2B3ZIsLxHMvbT7tvP3TA%3D%3D
5,2025_WRO_186685_1,"[Capex Rate Contract Cat-I Rs. 0 to 3.00 Lacs for carrying out maintenance and low value capital jobs of mechanical, civil and electrical nature at Retail Outlets including KSKs and Consumer Outlets under Ahmedabad, Rajkot and Surat DO of GSO. ]",12-Sep-2025 03:00 PM,IndianOil||Marketing||Western Region Office||Contracts Cell,10-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sy%2F90f0Tqvxl41809Rkdj9g%3D%3D
6,2025_AOD_186290_1,[Miscellaneous hot and cold jobs for  DCU SAD and any unplanned Shutdown at DR.],14-Aug-2025 05:00 PM,IndianOil||Refineries||AOD Digboi||Contracts Section,04-Oct-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S7eTuaZYFrXnnoYKtEv%2BXLA%3D%3D
7,2025_REFHQ_186594_1,[VALVES WITH MECHANICAL INTERLOCK FOR PP UNIT],04-Sep-2025 05:00 PM,IndianOil||Refineries||Refineries HQ||Project - PMC||PRPC-P25-EPCM3||Project Group,03-Oct-2025 02:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9bc7Tip7H%2FbaMMh8mi4yDQ%3D%3D
8,2025_SRCHN_186704_1,[6.625 inch Mainline laying including HDD and Hot tapping under the project for replacement of 350 meters of Natural Gas Spur line from SV106 to Hyundai],19-Sep-2025 03:30 PM,IndianOil||Pipelines||SRPL Chennai||Technical Services,10-Oct-2025 02:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXEh3JIVHRdTYrgFZuAfrrg%3D%3D
9,2025_REFHQ_185208_1,[VRU Package for IOCL Barauni Refinery],27-May-2025 10:00 AM,IndianOil||Refineries||Refineries HQ||Project - PMC||BR-9 Expansion||Project Group,14-Oct-2025 05:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8cgQxlWq3U0GHCEBv3Tkng%3D%3D
10,2025_SROTN_186888_1,[CONSTRUCTION OF NEW A SITE RO ],23-Sep-2025 05:00 PM,IndianOil||Marketing||Southern Region and Tamilnadu State Office||Contracts Cell,30-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=StX%2Bk11ojnASLNoxUOmt8Nw%3D%3D
