Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_ERBBS_186865_1,1,"[Annual Rate Contract for housekeeping, support services, environment hygiene, general maintenance, up-keeping of station facilities and round the clock monitoring of PIDWS and CCTV at SERPL-Jharsuguda]",22-Sep-2025 06:00 PM,"IndianOil||Pipelines||PRRPL, Bhubaneswar||Technical Services",06-Oct-2025 06:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SPec4L4qSJDoo0JuMpDMVxw%3D%3D
2,2025_SRCHN_186578_1,1,"[Comprehensive Annual Maintenance Contract of 3 kVA and 5 kVA Online UPS of make Ms. Best Power Equipments (India) Private Limited, installed at various CNG ROs-CGS in CGD GAs of SRPL in the state of Tamil Nadu]",19-Sep-2025 04:00 PM,IndianOil||Pipelines||SRPL Chennai||Technical Services,03-Oct-2025 02:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sv7rZ%2B3lkEkMV%2FJCvFQN3iQ%3D%3D
3,2025_SRCHN_186704_1,1,[6.625 inch Mainline laying including HDD and Hot tapping under the project for replacement of 350 meters of Natural Gas Spur line from SV106 to Hyundai],19-Sep-2025 03:30 PM,IndianOil||Pipelines||SRPL Chennai||Technical Services,10-Oct-2025 02:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXEh3JIVHRdTYrgFZuAfrrg%3D%3D
4,2025_REFHQ_186805_1,1,[Rate Contract for Procurement of High Pressure Valves for IOCL Refinery Units],19-Sep-2025 02:00 PM,IndianOil||Refineries||Refineries HQ||Materials,21-Oct-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=StgupECkcPa1JWqA8C371HA%3D%3D
5,2025_RND_186795_1,1,"[Design, Engineering, Supply, Installation, Testing and Commissioning for Upgradation of Fire Alarm system at RnD Centre, Faridabad]",18-Sep-2025 03:00 PM,IndianOil||Research and  Development||Contract Cell,06-Oct-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STsLC6IbHhAVjqY2Cf4mUpQ%3D%3D
6,2025_NEISO_186700_1,1,"[Supply, Installation, Laying, Testing of LPG Pipeline incl. Commissioning for hooking up of upcoming 2 nos of LPG Pump at LPG Bottling Plant, Dimapur]",18-Sep-2025 03:00 PM,IndianOil||Marketing||North East Integrated State Office||LPG,01-Oct-2025 05:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2FEMSFluIsYtsXrDnyRfBmA%3D%3D
7,2025_ERBBS_186796_1,1,[Annual Rate Contract for Electrical and T/I Maintenance Works at IOCL SERPL Paradip Product Pipelines Station],17-Sep-2025 06:00 PM,"IndianOil||Pipelines||PRRPL, Bhubaneswar||Technical Services",02-Oct-2025 05:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMxdRlJFt6Jazc5RNpabZQQ%3D%3D
8,2025_WRO_186792_1,1,[REPAIR AND REHABILITATION OF STRUCTURAL ELEMENTS OF THE OIL JETTY 06 AT KANDLA FORESHORE TERMINAL UNDER GUJARAT STATE OFFICE],17-Sep-2025 05:00 PM,IndianOil||Marketing||Western Region Office||Contracts Cell,17-Oct-2025 05:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFi%2BEJ0TROxeq1eOkKWegVA%3D%3D
9,2025_AOD_186765_1,1,"[DRE125B095 Design, Engineering, Procurement, Supply, Erection, Installation, Wiring, Testing and Commissioning Services for Provision of Automatic Fire Water Spray System including Deluge Valve Actuation System for Pumps and Compressors at IOCL, Digb]",16-Sep-2025 03:00 PM,IndianOil||Refineries||AOD Digboi||Contracts Section,30-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2B88grrz4kHzIpjcvGPWVew%3D%3D
10,2025_BR_186762_1,1,[Repair and Maintenance of Insulation and Refractory works at Barauni Refinery (PartA PartB and PartC).],16-Sep-2025 03:00 PM,IndianOil||Refineries||Barauni Refinery||Contract,15-Oct-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJHPefkEiBj4RPJJ2how19w%3D%3D
