S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,29-Sep-2025 04:15 PM,06-Oct-2025 04:15 PM,07-Oct-2025 04:15 PM,[CONSTRUCTION DEVELOPMENT OF APNA GHAR TRUCKER AMENITIES AT Ms VENGADESWARA AGENCY SAP CODE 133929 KOTTUR THENI DISTRICT UNDER MADURAI DIVISIONAL OFFICE TAMIL NADU STATE OFFICE],"[CONSTRUCTION DEVELOPMENT OF APNA GHAR TRUCKER AMENITIES AT Ms VENGADESWARA AGENCY SAP CODE 133929 KOTTUR THENI DISTRICT UNDER MADURAI DIVISIONAL OFFICE TAMIL NADU STATE OFFICE]
																				[SRCC/RS/LT/202/TNSO/2025-26][2025_SROTN_186974_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sc2Qk4i8W7HAwnTYFH4TOCg%3D%3D,IndianOil||Marketing||Southern Region and Tamilnadu State Office||Contracts Cell
2,1,29-Sep-2025 04:10 PM,13-Oct-2025 04:00 PM,14-Oct-2025 04:00 PM,[Electrical and Interior Works for the new Divisional Office Building at Warangal],"[Electrical and Interior Works for the new Divisional Office Building at Warangal]
																				[SRCC/RIM/PT/111/TAPSO/2025-26][2025_SROTN_186966_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkBXV5p1oQ3klA8hMvNfPRg%3D%3D,IndianOil||Marketing||Southern Region and Tamilnadu State Office||Contracts Cell
3,1,29-Sep-2025 04:00 PM,08-Oct-2025 04:00 PM,09-Oct-2025 04:00 PM,[Erection works of additional Hydrants and Monitors  at Indane Bottling Plant Pondicherry],"[Erection works of additional Hydrants and Monitors  at Indane Bottling Plant Pondicherry]
																				[IOCL/PDYBP/CAP/938/25-26][2025_SROTN_186969_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sj3geaFMbKGoRCWZ8tnJiSg%3D%3D,IndianOil||Marketing||Southern Region and Tamilnadu State Office||LPG
4,1,29-Sep-2025 04:00 PM,27-Oct-2025 03:00 PM,28-Oct-2025 03:00 PM,[Rate Contract for Procurement of Activated Alumina for PBR project at Panipat Refinery],"[Rate Contract for Procurement of Activated Alumina for PBR project at Panipat Refinery]
																				[RHQMM25405][2025_REFHQ_186979_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sitqqb1U1%2Bt0yQaatG2UVtw%3D%3D,IndianOil||Refineries||Refineries HQ||Materials
5,1,29-Sep-2025 04:00 PM,13-Oct-2025 04:00 PM,14-Oct-2025 04:00 PM,[PWRJT25013/Annual rate contract (ARC) for HT motor AMC for 15 Station of WRPL for a period of 2 years],"[PWRJT25013/Annual rate contract (ARC) for HT motor AMC for 15 Station of WRPL for a period of 2 years]
																				[PWRJT25013][2025_WRRAJ_186082_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGfGQZOhyd5bmub5k2gkbcA%3D%3D,IndianOil||Pipelines||WRPL Rajkot||Technical Services
6,1,29-Sep-2025 03:00 PM,13-Oct-2025 03:00 PM,14-Oct-2025 03:00 PM,"[Repair and major overhauling of Blue Star make, 3 Phase, ductable AC system installed at catalyst building IOCL, RnD Centre, Faridabad.]","[Repair and major overhauling of Blue Star make, 3 Phase, ductable AC system installed at catalyst building IOCL, RnD Centre, Faridabad.]
																				[9400C25A37][2025_RND_186963_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmLTOxjPEB%2FElgKk4QRDRsQ%3D%3D,IndianOil||Research and  Development||Contract Cell
7,1,29-Sep-2025 03:00 PM,13-Oct-2025 03:00 PM,14-Oct-2025 04:00 PM,[SECURITY AND ALLIED SERVICES AT MADURAI DOAO AND RESIDENTIAL QUARTERS],"[SECURITY AND ALLIED SERVICES AT MADURAI DOAO AND RESIDENTIAL QUARTERS]
																				[MDUDO/ENGG/LT/2025-26/DGR01][2025_SROTN_186642_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8gVEF7A4QpFGgyEl3iltJg%3D%3D,IndianOil||Marketing||Southern Region and Tamilnadu State Office||Engineering
8,1,29-Sep-2025 03:00 PM,13-Oct-2025 03:00 PM,14-Oct-2025 03:00 PM,"[9030C25C74- Annual Rate Contract for Repair and Maintenance of steel works at IOCL, Gujarat Refinery, Vadodara]","[9030C25C74- Annual Rate Contract for Repair and Maintenance of steel works at IOCL, Gujarat Refinery, Vadodara]
																				[9030C25C74][2025_JR_186964_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShDZzADmTGm08j6iC5XLwAA%3D%3D,IndianOil||Refineries||Gujarat Refinery||Contracts
9,1,29-Sep-2025 02:30 PM,06-Oct-2025 02:30 PM,07-Oct-2025 02:35 PM,"[Development of A site RO at Within 3KM from Fatehabad-Hissar District Border Towards Tohana, on NH148B TOHANA SUREWALA ROAD, District Fatehabad under Hisar Divisional Office of Delhi and Haryana State Office]","[Development of A site RO at Within 3KM from Fatehabad-Hissar District Border Towards Tohana, on NH148B TOHANA SUREWALA ROAD, District Fatehabad under Hisar Divisional Office of Delhi and Haryana State Office]
																				[MnC/NR/DSO/ENG/LT-148/25-26][2025_NRO_186973_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Szwx%2BuI5HtvoMCBc9CktKyw%3D%3D,IndianOil||Marketing||Northern Region Office||Contract Cell
10,1,29-Sep-2025 01:15 PM,06-Oct-2025 01:30 PM,07-Oct-2025 01:30 PM,[CONSTRUCTION OF NEW A SITE RO AT LOCATION- BETWEEN KM STONE  NO. 50 TO 54 ON BHOPAL- SIRONJ HIGHWAY (Advt location-8) UNDER BHOPAL DIVISIONAL  OFFICE OF MADHYA PRADESH STATE OFFICE ],"[CONSTRUCTION OF NEW A SITE RO AT LOCATION- BETWEEN KM STONE  NO. 50 TO 54 ON BHOPAL- SIRONJ HIGHWAY (Advt location-8) UNDER BHOPAL DIVISIONAL  OFFICE OF MADHYA PRADESH STATE OFFICE ]
																				[WRMC/2025-26/LT/375][2025_WRO_186864_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPnCTtvkKtDiJHkrM9qLSnQ%3D%3D,IndianOil||Marketing||Western Region Office||Contracts Cell
