Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_RDPR_288655_5,"[Constt of R Wall at Mohd Shaffi House w no 4 ALINBASS A, UKHRAL]",17-Sep-2025 06:00 PM,Rural Development and Panchayati Raj||Directorate of Rural Development  Department JAMMU||Superintending Engineer REW Jammu||XEN REW RAMBAN,03-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SB8Lea%2FcJlxicJnyy%2BXoIJQ%3D%3D
2,2025_RDPR_288315_2,[Constt. of Sitting Step near play field and platform near Pupil tree at vill. Majua ward no 8 Pyt. Khojipur Block. Bishnah Distt. Jammu Under MPLADS for the year of 2025-26],15-Sep-2025 06:00 PM,Rural Development and Panchayati Raj||Directorate of Rural Development  Department JAMMU||Superintending Engineer REW Jammu||XEN REW JAMMU,29-Sep-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SqnxmiyxP17eDIJeqZbK1Kg%3D%3D
3,2025_RDPR_288632_50,[P Path Tile Path Naras to Bashir Ahmed Javed Iqbal ward No 6],18-Sep-2025 05:00 PM,Rural Development and Panchayati Raj||Directorate of Rural Development  Department JAMMU||Superintending Engineer REW Jammu||XEN REW KISHTWAR,07-Oct-2025 04:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsfqeP9Gqjo1%2BZNZnmKeopg%3D%3D
4,2025_FD_289525_1,[Strip Lahri Dak],24-Sep-2025 05:00 PM,FOREST DEPARTMENT||Social Forestry Department||Regional Director Social Forestry Jammu||DFO SF Doda,09-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0VHugdjURT8XeyZrG9dk%2Fw%3D%3D
5,2025_PWDJK_289578_2,[Construction of Community Compost Pits at Jurniyal A 3rd call],25-Sep-2025 09:00 AM,PWD||Chief Engineer North Kashmir||Bandipora Circle||Gurez Division,03-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNDHF91hLKrqBP4DVenXtjw%3D%3D
6,2025_FD_287820_4,[Construction/Installation of 23 Nos. Demarcation Boundary Pillars at Nabana Forest of Mandher Range],11-Sep-2025 09:00 AM,FOREST DEPARTMENT||Chief Conservator of Forests Jammu||CF West Circle Rajouri||Poonch Forest Division,29-Sep-2025 06:00 PM,https://jktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STewqvz1gjXn1BgMDuNenEA%3D%3D
7,2025_RDPR_289763_2,"[Constt of Lane with tile work near H/o Davinder Singh, Raj Singh and Joginder Paul ward no 04 , Panchayat Basantpur, Block Keerian Gandyal]",26-Sep-2025 06:00 PM,Rural Development and Panchayati Raj||Directorate of Rural Development  Department JAMMU||Superintending Engineer REW Jammu||XEN REW KATHUA,03-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1xPS24uYSob%2BmWxjVqu4aw%3D%3D
8,2025_RDPR_289656_36,[Constt. Of Tile Work Upper Wani WNO.08 (Centre Mohalla) Pyt Ramgarh Block Assar (PRIs Grant) 2nd Call],25-Sep-2025 04:00 PM,Rural Development and Panchayati Raj||Directorate of Rural Development  Department JAMMU||Superintending Engineer REW Jammu||XEN REW DODA,04-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCOhMlV6uBGbRzMUuBz%2F4ew%3D%3D
9,2025_RDPR_289727_11,"[Construction of tile and protection work at MS Nekain W. No. 03, Pyt C-Panjian, Block Khoon ,Block Khoon  under PRI Capex for Year 2025-26.                                                                           ]",26-Sep-2025 06:00 PM,Rural Development and Panchayati Raj||Directorate of Rural Development  Department JAMMU||Superintending Engineer REW Jammu||XEN REW UDHAMPUR,04-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SM4R%2Buh3ZmKIylCvchKWVkg%3D%3D
10,2025_PDD_290072_1,[Creation of 100kVA substation for fast DC electrical charging station at Shaheed Nazir Filling Station Khwajabagh Baramulla of ESD Baramulla 1st.],29-Sep-2025 02:00 PM,DC-PDD||CE-M and RE Wing Kashmir||North Sopore||ED-Baramulla,21-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S02oZ2CHZMBKGN5hMMlXEoA%3D%3D
