Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_PWDJK_290138_2,1,[Road from Kalika Nagar to Latori road for premix link to house of Manoranjan (L 0.15 Km) under UT capex Road sector (New work) for the year 2025-26],29-Sep-2025 04:00 PM,PWD||CE PWD Jammu||Udhampur Circle||Katra Division,09-Oct-2025 05:00 PM,https://jktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SWMeaDDAfUmu6CvIpNEjKuQ%3D%3D
2,2025_PWDJK_290138_1,1,[Construction of road from Bohri Mohalla to main road near Shiv Temple Kalika Nagar (L 0.20 Km) under UT capex Road sector (New work) for the year 2025-2026.],29-Sep-2025 04:00 PM,PWD||CE PWD Jammu||Udhampur Circle||Katra Division,09-Oct-2025 05:00 PM,https://jktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8uDnmZuVqG5etIfjoH7c%2FQ%3D%3D
3,2025_RDPR_289760_244,1,[V],29-Sep-2025 03:40 PM,Rural Development and Panchayati Raj||Directorate of Rural Development  Department JAMMU||Superintending Engineer REW Jammu||XEN REW RAJOURI,04-Oct-2025 04:00 PM,https://jktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SkiBJT%2BCDVIuW0nKwt4zR6g%3D%3D
4,2025_HAUDD_289864_19,1,[Reconstruction of lane drain from H/o Ghulam Mohi-ud-Din Khan upto H/o Ghulam Hassan Magray AND others at Akhoon Mohalla Bolhachipora Zoonimar],29-Sep-2025 09:00 AM,HAUDD||Srinagar Municipal Corporation,07-Oct-2025 06:00 PM,https://jktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFDfWjxxB4XBMRys0p5SZ%2Fg%3D%3D
5,2025_HAUDD_289864_18,1,"[Reconstruction of tile path from H/o Muhammad Amin Akhoon to H/o Muzaffar Ahmad Akhoon at Akhoon Kocha, Wangund Tailbal]",29-Sep-2025 09:00 AM,HAUDD||Srinagar Municipal Corporation,07-Oct-2025 06:00 PM,https://jktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SAyKDZ38wY8Ncl9mlV0ArdA%3D%3D
6,2025_RDPR_289946_3,1,"[Construction of Community Hall near Shiv Mandir Jakhenoo, Pyt. Palnoo, Block Khoon Dist Udhampur under CD Pyt during the year 2025-26.]",27-Sep-2025 06:00 PM,Rural Development and Panchayati Raj||Directorate of Rural Development  Department JAMMU||Superintending Engineer REW Jammu||XEN REW UDHAMPUR,06-Oct-2025 06:00 PM,https://jktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SqkZZnZ%2FRFxXC7tworgrnIw%3D%3D
7,2025_RDPR_289946_2,1,"[CONST OF T-ROAD from Ladha Sankri to Spore, Pyt - Kither,  Block- Narsoo under SCA to TSS for the year 2025-26.                    ]",27-Sep-2025 06:00 PM,Rural Development and Panchayati Raj||Directorate of Rural Development  Department JAMMU||Superintending Engineer REW Jammu||XEN REW UDHAMPUR,06-Oct-2025 06:00 PM,https://jktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S4tafMvPxFyYjtDV5lqqw5A%3D%3D
8,2025_RDPR_289946_1,1,"[CONST OF Bathroom and Toilet , Tile work near Community Hall Ward No 9 Chabel Mohalla, Pyt - Chirdi,  Block- Narsoo under SCA to TSS for the year 2025-26.                                                     CONST OF Bathroom and Toilet , Tile work ne]",27-Sep-2025 06:00 PM,Rural Development and Panchayati Raj||Directorate of Rural Development  Department JAMMU||Superintending Engineer REW Jammu||XEN REW UDHAMPUR,06-Oct-2025 06:00 PM,https://jktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SzUyp%2BVAvt1xMGZQNKqS1Uw%3D%3D
9,2025_HAUDD_290040_1,1,[furnishing of DHP flats at Bhalwal Jammu],27-Sep-2025 05:55 PM,HAUDD||JKHousing Board||Housing Board Jammu,03-Oct-2025 04:00 PM,https://jktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SyLGf%2BGVknKrM6ThMXlZAyw%3D%3D
10,2025_FD_289976_1,1,"[Plantation of NR Non fruit bearing plants including BUC in CO 47/Bnl  (JTCCR)  of Wildlife Range Ramban-Batote Chenab Division, Kishtwar.]",27-Sep-2025 03:00 PM,FOREST DEPARTMENT||Deptt of Wildlife Protection/ Chief Wildlife Warden||CF (WL)/ Regional Wildlife Warden JAMMU||Wildlife Warden Chenab-Kishtwar,06-Oct-2025 04:00 PM,https://jktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVc9sHqA9RS%2B8qd7o4kY23g%3D%3D
