Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_UDD_105245_1,[Construction of New Nagar Panchayat Office Building at Latehar under Latehar Nagar Panchayat],26-Sep-2025 05:00 PM,UDD Secretary||UDD Chairperson eProc Cell,10-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ST2BsFZHmP1INn%2FnurB4vrQ%3D%3D
2,2025_UDD_105171_1,[Construction of road under ward no-51 devi nagar from hesag road to bhawani nagar via sanjay singh transformer gajendra tiwary prakash Chandra etc.],25-Sep-2025 05:00 PM,UDD Secretary||UDD Chairperson eProc Cell,02-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3nV8ZOAHH9uCIlIenv2E0g%3D%3D
3,2025_UDD_105198_1,[Construction of RCC Drain at sattar colony road no-03 from fatima store to jora talab existing drain under Ward no- 09],25-Sep-2025 06:55 PM,UDD Secretary||UDD Chairperson eProc Cell,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVSQYJk8DRgPHulVVql3KjQ%3D%3D
4,2025_JPHCL_105143_1,[Construction of 25 Bedded Barrack at Home Guard Hazaribagh in the district of Hazaribagh.],26-Sep-2025 05:00 PM,Jharkhand Police Housing Corporation Ltd||JPHCL RANCHI,15-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShFAN1%2FkIsoZaN2eH2k3NCA%3D%3D
5,2025_JPHCL_105148_1,[Repair Work of Fire Station Building at Daltonganj in the district of Palamu.],26-Sep-2025 05:00 PM,Jharkhand Police Housing Corporation Ltd||JPHCL RANCHI,15-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKaIyWZ9bpMVyrdZWuA64pw%3D%3D
6,2025_JSBCC_105181_1,"[Renovation of Boundary wall of Rajkiye Polytechnic, Dhanbad]",25-Sep-2025 06:00 PM,Jharkhand State Building Construction Corporation Limited,15-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfDCW7%2F7uMLhn4Q69YlThaQ%3D%3D
7,2025_DZPD_104928_1,[Construction of Health Sub Centre Jaypahari under Raneshwar Block of Dumka District.],18-Sep-2025 11:00 AM,DUMKA ZILA PARISHAD,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfDgXV5K3wfxMaeqBN0eAyQ%3D%3D
8,2025_UDD_105112_9,[Construction of PCC Road and RCC Drain in bandhgari from house of umesh gupta to house of Manju kumari at ward no-06],25-Sep-2025 06:30 PM,UDD Secretary||UDD Chairperson eProc Cell,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSY1RtkVfKrDGl2H1nrpMFQ%3D%3D
9,2025_RDSPL_104962_1,[CONSTRUCTION OF PARK AND PCC ROAD IN CAMPUS OF MEHRMA BLOCK GODDA DIATRICT.],18-Sep-2025 06:00 PM,RDD Special Division||RDD SPL CE RANCHI||RDD SPL SE Dumka||RDD SPL EE Godda,03-Oct-2025 05:00 PM,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXYSnJEqrzxzKW6aKQIbXrg%3D%3D
10,2025_DZPD_104927_1,[Construction of Health Sub Centre Dhadka under Raneshwar Block of Dumka District.],18-Sep-2025 11:00 AM,DUMKA ZILA PARISHAD,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SoJCMjrHp80Hp9nQvIapE9A%3D%3D
11,2025_UDD_105307_1,"[Construction of PCC Road, RCC Drain and Culvert in different lanes of Brahmachari Nagar Near Ashtabuja Durga Mandir Under Ward No-01]",27-Sep-2025 06:55 PM,UDD Secretary||UDD Chairperson eProc Cell,17-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkGcKeG0p%2FeAxhdg%2FFTwM3A%3D%3D
12,2025_WRD_105312_1,"[Construction of Weir in Biherjore River Near Ghoghri Tikar under Block - Poraiyahat, District - Godda]",29-Sep-2025 11:00 AM,WRD EinC Major-Med n Minor||WRD Minor CE DUM||WRD SE DUM Minor||WRD EE Dumka Minor,11-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SaSBPXdiBByuKbttSTfJ4XQ%3D%3D
13,2025_JSEB_105197_1,[Selection of Project Management ],25-Sep-2025 06:30 PM,"JSEB||JBVNL||GM (COMMERCIAL), JBVNL.",16-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgYet8oZWvnRD5t49yP%2FYQQ%3D%3D
14,2025_BCD_105273_1,[Construction of Weigh Bridge and Operator Room with 1000 MT Godown At Raj Dhanwar Giridih.],27-Sep-2025 09:00 AM,"BCD EinC||BCD CE||BCD SE HAZARIBAGH||BCD EE, GIRIDIH.",16-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNp6Nvg4oW8RxbL5WBGPJWw%3D%3D
15,2025_HRD_104900_1,"[Construction of 100 Bedded Hostel for PVTG at Govt. Basic School Taljhari (UDISE 20090903802), at Taljhari block in Sahebganj district of Santhal Pragana Division in Jharkhand.]",16-Sep-2025 04:30 PM,HRD Secretary||Jharkhand Education Project Council,03-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SjcGTizvxKFCtQfzWt8mUbg%3D%3D
16,2025_ENRGY_105159_1,[S/R to External lighting of Garden light and security light in the campus of Circuit House at Seraikela.],25-Sep-2025 04:00 PM,Energy CEE,04-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SI3yuLXulmm98Rx8v4YnruA%3D%3D
17,2025_HLTH_104918_1,[Rate Contract for Cath Lab at Sadar Hospital Ranchi],17-Sep-2025 12:25 PM,Health CE,04-Oct-2025 05:00 PM,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9qIvt3%2FHWJZ2Hldb3z0jcg%3D%3D
18,2025_UDD_105243_2,[Improvement  of PCC road Bariyatu main road to clinica cure hospital under ward No-04],26-Sep-2025 06:00 PM,UDD Secretary||UDD Chairperson eProc Cell,09-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGNKZqCBGwd0o6dl74VbZKQ%3D%3D
