Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_UDD_105311_1,1,"[Taking Out Of 400 mm Dia DI K-9 Pipe and Supplying and Laying DI K-9 Pipe At Jhariya Sindri Main Road ,Construction Of RCC Box Culvert and Construction Of   Air Valve Brick Masonry Chamber Near Dukhaharni Mandir  Under Jmada, Dhanbad.]",29-Sep-2025 09:00 AM,UDD Secretary||UDD Chairperson eProc Cell,04-Oct-2025 04:00 PM,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SuRHqoAxxakmAz%2FDf2UrDUg%3D%3D
2,2025_HLDHN_105081_1,1,[Rate contract for Supply of Medicine Equipment and Cancumables],23-Sep-2025 03:00 PM,Health Dept Dhanbad,09-Oct-2025 05:00 PM,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SKbyzd5%2FS4FVfWfWle8athg%3D%3D
3,2025_UDD_104978_1,1,[RCC DRAIN],19-Sep-2025 11:00 AM,UDD Secretary||UDD Chairperson eProc Cell,04-Oct-2025 11:00 AM,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SH%2BP88Um%2FDYBjVekxscFkrQ%3D%3D
4,2025_RDSPL_104962_1,1,[CONSTRUCTION OF PARK AND PCC ROAD IN CAMPUS OF MEHRMA BLOCK GODDA DIATRICT.],18-Sep-2025 06:00 PM,RDD Special Division||RDD SPL CE RANCHI||RDD SPL SE Dumka||RDD SPL EE Godda,03-Oct-2025 05:00 PM,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXYSnJEqrzxzKW6aKQIbXrg%3D%3D
5,2025_HLTH_104918_1,1,[Rate Contract for Cath Lab at Sadar Hospital Ranchi],17-Sep-2025 12:25 PM,Health CE,04-Oct-2025 05:00 PM,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9qIvt3%2FHWJZ2Hldb3z0jcg%3D%3D
6,2025_RDSPL_104861_1,1,[ CONSTRUCTION OF BOUNDARY WALL AT  BLOCK CAMPUS MEHARMA UNDER BLOCK MEHARMA IN GODDA DISTRICT.],16-Sep-2025 06:40 PM,RDD Special Division||RDD SPL CE RANCHI||RDD SPL SE Dumka||RDD SPL EE Godda,03-Oct-2025 05:00 PM,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SeB2B7QZQx498J1HCu8pyKA%3D%3D
7,2025_MGM_104795_1,1,[SUPPLY AND INSTALLATION OF MACHINE AND EQUIPMENTS IN MGM MEDICAL COLLEGE HOSPITAL JAMSHEDPUR],15-Sep-2025 09:00 AM,MGM Medical College Jamshedpur||MGM Medical College,10-Oct-2025 06:00 PM,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SlSKBA1bdRJA%2FB5sl7Gztqw%3D%3D
8,2025_ZPCHT_104808_1,1,[Supply fixing and installation at position of Mobile Digital Movie Theater at Chatra Town and operation ],12-Sep-2025 06:00 PM,Zila Parishad Chatra,04-Oct-2025 04:00 PM,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SbNoBO88VNHMaXiFxE%2ByVZQ%3D%3D
9,2025_HLTH_104763_1,1,[Rate contract for Vantilator and  Urology Dept  Machine Upkaran],12-Sep-2025 09:00 AM,Health CE,06-Oct-2025 05:00 PM,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SsZ%2B8CwukK5g5eQ3vCm0HdA%3D%3D
10,2025_IPRD_104756_1,1,[RFP FOR SELECTION OF IT COMPANY],11-Sep-2025 12:30 PM,Information and Public Relations,02-Oct-2025 03:00 PM,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1Kh9cbXucUoEydumE7KS9A%3D%3D
