Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_LSGD_800360_1,[Annual Plan 2025 26 KANDANASSERY GP BUDS REHABILITATION CENTRE RENNOVATION PRO 243],22-Sep-2025 05:00 PM,Local Self Government Department||Thrissur||Grama Panchayath Section Office TRCHR||Office of the AE Kandanassery Grama Panchayath,29-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3QhXa%2F6R3yNno0ot8CdBKg%3D%3D
2,2025_FD_800725_1,[CONSTRUCTION OF NEW SEPTIC TANK FOR ADAVI ECO TOURISM BUILDING AT CHETHALAYAM IN KURICHIAT RANGE],22-Sep-2025 04:00 PM,Forest Department||Wildlife Division Wayanad,30-Sep-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsCkwbMdpaed2xg%2F1GAUhhg%3D%3D
3,2025_LSGD_799051_2,[PR NO-321-26-PALAKKUNNU ROAD CONCRETE IN WARD 20],22-Sep-2025 04:00 PM,Local Self Government Department||Wayanad||Grama Panchayath Section Office WYND||Office of the AE Meppady  Grama Panchayath,30-Sep-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNMvW3JXldcbQgbVV1w2CFQ%3D%3D
4,2025_LSGD_800954_15,[Annual Plan-CHOKLI GP Pro No 140/25-26-KACHERI MOTTA MATHIYAMBATH ROAD MAINTENANCE-General Civil Work (re-tender)],24-Sep-2025 02:00 PM,Local Self Government Department||Kannur||Grama Panchayath Section Office Kannur||Office of the AE Chokli Grama Panchayath,04-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SImrxMemfI8Yp6Rf896Xekw%3D%3D
5,2025_LSGD_794553_2,[AKD-297/26 Kadayiruppu Canal Bund road retarring Ward 4],23-Sep-2025 06:00 PM,Local Self Government Department||Ernakulam||Grama Panchayath Section Office Ernakulam||Office of the AE Aikkaranad Grama Panchayath,30-Sep-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJfspOXP%2BYbKNBwkc7fW9RA%3D%3D
6,2025_LSGD_800689_71,[Annual Plan-Kottoppadam GP Pro no 426/25-26 Vadasserippuram Pulliyampara Road Re-tarring ward-12],24-Sep-2025 06:00 PM,Local Self Government Department||Palakkad||Grama Panchayath Section Office PKD||Office of the AE Kottopadom Grama Panchayath,04-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sz%2Ffdk%2Fi3eJm%2F8A0hmlPcJA%3D%3D
7,2025_LSGD_801873_26,[Ottathai-Perumunda Road Maintenance],25-Sep-2025 05:00 PM,Local Self Government Department||Kannur||Grama Panchayath Section Office Kannur||Office of the AE Alakkod Grama Panchayath,07-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzbHnjXgQ%2BC3ziHONAuJ1AQ%3D%3D
8,2025_LSGD_788227_10,[Re tender-Retrarring of Sinciyar lane in ward No.4 of Pallippuram GP],24-Sep-2025 11:00 AM,Local Self Government Department||Ernakulam||Grama Panchayath Section Office Ernakulam||Office of the AE Pallippuram Grama Panchayath,03-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYDR4xVN4CQUYjVB5SYBH1A%3D%3D
9,2025_LSGD_801346_35,[317/25- Bhoothathan nada changalikunninpuram road concrete],25-Sep-2025 05:00 PM,Local Self Government Department||Kollam||Grama Panchayath Section Office KLM||Office of the AE Piravanthoor Grama Panchayath,03-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3d16Q9LYBMRewbnOt89iMA%3D%3D
10,2025_LSGD_787622_26,[82 MILMAPPADY 8TH MILE ROAD MAINTENANCE],23-Sep-2025 04:00 PM,Local Self Government Department||Idukki||Grama Panchayath Section Office IDK||Office of the AE Kamakshi Grama Panchayath,03-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SvgjJjQLE4mWJKgFqiPDlvQ%3D%3D
