Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_PWD_17526_1,[Construction of link road from Jago house to Gyao house at Torpo near Khakshal of grating and side drain ],16-Sep-2025 06:00 PM,Public Works Department||Chief Engineer PW(R and B) - Ladakh||PWD Department - Leh||R and B Leh,06-Oct-2025 04:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMd1fTMt%2F3F7mMt96rBr57w%3D%3D
2,2025_RDD_17548_2,[Upgradation Of Irrigation Canal At Khachey Thang],18-Sep-2025 05:00 PM,Rural Development and Panchayati Raj||Directorate of RDD||Rural Development Department - Leh,03-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWWqasmvY02mvirJ4tPXoGQ%3D%3D
3,2025_PWD_17585_1,[Drilling of 5inch dia borewell at chuchot yokma],23-Sep-2025 06:00 PM,Public Works Department||Chief Engineer  PHE/I and FC - Ladakh||PWD Department - Leh||PHE - Leh,03-Oct-2025 02:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SaORZuiTy6b9n1CNZdzDrEw%3D%3D
4,2025_PDNRE_17550_1,[Supply Installation Testing and Commissioning for Extension of 11KV Line in Leh District on full turnkey basis under SDP 2024 25],18-Sep-2025 06:00 PM,Power Development and Non-Renewable Energy||Chief Engineer Distribution PDD,01-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKBcKsc7vrxf9l4lFJPuPZQ%3D%3D
5,2025_PWD_17055_6,"[Construction of link road at Tangyar village (Old Tangyar), by way of providing and laying GSB, WMM and 25mm thick OGPC.]",26-Sep-2025 06:00 PM,Public Works Department||Chief Engineer PW(R and B) - Ladakh||PWD Department - Leh||SSD Nubra,30-Sep-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SvjgxkHZIwyINlMlMakGX0g%3D%3D
6,2025_PWD_17590_1,[Laying and fitting of distribution line including pipe special for new additional connection for up-gradation/retrofitting of Water Supply Scheme Printee Panikhar (under JJM).],24-Sep-2025 01:25 PM,Public Works Department||Chief Engineer  PHE/I and FC - Ladakh||PWD Department - Kargil||PHE - Kargil,30-Sep-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkPp%2FstxKYXOHDpTagFNWiQ%3D%3D
7,2025_RDD_17548_8,[Construction Of Irrigation Khul At Taru],19-Sep-2025 11:00 AM,Rural Development and Panchayati Raj||Directorate of RDD||Rural Development Department - Leh,03-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1P7c7JRQdDPWhqF2SYSyYw%3D%3D
8,2025_PWD_17050_2,"[Construction of road Zorawar bridge to skara bridge (By way of GSB, WMM, BM and OGPG) Length 600mtr]",30-Jul-2025 06:00 PM,Public Works Department||Chief Engineer PW(R and B) - Ladakh||PWD Department - Leh||R and B Leh,01-Oct-2025 04:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCsoig2WbV6wB2bOr1fdc6g%3D%3D
9,2025_PWD_17173_1,"[Providing and laying of 150mm thick WMM, 50mm thick BM, 20mm thick OGPC at Manser farm Phey ]",08-Aug-2025 06:00 PM,Public Works Department||Chief Engineer PW(R and B) - Ladakh||PWD Department - Leh||R and B Leh,01-Oct-2025 04:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SztHWo0DEIO%2Fg90z%2BrIo6%2Fw%3D%3D
10,2025_PWD_17604_1,"[ELECTRIFICATION OF CONSTRUCTION OF OFFICE CUM STAFF QUARTER AT PGF KHURIL,NYOMA]",26-Sep-2025 12:00 PM,Public Works Department||Chief Engineer PW(R and B) - Ladakh||PWD Department - Leh||SSD Nyoma,06-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3cOISfeFuR8WGQfQc%2FQdwA%3D%3D
