Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_PWD_17585_2,1,[Drilling of 125mm dia borewell for installation of soar submersible pump at Govt middle school Gangles skara Ayu saboo phey  changspa tukcha and stok rutu under samagra  shiksha],23-Sep-2025 06:00 PM,Public Works Department||Chief Engineer  PHE/I and FC - Ladakh||PWD Department - Leh||PHE - Leh,03-Oct-2025 02:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S7AkwI89IKRZm%2Fl3PeXMI9g%3D%3D
2,2025_PWD_17585_1,1,[Drilling of 5inch dia borewell at chuchot yokma],23-Sep-2025 06:00 PM,Public Works Department||Chief Engineer  PHE/I and FC - Ladakh||PWD Department - Leh||PHE - Leh,03-Oct-2025 02:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SaORZuiTy6b9n1CNZdzDrEw%3D%3D
3,2025_PDNRE_17579_1,1,[Supply Installation Testing and Commissioning for Improvement and Stabilization of HT/LT Lines and Substations in Leh District on full turnkey basis under SSP FY 2024-25],22-Sep-2025 06:00 PM,Power Development and Non-Renewable Energy||Chief Engineer Distribution PDD,04-Oct-2025 02:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Swm8e6VNA6pSdjyZNAvE5xA%3D%3D
4,2025_FEE_17566_1,1,[Providing and fixing of chain link fencing at Lakjung-III of Nubra Forest Range for the year 2025-26 under the scheme CAMPA 52d],22-Sep-2025 10:00 AM,Forest Ecology and Environment||Chief Conservator Forest - Ladakh||Forest Department - Leh,06-Oct-2025 04:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S3JydHM85UjcojUY%2FfKlawQ%3D%3D
5,2025_FEE_17558_2,1,"[Construction of crate bunds at Nidder, Tikur, Rongo, Koyul and Demjok areas of Nyoma Forest Range for the year 2025-26 under the scheme CAMPA 52g]",19-Sep-2025 05:00 PM,Forest Ecology and Environment||Chief Conservator Forest - Ladakh||Forest Department - Leh,01-Oct-2025 03:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sjd7aqjhpeV6%2F3hcrhVdDjQ%3D%3D
6,2025_FEE_17558_1,1,[Construction of crate bunds at Changmachen and RiyongNallah areas of Durbuk Forest Range for the year 2025-26 under the scheme CAMPA 52g],19-Sep-2025 05:00 PM,Forest Ecology and Environment||Chief Conservator Forest - Ladakh||Forest Department - Leh,01-Oct-2025 04:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHSlv7emqHSn1qN1JgfLrXA%3D%3D
7,2025_FEE_17549_3,1,[Providing and fixing of chain-link fencing at Kargyam Barma and Phobrang area of Durbuk Forest Range for the year 2025-26 under the scheme CAMPA 52d],18-Sep-2025 03:30 PM,Forest Ecology and Environment||Chief Conservator Forest - Ladakh||Forest Department - Leh,01-Oct-2025 04:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SAHLyFKMDzaewb21Vxvm8Tw%3D%3D
8,2025_FEE_17549_2,1,"[Providing and fixing of chain link fencing at Takshang Nallah, Korzok for the year 2025-26 under the scheme CAMPA 52d]",18-Sep-2025 03:30 PM,Forest Ecology and Environment||Chief Conservator Forest - Ladakh||Forest Department - Leh,01-Oct-2025 04:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SzT2dwsBneQEWDIGII0Ou%2BA%3D%3D
9,2025_FEE_17549_1,1,[Providing and fixing of chain link fencing at Rongoo II and Bhuk Shado Anlay of Nyoma Community area for the year 2024-25 under the scheme CAMPA 52d.],18-Sep-2025 03:30 PM,Forest Ecology and Environment||Chief Conservator Forest - Ladakh||Forest Department - Leh,01-Oct-2025 04:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFqAZbJwoAIPBW52yjnl9SA%3D%3D
10,2025_FEE_17549_4,1,[Providing and fixing of chain-link fencing at Man Zagang A and Man Zagang B  area of Durbuk Forest Range for the year 2025-26 under the scheme CAMPA 52d],18-Sep-2025 03:30 PM,Forest Ecology and Environment||Chief Conservator Forest - Ladakh||Forest Department - Leh,01-Oct-2025 04:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ScpbosPFSpLv%2FeCyBAtsW9Q%3D%3D
11,2025_PDNRE_17542_1,1,[Supply Installation Testing and  Commissioning for Creation of Distribution Sub-Stations at various location in Leh District on full turnkey basis under SDP 2025 26],17-Sep-2025 06:00 PM,Power Development and Non-Renewable Energy||Chief Engineer Distribution PDD,06-Oct-2025 02:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SDWdU9QX1tHPNaRIx%2FBc7Bg%3D%3D
12,2025_PWD_17526_1,1,[Construction of link road from Jago house to Gyao house at Torpo near Khakshal of grating and side drain ],16-Sep-2025 06:00 PM,Public Works Department||Chief Engineer PW(R and B) - Ladakh||PWD Department - Leh||R and B Leh,06-Oct-2025 04:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMd1fTMt%2F3F7mMt96rBr57w%3D%3D
13,2025_PWD_17502_2,1,[Motorable bridge at Relay Rongo over Anlay Nallah by way of approach filling under SDP],13-Sep-2025 02:00 PM,Public Works Department||Chief Engineer PW(R and B) - Ladakh||PWD Department - Leh||SSD Nyoma,30-Sep-2025 04:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SKs0pUIiSnUP4Qlytd0vmuQ%3D%3D
14,2025_PWD_17502_1,1,[Upgradation of existing check post of wildlife division at Mahey],13-Sep-2025 02:00 PM,Public Works Department||Chief Engineer PW(R and B) - Ladakh||PWD Department - Leh||SSD Nyoma,30-Sep-2025 04:00 PM,https://tenders.ladakh.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SYpFsd6rtgT1Q02f3IrraTQ%3D%3D
