S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,29-Sep-2025 04:00 PM,17-Oct-2025 04:00 PM,18-Oct-2025 10:00 AM,[Upgradation and Modification of Photang Bodhkharboo Kargil.],"[Upgradation and Modification of Photang Bodhkharboo Kargil.]
																				[E-TENDER 32 OF TDA KARGIL 2025-26][2025_LAHDC_17619_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SC3lpPBKbALj42AxOGuCGGw%3D%3D,LAHDC - Kargil||Deputy Commissioner/CEO - LAHDC - Kargil||Kargil Development Agency Kargil
2,1,29-Sep-2025 04:00 PM,09-Oct-2025 04:00 PM,10-Oct-2025 12:00 PM,[Upgradation of Takthok monastery],"[Upgradation of Takthok monastery]
																				[E tender 22 of LDA Leh of 2025-26   ][2025_LAHD_17621_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sy9jDtu2avOIjOVnuliNohA%3D%3D,"LAHDC - Leh||Deputy Commissioner/CEO - LAHDC - Leh||Tourism Development Authority, Leh"
3,1,29-Sep-2025 04:00 PM,17-Oct-2025 04:00 PM,18-Oct-2025 11:00 AM,[DEVELOPMENT OF LAWN IN FRONT SIDE OF IMAMBARGAH NARAMBI SANKO],"[DEVELOPMENT OF LAWN IN FRONT SIDE OF IMAMBARGAH NARAMBI SANKO]
																				[E-TENDER 33 OF TDA KARGIL 2025-26][2025_LAHDC_17620_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SK2H5ljKhKlxeQl89BN8mNg%3D%3D,LAHDC - Kargil||Deputy Commissioner/CEO - LAHDC - Kargil||Kargil Development Agency Kargil
4,1,29-Sep-2025 11:00 AM,30-Sep-2025 02:00 PM,30-Sep-2025 04:00 PM,"[Development of Sports Court (Volley Ball , Basket Ball) HSS Pashkum]","[Development of Sports Court (Volley Ball , Basket Ball) HSS Pashkum]
																				[e-Tender- 85 of REW Kargil UTL of 2025-26][2025_RDD_17597_3]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Siysb%2BiuAQyVXFRqqISphnA%3D%3D,Rural Development and Panchayati Raj||Directorate of RDD||Rural Engineering Wing Kargil
5,1,27-Sep-2025 06:00 PM,02-Oct-2025 02:00 PM,03-Oct-2025 02:00 PM,[Construction of water storage reservoir at Ngagyur Urgain Dongak shedrupling shey leh.],"[Construction of water storage reservoir at Ngagyur Urgain Dongak shedrupling shey leh.]
																				[	E-Tender no 449 of phe div leh][2025_PWD_17617_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKNqtJwgf332%2FuvDkxm6vHQ%3D%3D,Public Works Department||Chief Engineer  PHE/I and FC - Ladakh||PWD Department - Leh||PHE - Leh
6,1,27-Sep-2025 06:00 PM,06-Oct-2025 04:00 PM,08-Oct-2025 02:00 PM,[Re Construction of District Commissioner Office Leh by wayof plumbing and fire fighting work under SDP],"[Re Construction of District Commissioner Office Leh by wayof plumbing and fire fighting work under SDP]
																				[E Tender 138 of R and B Division Leh ][2025_PWD_17616_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCA9yt7TTg%2FFkzMg1healjA%3D%3D,Public Works Department||Chief Engineer PW(R and B) - Ladakh||PWD Department - Leh||R and B Leh
7,1,27-Sep-2025 06:00 PM,30-Sep-2025 02:00 PM,01-Oct-2025 02:00 PM,"[Supply of HDPE Pipes and HDPE Fittings of all types , Dia along with Sentex 500ltr and other items.]","[Supply of HDPE Pipes and HDPE Fittings of all types , Dia along with Sentex 500ltr and other items.]
																				[E-Tender no 448 of phe div leh][2025_PWD_17614_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsViq%2Be6kfyOszRbOBnJQFw%3D%3D,Public Works Department||Chief Engineer  PHE/I and FC - Ladakh||PWD Department - Leh||PHE - Leh
8,1,27-Sep-2025 06:00 PM,04-Oct-2025 04:00 PM,06-Oct-2025 12:00 PM,[Drilling of 8 inch dia bore well along with Solar Submersible pump at Satkung Wanla( Under Untied)],"[Drilling of 8 inch dia bore well along with Solar Submersible pump at Satkung Wanla( Under Untied)]
																				[66 of I and FC Division Leh 2025-26][2025_PWD_17509_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2IIVBPQ0g1PGSkpGPQK7nQ%3D%3D,Public Works Department||Chief Engineer  PHE/I and FC - Ladakh||PWD Department - Leh||I and FC - Leh
9,1,27-Sep-2025 06:00 PM,04-Oct-2025 04:00 PM,06-Oct-2025 12:00 PM,[Providing and fitting of 3HP Solar Submersible/Horizontal pump and laying and fitting of 80mm dia pipe line for tsewang Gurmet and other at Tarchit Wanla(Under Untied)],"[Providing and fitting of 3HP Solar Submersible/Horizontal pump and laying and fitting of 80mm dia pipe line for tsewang Gurmet and other at Tarchit Wanla(Under Untied)]
																				[67 of I and FC Division Leh 2025-26][2025_PWD_17511_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkamoDfRjGkjnK0VUBZ3jHg%3D%3D,Public Works Department||Chief Engineer  PHE/I and FC - Ladakh||PWD Department - Leh||I and FC - Leh
10,1,27-Sep-2025 06:00 PM,30-Sep-2025 02:00 PM,01-Oct-2025 02:00 PM,[Dismantling and Construction of sluice valve chambers at various places in leh Town.],"[Dismantling and Construction of sluice valve chambers at various places in leh Town.]
																				[E-Tender no 437 of phe div leh][2025_PWD_17451_4]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SlY2QhoXb70jdihmJdjSPFA%3D%3D,Public Works Department||Chief Engineer  PHE/I and FC - Ladakh||PWD Department - Leh||PHE - Leh
11,1,27-Sep-2025 06:00 PM,30-Sep-2025 02:00 PM,01-Oct-2025 02:00 PM,"[Landscaping and development of WTP Compound at Stage 1st WTP, Leh town.]","[Landscaping and development of WTP Compound at Stage 1st WTP, Leh town.]
																				[E-Tender no 443 of phe div leh][2025_PWD_17533_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWKlsEXlxvYCV2BAxjkSHbQ%3D%3D,Public Works Department||Chief Engineer  PHE/I and FC - Ladakh||PWD Department - Leh||PHE - Leh
