Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_UTL_3102_1,[Laying/ Replacement of UG cable at Kiltan],13-Sep-2025 10:00 AM,Lakshadweep District||Department of Electricity-UTL||Executive Engineer-DoE-UTL||Assistant Engineer Kilthan-DoE-UTL,06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRG7eHOkvptRNnprkNMh6Rg%3D%3D
2,2025_UTL_3101_1,"[Re Construction of Government Senior Secondary School at Minicoy, Lakshadweep]",12-Sep-2025 03:45 PM,Lakshadweep District||Lakshadweep Public Works Department-UTL||Executive Engineer Kavaratti-LPWD-UTL,14-Oct-2025 03:00 PM,https://tendersutl.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMauOc7E213oNIfn7eJzS6A%3D%3D
3,2025_UTL_3100_1,[TENDER FOR STEVEDORING SERVICES AT MANGALORE PORTS],10-Sep-2025 05:00 PM,Lakshadweep District||Lakshadweep Development Corporation(LDCL)||Shipping - Steamer/Stevedoring/Ship Keeping,01-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sr9kKXakMq01EvXwiDvk8Jw%3D%3D
4,2025_UTL_2959_7,[Development of city center at Agatti island Lakshadweep Balance Work retender 6],08-Sep-2025 06:30 PM,Lakshadweep District||Kavaratti Smart City Limitted(KSCL),30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEcuNT5YSWUB9ay5s04MD3w%3D%3D
5,2025_UTL_3077_2,[Supply and Installation of LED Street Light in the TWO burial ground at Minicoy Island  vide F. No 63/2/2023/ELE/Part-2 Dated 25.09.2025],25-Sep-2025 06:15 PM,Lakshadweep District||Department of Electricity-UTL||Asst.Engineer Kochi-DoE-UTL,06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SU2W%2BaeQqxFftqQTIw8I%2Bag%3D%3D
6,2025_UTL_3111_1,[E- Tenders are invited from established Suppliers/Ship Chandlers with sound financial background and experience in the field of on-board supply of Life Saving Appliances (LSA) and Fire Fighting Appliances (FFA) items required for LDCL ],24-Sep-2025 06:15 PM,Lakshadweep District||Lakshadweep Development Corporation(LDCL)||Materials- Shipping,20-Oct-2025 02:00 PM,https://tendersutl.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Styu8W8VJTUXDHHGZoq6xww%3D%3D
7,2025_UTL_3107_1,[REQUEST FOR PROPOSALS (RFP) FOR DEVELOPMENT OF MINICOY ISLAND ECO TOURISM RESORT],20-Sep-2025 12:30 PM,Lakshadweep District||Department of Tourism,21-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCyeoLE6ova3Y%2BMfU2jOQdw%3D%3D
8,2025_UTL_3096_1,[Third Party Monitoring and evalution for Design Operation and Management of Solid Plastic Waste  Liquid Waste under Swachh Bharat Mission Grameen in the Union Territory of Lakshadweep ],03-Sep-2025 06:30 PM,Lakshadweep District||Directorate of Panchayat,06-Oct-2025 09:30 AM,https://tendersutl.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SbcHxOwoPg6dbk8Ehkd5TUg%3D%3D
9,2025_UTL_3038_1,"[Development of Nursing and Paramedical College at Kavaratti, Lakshadweep]",12-Jul-2025 01:00 PM,Lakshadweep District||Lakshadweep Public Works Department-UTL||Executive Engineer Kavaratti-LPWD-UTL,06-Oct-2025 03:00 PM,https://tendersutl.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SR%2FaQOcA2RGGDUlNVQLlhhg%3D%3D
10,2025_UTL_3058_3,[ Repair and Maintenance of Transformer under Lakshadweep Electricity Department ],25-Sep-2025 05:30 PM,Lakshadweep District||Department of Electricity-UTL||Asst.Engineer Kochi-DoE-UTL,06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sj176B%2BpA5jf2jiy%2FHEm32g%3D%3D
11,2025_UTL_3106_1,[Annual procurement and supply of  Ayurvedic essential Medicines required for all AYUSH Health Facilities for the year 2025-26],20-Sep-2025 09:00 AM,Lakshadweep District||Medical and Health Department-UTL,10-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJ13HscprfD7ZtPBpKvysng%3D%3D
12,2025_UTL_3099_1,[TENDER FOR STEVEDORING SERVICES AT KOCHI],10-Sep-2025 05:00 PM,Lakshadweep District||Lakshadweep Development Corporation(LDCL)||Shipping - Steamer/Stevedoring/Ship Keeping,01-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1AxgsLmnxNjvizYwTIZLTw%3D%3D
