S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,25-Sep-2025 06:15 PM,06-Oct-2025 03:00 PM,07-Oct-2025 04:00 PM,[Supply and Installation of LED Street Light in the TWO burial ground at Minicoy Island  vide F. No 63/2/2023/ELE/Part-2 Dated 25.09.2025],"[Supply and Installation of LED Street Light in the TWO burial ground at Minicoy Island  vide F. No 63/2/2023/ELE/Part-2 Dated 25.09.2025]
																				[F. No 63/02/2023/ELE/Part-2 dated 06.08.2025][2025_UTL_3077_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SU2W%2BaeQqxFftqQTIw8I%2Bag%3D%3D,Lakshadweep District||Department of Electricity-UTL||Asst.Engineer Kochi-DoE-UTL
2,1,25-Sep-2025 05:30 PM,06-Oct-2025 03:00 PM,07-Oct-2025 04:00 PM,[ Repair and Maintenance of Transformer under Lakshadweep Electricity Department ],"[ Repair and Maintenance of Transformer under Lakshadweep Electricity Department ]
																				[LD-42002/2/2025-LED-ELECTR.][2025_UTL_3058_3]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sj176B%2BpA5jf2jiy%2FHEm32g%3D%3D,Lakshadweep District||Department of Electricity-UTL||Asst.Engineer Kochi-DoE-UTL
3,1,24-Sep-2025 06:15 PM,20-Oct-2025 02:00 PM,20-Oct-2025 03:00 PM,[E- Tenders are invited from established Suppliers/Ship Chandlers with sound financial background and experience in the field of on-board supply of Life Saving Appliances (LSA) and Fire Fighting Appliances (FFA) items required for LDCL ],"[E- Tenders are invited from established Suppliers/Ship Chandlers with sound financial background and experience in the field of on-board supply of Life Saving Appliances (LSA) and Fire Fighting Appliances (FFA) items required for LDCL ]
																				[LDCL/RC/LSA and FFA-2025-02][2025_UTL_3111_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Styu8W8VJTUXDHHGZoq6xww%3D%3D,Lakshadweep District||Lakshadweep Development Corporation(LDCL)||Materials- Shipping
4,1,20-Sep-2025 12:30 PM,21-Oct-2025 06:00 PM,23-Oct-2025 03:00 PM,[REQUEST FOR PROPOSALS (RFP) FOR DEVELOPMENT OF MINICOY ISLAND ECO TOURISM RESORT],"[REQUEST FOR PROPOSALS (RFP) FOR DEVELOPMENT OF MINICOY ISLAND ECO TOURISM RESORT]
																				[F.No. 105/01/2014-SPORTS(Part)][2025_UTL_3107_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCyeoLE6ova3Y%2BMfU2jOQdw%3D%3D,Lakshadweep District||Department of Tourism
5,1,20-Sep-2025 09:00 AM,10-Oct-2025 03:00 PM,10-Oct-2025 03:30 PM,[Annual procurement and supply of  Ayurvedic essential Medicines required for all AYUSH Health Facilities for the year 2025-26],"[Annual procurement and supply of  Ayurvedic essential Medicines required for all AYUSH Health Facilities for the year 2025-26]
																				[F.No.3/10/2025-D (A) /DHS][2025_UTL_3106_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJ13HscprfD7ZtPBpKvysng%3D%3D,Lakshadweep District||Medical and Health Department-UTL
6,1,15-Sep-2025 06:00 PM,27-Oct-2025 03:00 PM,28-Oct-2025 03:30 PM,[14/7/2025-DOP(SWM)],"[14/7/2025-DOP(SWM)]
																				[No.14/7/2025-DOP(SWM)][2025_UTL_3103_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sn4JKRymAPUDTb699ADKvcA%3D%3D,Lakshadweep District||Directorate of Panchayat
7,1,13-Sep-2025 10:00 AM,06-Oct-2025 03:00 PM,06-Oct-2025 03:00 PM,[Laying/ Replacement of UG cable at Kiltan],"[Laying/ Replacement of UG cable at Kiltan]
																				[F.No. 14/06/2020-Ele/Ktn/149 dated 11.09.2025][2025_UTL_3102_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRG7eHOkvptRNnprkNMh6Rg%3D%3D,Lakshadweep District||Department of Electricity-UTL||Executive Engineer-DoE-UTL||Assistant Engineer Kilthan-DoE-UTL
8,1,12-Sep-2025 03:45 PM,14-Oct-2025 03:00 PM,14-Oct-2025 03:30 PM,"[Re Construction of Government Senior Secondary School at Minicoy, Lakshadweep]","[Re Construction of Government Senior Secondary School at Minicoy, Lakshadweep]
																				[NIT No. 30/NIT/EE Kvt/2025-26][2025_UTL_3101_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMauOc7E213oNIfn7eJzS6A%3D%3D,Lakshadweep District||Lakshadweep Public Works Department-UTL||Executive Engineer Kavaratti-LPWD-UTL
9,1,10-Sep-2025 05:00 PM,01-Oct-2025 11:00 AM,01-Oct-2025 11:30 AM,[TENDER FOR STEVEDORING SERVICES AT MANGALORE PORTS],"[TENDER FOR STEVEDORING SERVICES AT MANGALORE PORTS]
																				[LDCL/Stevedoring/Mangalore-5][2025_UTL_3100_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sr9kKXakMq01EvXwiDvk8Jw%3D%3D,Lakshadweep District||Lakshadweep Development Corporation(LDCL)||Shipping - Steamer/Stevedoring/Ship Keeping
10,1,10-Sep-2025 05:00 PM,01-Oct-2025 11:00 AM,01-Oct-2025 11:30 AM,[TENDER FOR STEVEDORING SERVICES AT KOCHI],"[TENDER FOR STEVEDORING SERVICES AT KOCHI]
																				[LDCL/Stevedoring/Kochi-6][2025_UTL_3099_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1AxgsLmnxNjvizYwTIZLTw%3D%3D,Lakshadweep District||Lakshadweep Development Corporation(LDCL)||Shipping - Steamer/Stevedoring/Ship Keeping
11,1,08-Sep-2025 06:30 PM,30-Sep-2025 03:00 PM,30-Sep-2025 03:30 PM,[Development of city center at Agatti island Lakshadweep Balance Work retender 6],"[Development of city center at Agatti island Lakshadweep Balance Work retender 6]
																				[NIT No.02/NIT/CTO-KSCL/Kvt/2025-26][2025_UTL_2959_7]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEcuNT5YSWUB9ay5s04MD3w%3D%3D,Lakshadweep District||Kavaratti Smart City Limitted(KSCL)
12,1,04-Sep-2025 09:00 AM,30-Sep-2025 03:00 PM,30-Sep-2025 03:30 PM,"[Supply of mooring accessories for FADs, tools and safety equipments]","[Supply of mooring accessories for FADs, tools and safety equipments]
																				[LD-13004/1/2024-Fisheries][2025_UTL_3097_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BFZIxcfGFOJ4dix0qwVCyg%3D%3D,Lakshadweep District||Department of Fisheries-UTL||District Fisheries Officer-DoF-UTL
