Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_MDL_98178_1,[Biennial Non Comprehensive Maintenance Contract of Fire Alarm System Installed],22-Sep-2025 04:30 PM,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Outsourcing - MDL,13-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWKJplB9HCAtH%2FDU6rv5xeQ%3D%3D
2,2025_MDL_98208_1,"[Biennial Rate Contract (2025-2027) for Major Civil Works in Various buildings / Workshops in MDL Yards at Dockyard Road, Anik Chembur, Nhava, Gavhan, South Yard Annexe, Residential quarters at Dockyard Road, Vashi and Belapur]",25-Sep-2025 03:00 PM,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Outsourcing - MDL,16-Oct-2025 03:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrI%2FyIgwK1tMDm7uaOAA7Hw%3D%3D
3,2025_MDL_98072_1,[PROCUREMENT OF B and D SPARES OF MPM FOR SM4 TO SM6],04-Sep-2025 05:45 PM,Mazagon Dock Shipbuilders Limited||Submarine and Heavy Engineering Div - MDL||EY Commercial - MDL,30-Sep-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SouWkMv8M4DpkgIXX02FDHA%3D%3D
4,2025_MDL_98159_1,[Casting of Concrete Dock Blocks at Nhava Yard MDL  Navi Mumba],19-Sep-2025 06:30 PM,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Outsourcing - MDL,10-Oct-2025 02:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgwhVZj0wP0dXMLRFQs4E6w%3D%3D
5,2025_MDL_98214_1,[Multi Cable Transit(MCT) Gland ],25-Sep-2025 05:30 PM,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Commecial-Naval Project - MDL||C-P15B - MDL,16-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9TJ86ezb3Rwasi5xisMWvg%3D%3D
6,2025_MDL_97250_3,[NON COMPREHENSSIVE BIENNIAL RATE CONTRACT FOR DI DR OF EPM ALTERNATOR OF UNDER],01-Jul-2025 04:45 PM,Mazagon Dock Shipbuilders Limited||Submarine and Heavy Engineering Div - MDL||EY Commercial - MDL,15-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SE3C5G4x%2FWQ0ql4iRkheZkQ%3D%3D
7,2025_MDL_98071_1,[PROCUREMENT OF B and D SPARES OF COMMUNICATION COMBAT SYSTEM ITEMS FOR SM4 TO SM6 OF P75],04-Sep-2025 05:40 PM,Mazagon Dock Shipbuilders Limited||Submarine and Heavy Engineering Div - MDL||EY Commercial - MDL,10-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAGy9qUEuf3YfM1XCvjjJSg%3D%3D
8,2025_MDL_98062_2,[Procurement of B and D Sapres for Hydraulic and Fresh Water Stainless steel valves],04-Sep-2025 05:15 PM,Mazagon Dock Shipbuilders Limited||Submarine and Heavy Engineering Div - MDL||EY Commercial - MDL,30-Sep-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSCUSG2rwyYHmtCA%2BCr0AQg%3D%3D
9,2025_MDL_98202_1,[Radio Equipment conforming to GMDSS System for Project 7500 Dwt Multi Purpose Dry Cargo Vessel],24-Sep-2025 05:00 PM,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Commecial-Naval Project - MDL||C-P17A - MDL,22-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7%2BW3Rz34Jbb7V84dSf9hog%3D%3D
10,2025_MDL_97838_1,"[Design, Manufacturing, Supply, Erection, Installation, Testing, and Commissioning of 01 no 150 20T Level Luffing LL Jib Crane at Alcock Yard, MDL.]",22-Jul-2025 12:40 PM,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Outsourcing - MDL,09-Oct-2025 03:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SH0pEtEH4dk64bAwYGGX2sg%3D%3D
