S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,25-Sep-2025 05:30 PM,16-Oct-2025 02:00 PM,17-Oct-2025 02:00 PM,[Multi Cable Transit(MCT) Gland ],"[Multi Cable Transit(MCT) Gland ]
																				[1600002115][2025_MDL_98214_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9TJ86ezb3Rwasi5xisMWvg%3D%3D,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Commecial-Naval Project - MDL||C-P15B - MDL
2,1,25-Sep-2025 03:00 PM,16-Oct-2025 03:30 PM,17-Oct-2025 03:30 PM,"[Biennial Rate Contract (2025-2027) for Major Civil Works in Various buildings / Workshops in MDL Yards at Dockyard Road, Anik Chembur, Nhava, Gavhan, South Yard Annexe, Residential quarters at Dockyard Road, Vashi and Belapur]","[Biennial Rate Contract (2025-2027) for Major Civil Works in Various buildings / Workshops in MDL Yards at Dockyard Road, Anik Chembur, Nhava, Gavhan, South Yard Annexe, Residential quarters at Dockyard Road, Vashi and Belapur]
																				[1900000231][2025_MDL_98208_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrI%2FyIgwK1tMDm7uaOAA7Hw%3D%3D,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Outsourcing - MDL
3,1,25-Sep-2025 01:00 PM,16-Oct-2025 02:00 PM,17-Oct-2025 02:00 PM,[MULTI-CHANNEL AUDIO RECORDING ARRANGEMENTS SYSTEM FOR INDIAN COAST GUARD SHIPS.],"[MULTI-CHANNEL AUDIO RECORDING ARRANGEMENTS SYSTEM FOR INDIAN COAST GUARD SHIPS.]
																				[1600002114][2025_MDL_98207_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkKxtvPPBydLqgCB8RfaKig%3D%3D,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Commecial-Naval Project - MDL||C-P15B - MDL
4,1,24-Sep-2025 05:00 PM,22-Oct-2025 02:00 PM,24-Oct-2025 02:00 PM,[Radio Equipment conforming to GMDSS System for Project 7500 Dwt Multi Purpose Dry Cargo Vessel],"[Radio Equipment conforming to GMDSS System for Project 7500 Dwt Multi Purpose Dry Cargo Vessel]
																				[1700000734][2025_MDL_98202_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7%2BW3Rz34Jbb7V84dSf9hog%3D%3D,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Commecial-Naval Project - MDL||C-P17A - MDL
5,1,22-Sep-2025 04:30 PM,13-Oct-2025 03:00 PM,15-Oct-2025 03:30 PM,[Biennial Non Comprehensive Maintenance Contract of Fire Alarm System Installed],"[Biennial Non Comprehensive Maintenance Contract of Fire Alarm System Installed]
																				[6000001689][2025_MDL_98178_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWKJplB9HCAtH%2FDU6rv5xeQ%3D%3D,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Outsourcing - MDL
6,1,22-Sep-2025 12:35 PM,14-Oct-2025 02:30 PM,15-Oct-2025 02:30 PM,[Appointment of Interior Designer Consultant for Modernization of Executive Dinning Hall  North Block NY MDL Mumbai],"[Appointment of Interior Designer Consultant for Modernization of Executive Dinning Hall  North Block NY MDL Mumbai]
																				[1900000233][2025_MDL_98176_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQ993W1A%2BNPMQ9ldNpmtTPw%3D%3D,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Outsourcing - MDL
7,1,19-Sep-2025 06:30 PM,10-Oct-2025 02:30 PM,13-Oct-2025 02:30 PM,[Casting of Concrete Dock Blocks at Nhava Yard MDL  Navi Mumba],"[Casting of Concrete Dock Blocks at Nhava Yard MDL  Navi Mumba]
																				[1900000232][2025_MDL_98159_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgwhVZj0wP0dXMLRFQs4E6w%3D%3D,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Outsourcing - MDL
8,1,12-Sep-2025 05:45 PM,03-Oct-2025 02:00 PM,06-Oct-2025 02:00 PM,[ PROCUREMENT OF IBS -NAVIGATIONAL INSTRUMENTS FOR PROJECT 7500 DWT MULTI-PURPOSE DRY CARGO VESSEL.],"[ PROCUREMENT OF IBS -NAVIGATIONAL INSTRUMENTS FOR PROJECT 7500 DWT MULTI-PURPOSE DRY CARGO VESSEL.]
																				[1700000733][2025_MDL_98119_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScZjqG3suz5isfdOG8EL0fw%3D%3D,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Commecial-Naval Project - MDL||C-P17A - MDL
9,1,08-Sep-2025 05:00 PM,06-Oct-2025 02:00 PM,08-Oct-2025 02:00 PM,[Supply of Ships illumination and Deck Lighting for project 7500 DWT multipurpose dry cargo vessel],"[Supply of Ships illumination and Deck Lighting for project 7500 DWT multipurpose dry cargo vessel]
																				[1700000730][2025_MDL_98061_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGfdIlUQpIgRbDig5NL3SYw%3D%3D,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Commecial-Naval Project - MDL||C-P17A - MDL
10,1,04-Sep-2025 05:45 PM,30-Sep-2025 12:00 PM,30-Sep-2025 03:00 PM,[PROCUREMENT OF B and D SPARES OF MPM FOR SM4 TO SM6],"[PROCUREMENT OF B and D SPARES OF MPM FOR SM4 TO SM6]
																				[EY/CD/SSB/P75/1200003439][2025_MDL_98072_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SouWkMv8M4DpkgIXX02FDHA%3D%3D,Mazagon Dock Shipbuilders Limited||Submarine and Heavy Engineering Div - MDL||EY Commercial - MDL
11,1,04-Sep-2025 05:40 PM,10-Oct-2025 12:00 PM,10-Oct-2025 03:00 PM,[PROCUREMENT OF B and D SPARES OF COMMUNICATION COMBAT SYSTEM ITEMS FOR SM4 TO SM6 OF P75],"[PROCUREMENT OF B and D SPARES OF COMMUNICATION COMBAT SYSTEM ITEMS FOR SM4 TO SM6 OF P75]
																				[EY/CD/DG/P75/1200003440][2025_MDL_98071_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAGy9qUEuf3YfM1XCvjjJSg%3D%3D,Mazagon Dock Shipbuilders Limited||Submarine and Heavy Engineering Div - MDL||EY Commercial - MDL
12,1,04-Sep-2025 05:15 PM,30-Sep-2025 12:00 PM,30-Sep-2025 03:00 PM,[Procurement of B and D Sapres for Hydraulic and Fresh Water Stainless steel valves],"[Procurement of B and D Sapres for Hydraulic and Fresh Water Stainless steel valves]
																				[EY/CD/AP/P75/1200003434][2025_MDL_98062_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSCUSG2rwyYHmtCA%2BCr0AQg%3D%3D,Mazagon Dock Shipbuilders Limited||Submarine and Heavy Engineering Div - MDL||EY Commercial - MDL
13,1,22-Aug-2025 04:00 PM,03-Oct-2025 02:00 PM,07-Oct-2025 02:00 PM,[135 KW EDA for CTS and NGOPVs],"[135 KW EDA for CTS and NGOPVs]
																				[1600002109][2025_MDL_98004_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBafXPg%2F%2BkZi20hir7je3%2FQ%3D%3D,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Commecial-Naval Project - MDL||C-P15B - MDL
14,1,22-Jul-2025 12:40 PM,09-Oct-2025 03:30 PM,10-Oct-2025 03:30 PM,"[Design, Manufacturing, Supply, Erection, Installation, Testing, and Commissioning of 01 no 150 20T Level Luffing LL Jib Crane at Alcock Yard, MDL.]","[Design, Manufacturing, Supply, Erection, Installation, Testing, and Commissioning of 01 no 150 20T Level Luffing LL Jib Crane at Alcock Yard, MDL.]
																				[1900000228][2025_MDL_97838_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SH0pEtEH4dk64bAwYGGX2sg%3D%3D,Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Outsourcing - MDL
