Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_UAD_453707_1,[PARK REPAIRING WORK AT WARD NO 08 VRIDDHAJAN PARK   MUNICIPAL COUNCIL NARMADAPURAM MP.],23-Sep-2025 10:00 AM,Directorate Urban Administration and Development||Join Director-Narmadapuram  Division - UAD||Hoshangabad-Nagar Palika Hoshangabad  - UAD,09-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfR3PeXTEdLtRahc%2F0wXnpw%3D%3D
2,2025_UAD_446603_1,[Inviting  Rates for Purchase of Sanitary Material AS GIVEN IN THE LIST FOR THE FINANCIAL YEAR 2025-26],23-Aug-2025 05:00 PM,Directorate Urban Administration and Development||Join Director-Sagar Division - UAD||Tikamgarh -Nagar Parishad Lidhora khas - UAD,29-Sep-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6yVYnu3uQn17fy9h0xEruQ%3D%3D
3,2025_UAD_449249_4,"[Under Sheetalamai ward, road and drainage repair work covered and chamber work behind Sandeep Nema house on Sandeep Nema lane.]",22-Sep-2025 09:00 AM,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Jabalpur - UAD||Water Supply (PHE) Deptt. - MC Jabalpur - UAD,01-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FRcFsQAsI510%2FrJWaXlfKg%3D%3D
4,2025_UAD_451232_1,"[Widening of Bridge Joining Arjun Nagar to Treasure Township in Ward No.78, Indore]",12-Sep-2025 11:00 AM,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Bridge Cell - MC Indore - UAD,11-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6w1q48OXep7TW7ZWD19BLA%3D%3D
5,2025_UAD_449678_1,[auxen for dukan nilami A/F-02],08-Sep-2025 10:30 AM,Directorate Urban Administration and Development||Join Director-Rewa Division - UAD||Satna-Nagar Parishad New Ramnagar - UAD,07-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5aXYhC3tisZQTlwuBkKtdQ%3D%3D
6,2025_UAD_452985_1,[Allotment of Shop no 5(Fourth Call) for Unreserved Category],23-Sep-2025 06:00 PM,Directorate Urban Administration and Development||Smart Cities - UAD||Satna Smart City Development Limited - UAD,24-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sda7k%2BYlVmvqns1GV3Ae3nA%3D%3D
7,2025_WRD_451145_1,[Repairing and Maintenance],29-Sep-2025 10:30 AM,Engineer-in-Chief - Water Resources Department||E.E. HEAVY MACHIENERY DN GWALIOR - WRD,15-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SO11DdxA9Tlvuj1do2I1o3g%3D%3D
8,2025_UAD_451661_1,[Cement Concrete Road Construction Work from Atesh College to Main Road in Rani Durgavati Ward Pandhurna],13-Sep-2025 04:00 PM,Directorate Urban Administration and Development||Join Director-Jabalpur Division - UAD||Chhindwara-Nagar Palika Pandurna - UAD,03-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FgcFhIz46lh786rRbz0fPg%3D%3D
9,2025_PKVVC_453793_3,"[1 Nos hiring light motor Vehicle ie Utility Pickup LCV  Tata 207 Equivalent latest model New Showroom condition for Attend complaint maintenance of 33/11KV SS Use of AE TSG Satna ,EE STM-STC Satna(As per your Vehicle office our certificate nature)]",26-Sep-2025 05:00 PM,"Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited||Chief Engineer(Rewa Region) - MPPKVVCL||SE(O and M) Satna - MPPKVVCL||EE(O and M), Satna - MPPKVVCL",07-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWsWbq9i%2F16%2BfqBSSwLjEeg%3D%3D
10,2025_PWDRB_449523_1,[Construction  of Karnakhedi to Jhangaria Sarang road length 4.89 km including pole shifting Division Mandsour],05-Sep-2025 06:00 PM,PWD- Roads and Bridges||Ujjain CE Ujjain Zone - PWD,29-Sep-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzLu8XyjrBmZ5hmLb953rEg%3D%3D
