Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_PMCP_1222488_1,[Swami Ramdev Maharaj krida sankul yethe vividh kame karane.],29-Sep-2025 02:30 PM,Pune Municipal Corporation||Building Construction Department,08-Oct-2025 02:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SU%2FGUtOoxEC7QdJs0p3sX4A%3D%3D
2,2025_MCGM_1222176_1,[Improvement of pathways and drainage system Dhake colony at Tape Dargha Suhana Park Lane Andheri W in KW Ward.],25-Sep-2025 05:00 PM,Municipal Corporation of Greater Mumbai||K West Ward||Maintenance Department,02-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBbxMirCbtPCrGKjCVXATJA%3D%3D
3,2025_PMCP_1222023_1,[Mahamadwadi yethil Kai.Dashrath Baliba Bhangire davakhana ek majla vadvine.],26-Sep-2025 02:30 PM,Pune Municipal Corporation||Building Construction Department,06-Oct-2025 02:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Svqjz7xz9gqQH71LDR%2B74cA%3D%3D
4,2025_HINGO_1212381_2,[1.REPAIRS TO GRAMPANCHAYAT OFFICE  AT  PALASGAON TQ BASMATH DIST HINGOLI 2.CONSTRUCTION OF UNDERGROUND DRAIN AT PALASGAON 3.CONSTRUCTION OF UNDERGROUND DRAIN AT PALASGAON 4.CONSTRUCTION OF UNDERGROUND DRAIN AT PALASGAON TQ BASMATH DIST HINGOLI ],25-Sep-2025 06:00 PM,RDD-CEO-HINGOLI||HINGOLI-Dy. CEO V.P.||BASMAT||PALASGAON,01-Oct-2025 09:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sp4UrEtwuYaNGkADf93zVgg%3D%3D
5,2025_MHADA_1221706_13,"[Const. of Toilet Block at Brahmabhatt Garden, Goregaon Railway Station (W)]",25-Sep-2025 09:00 AM,Maharashtra Housing and Area Development Authority||Slum Improvement Board - Mumbai,02-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SjjE%2BVmCsWsAfg1zzfi5PCA%3D%3D
6,2025_CHAND_1220702_1,[Gp Pijdura narega antargat pandan raste],22-Sep-2025 10:00 AM,RDD-CEO-CHANDRAPUR||CHANDRAPUR-Dy. CEO V.P.||WARORA||PUJDURA,30-Sep-2025 05:00 PM,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sb5UbXTKm6X4O0TJSC1IfmA%3D%3D
7,2025_NHM_1221169_30,[Proposed New Construction Of Sub Center Building at. Ghogaspargaon TQ. Shirur Dist. Beed Under 15 th Finance Commision],25-Sep-2025 02:00 PM,SE National Health Mission State Health Society Mumbai||Executive Engineer DDHS NHM Latur,07-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5x%2B4A%2BMmCIqTYQ1B9mig%2FQ%3D%3D
8,2025_NMMC_1216503_22,"[Airoli, Sec.11, Swaraj Co-op. Hq. To Sec.10 Pump House (Right side)]",09-Sep-2025 03:00 PM,Navi Mumbai Municipal Corporation||Estate Department,30-Sep-2025 03:00 PM,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1%2FB99bo6rzgcrL7Hv9OJHQ%3D%3D
9,2025_PWR_1221917_1,[CONSTRUCTION AND WIDENING OF ROAD FROM DONGARGAON RAILWAY CROSSING TO MOUZA KANHOLI TO VENA RIVER ODR 75 LENGTH 1.00 KM IN TAH. HINGNA  DISTT. NAGPUR],25-Sep-2025 09:00 AM,Public Works Region||Public Works Region - Nagpur||Public Works Circle - Nagpur||Public Works Division No.3 Nagpur,03-Oct-2025 06:55 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9MRtQZB0tIOpoyHYfwFPjg%3D%3D
10,2025_RDPUN_1221002_1,[Construction of One New classrooms at ZPPS Raskarmala Tal Purandar Dist Pune],23-Sep-2025 09:00 AM,RDD-CEO-PUNE||PUNE-E.O.(P),30-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SilnVpfSyWvQr9jy1Us3dtQ%3D%3D
