Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_MSBSH_1223386_1,1,[K-12 Sale used Answer Book and Other Paper],29-Sep-2025 01:00 PM,Maharashtra State Board of Secondary and Higher Secondary Education Pune||Division Board Mumbai,13-Oct-2025 03:00 PM,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXNq%2FeFsHqoHBbkwxK0y6Dg%3D%3D
2,2025_CEWRD_1164082_21,1,[Construction of Raising Of Road from RD 0 to 1500 m. and HPC at Village Tekepar Tah.Dist Bhandara],29-Sep-2025 10:00 AM,CE Water Resources Department Gosikurda Project Nagpur||Superintending Engineer Gosekhurd Project Circle Nagpur||EE GRD Nagpur,06-Oct-2025 05:45 PM,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SH%2FeyyFYEXysWXpwozngf0Q%3D%3D
3,2025_MCGM_1219972_11,1,"[ Improvement of pathways and drainage near Ramesh House opp sejal Tower Chawl No 190, Moti lal Nagar No 6 in Beat 58 Goregaon (W) in P/south ward.]",27-Sep-2025 02:00 PM,Municipal Corporation of Greater Mumbai||P/South Ward||Maintenance Department,04-Oct-2025 02:00 PM,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S08wJPwzwOivtzRar7p6OlQ%3D%3D
4,2025_NAGPU_1222857_5,1,[CONSTRUCTION OF DHAMMA KENDRA / LIBRARY],27-Sep-2025 11:00 AM,RDD-CEO-NAGPUR||NAGPUR-Dy. CEO V.P.||RAMTEK,06-Oct-2025 06:00 PM,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SYhscrsWBuzAESdnmUGfFfA%3D%3D
5,2025_NAGPU_1222857_7,1,[CONSTRUCTION OF DHAMMA KENDRA / LIBRARY],27-Sep-2025 11:00 AM,RDD-CEO-NAGPUR||NAGPUR-Dy. CEO V.P.||RAMTEK,06-Oct-2025 06:00 PM,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SfEZ%2BugzD7y%2FcCuF4c0yEAQ%3D%3D
6,2025_NAGPU_1222857_3,1,[CONSTRUCTION OF DHAMMA KENDRA / LIBRARY],27-Sep-2025 11:00 AM,RDD-CEO-NAGPUR||NAGPUR-Dy. CEO V.P.||RAMTEK,06-Oct-2025 06:00 PM,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SeeQvrnG1Zz45CCMbR4KNhA%3D%3D
7,2025_NAGPU_1222857_2,1,[CONSTRUCTION OF DHAMMA KENDRA / LIBRARY],27-Sep-2025 11:00 AM,RDD-CEO-NAGPUR||NAGPUR-Dy. CEO V.P.||RAMTEK,06-Oct-2025 06:00 PM,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=StnMaa7tnluJPEnqgq52vwQ%3D%3D
8,2025_NAGPU_1222857_4,1,[CONSTRUCTION OF DHAMMA KENDRA / LIBRARY],27-Sep-2025 11:00 AM,RDD-CEO-NAGPUR||NAGPUR-Dy. CEO V.P.||RAMTEK,06-Oct-2025 06:00 PM,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SnGXspRYucgcN0iFlWcIr8Q%3D%3D
9,2025_NAGPU_1222857_1,1,[CONSTRUCTION OF DHAMMA KENDRA / LIBRARY],27-Sep-2025 11:00 AM,RDD-CEO-NAGPUR||NAGPUR-Dy. CEO V.P.||RAMTEK,06-Oct-2025 06:00 PM,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Soe0WGSpTIMbPk%2FQHVfDA6g%3D%3D
10,2025_NAGPU_1222857_6,1,[CONSTRUCTION OF DHAMMA KENDRA / LIBRARY],27-Sep-2025 11:00 AM,RDD-CEO-NAGPUR||NAGPUR-Dy. CEO V.P.||RAMTEK,06-Oct-2025 06:00 PM,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STRIn2tUfRua7a1yU4JcUig%3D%3D
