S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
21,2,29-Sep-2025 04:00 PM,06-Oct-2025 12:00 PM,07-Oct-2025 12:00 PM,[Improvement of Storm water drain and passage near janmanas Building KevnipadaGaothan Jogeswari west in beat no. 64 in k west ward.],"[Improvement of Storm water drain and passage near janmanas Building KevnipadaGaothan Jogeswari west in beat no. 64 in k west ward.]
																				[XKW-25-064.002][2025_MCGM_1222702_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SR2TBegnSa8IuDvR5BurrpQ%3D%3D,Municipal Corporation of Greater Mumbai||K West Ward||Maintenance Department
22,2,29-Sep-2025 04:00 PM,06-Oct-2025 02:30 PM,07-Oct-2025 03:00 PM,[Parimandal Kr. 03 antargat Pune shaharatil path dive pranali saksham va adhyavat karanyasathi polla avashyak cable takne.],"[Parimandal Kr. 03 antargat Pune shaharatil path dive pranali saksham va adhyavat karanyasathi polla avashyak cable takne.]
																				[PMC/ELECTRICAL/2025/191][2025_PMCP_1223464_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWt8t%2FUw2hvsLTz9SOBp0hw%3D%3D,Pune Municipal Corporation||Electrical Department
23,2,29-Sep-2025 04:00 PM,06-Oct-2025 02:30 PM,07-Oct-2025 03:00 PM,[Parimandal Kr. 03 madhil niyojit aadarsh shala yeth vidyut vishayak kame karne.],"[Parimandal Kr. 03 madhil niyojit aadarsh shala yeth vidyut vishayak kame karne.]
																				[ PMC/ELECTRICAL/2025/192][2025_PMCP_1223468_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLOq1itUgcv63etTAvjzsKg%3D%3D,Pune Municipal Corporation||Electrical Department
24,2,29-Sep-2025 04:00 PM,07-Oct-2025 04:00 PM,08-Oct-2025 04:00 PM,[Work of repairing and overhauling of main shaft pulley assembly with replacement of damaged bearing of drive and Non end of semi-automatic Washing Machine No-1 at Municipal Power Laundry. ],"[Work of repairing and overhauling of main shaft pulley assembly with replacement of damaged bearing of drive and Non end of semi-automatic Washing Machine No-1 at Municipal Power Laundry. ]
																				[Dy.Ch.Eng.(MandE)/1461][2025_MCGM_1221864_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SoKsGrmNsSXVdsQp5pAdd%2BA%3D%3D,Municipal Corporation of Greater Mumbai||Mechanical and Electrical Department||Dy. Ch.E. (M and E) City||E.E. (Mech) South
25,2,29-Sep-2025 04:00 PM,06-Oct-2025 02:30 PM,07-Oct-2025 03:00 PM,"[Parimandal Kr. 03 antargat Pune shaharatil path dive pranali saksham va adyatan karanyasathi polla avashyak earthing karne, junction box badalne, pole painting karne, numbering va itar vidyut vishayak kame karne.]","[Parimandal Kr. 03 antargat Pune shaharatil path dive pranali saksham va adyatan karanyasathi polla avashyak earthing karne, junction box badalne, pole painting karne, numbering va itar vidyut vishayak kame karne.]
																				[PMC/ELECTRICAL/2025/189][2025_PMCP_1223443_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJ0B8lMkXKAWShKGP0GQ1rw%3D%3D,Pune Municipal Corporation||Electrical Department
26,2,29-Sep-2025 04:00 PM,06-Oct-2025 04:00 PM,07-Oct-2025 04:00 PM,[Imp of passage and drainage system],"[Imp of passage and drainage system]
																				[MDM / P / 3300 ][2025_MCGM_1223428_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8KTRtp2Mo2%2Bt8rYzxz%2BnWg%3D%3D,Municipal Corporation of Greater Mumbai||M/East Ward||Maintenance Department
27,2,29-Sep-2025 04:00 PM,06-Oct-2025 04:00 PM,07-Oct-2025 04:00 PM,"[Supply of Tractor with Trolley, Truck, and Three-Wheeler on Rent Basis as per AMC Requirement]","[Supply of Tractor with Trolley, Truck, and Three-Wheeler on Rent Basis as per AMC Requirement]
																				[AMC/Auto/277/2025 Dt. 29.09.2025][2025_AMC_1223408_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSeLvHchjWxsg6SijXsldWQ%3D%3D,Amravati Municipal Corporation||Automobile
28,2,29-Sep-2025 04:00 PM,06-Oct-2025 02:30 PM,07-Oct-2025 03:00 PM,[Katraj Chowk te Kinara Hotel Mangdewadi yethil rastyala adthala tharnarya M.Ra.Vi.Vi. companyche 22 KV che line bhumigat karne.],"[Katraj Chowk te Kinara Hotel Mangdewadi yethil rastyala adthala tharnarya M.Ra.Vi.Vi. companyche 22 KV che line bhumigat karne.]
																				[PMC/ELECTRICAL/2025/187][2025_PMCP_1223391_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHRs8rq%2BVwcVU04ISYC2UFw%3D%3D,Pune Municipal Corporation||Electrical Department
29,2,29-Sep-2025 04:00 PM,06-Oct-2025 04:00 PM,07-Oct-2025 04:00 PM,[WATER SUPPLY ARRENGMENT PIPE LINE AT JUNONI TQ. AND DIST.DHARASHIV UNDER 15TH F.C. G.P.LEVEL						],"[WATER SUPPLY ARRENGMENT PIPE LINE AT JUNONI TQ. AND DIST.DHARASHIV UNDER 15TH F.C. G.P.LEVEL						]
																				[ETENDERNOTICE25092025-1][2025_OSMAN_1221973_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfHX%2FKSUcVeYbW9coeCpEYA%3D%3D,RDD-CEO-OSMANABAD||OSMANABAD-Dy. CEO V.P.||OSMANABAD
30,2,29-Sep-2025 04:00 PM,06-Oct-2025 02:30 PM,07-Oct-2025 03:00 PM,"[Navyane samavishtha Shivane, Uttamnagar, Kondhwe Dhawade v Kopare parisarat prakash vyavastha karne v tadanushangik kame karne.]","[Navyane samavishtha Shivane, Uttamnagar, Kondhwe Dhawade v Kopare parisarat prakash vyavastha karne v tadanushangik kame karne.]
																				[PMC/ELECTRICAL/2025/188][2025_PMCP_1223423_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4O6MVtHcCdIUg01ral%2Btpw%3D%3D,Pune Municipal Corporation||Electrical Department
