Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_MPHCL_2948_1,"[Development of Eco-Tourism site at Mantripukhri Khongnang Makhong, Imphal East District, Manipur]",23-Sep-2025 06:55 PM,Manipur Police Housing Corporation Ltd||Chief Engineer - MPHCL,08-Oct-2025 01:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sz5tXUL1Teb4ZYym3PkEs1A%3D%3D
2,2025_PWDM1_2951_1,[Upgradation of Cycling Velodrome of Khuman Lampak Sports Complex],26-Sep-2025 10:00 AM,"PWD,Govt. of Manipur",13-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJELHxGYVIpvBgiEcV%2BSWqg%3D%3D
3,2025_MSPCL_2934_1,[SYSTEM STRENGTHENING  OF 33KV TRANSMISSION LINES OF MSPCL ON TURNKEY BASIS UNDER THE SCHEME FOR SPECIAL ASSISTANCE TO STATES FOR CAPITAL INVESTMENT (SASCI).],09-Sep-2025 06:55 PM,Manipur State Power Company Ltd||Managing Director - MSPCL||General Manager - MSPCL,06-Oct-2025 04:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJ5uVAF%2FDe7z21EKBM%2Bx57w%3D%3D
4,2025_RDnPR_2943_1,[Construction of Girls Toilet (SH Civil Work/ SH WSandSI/ SH IEI) in 16 (sixteen) nos. for Primary and 3 (three) nos. for Secondary Schools under Education(S) and TA and Hills with funding from NABARD (RIDF) 2022-23.],16-Sep-2025 12:00 PM,Rural Development and Panchayati Raj||DRDA||DRDA Tengnoupal,03-Oct-2025 04:00 PM,https://manipurtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SUR3Rk2IwpF1xVujA3A8uZQ%3D%3D
5,2025_PWDM1_2953_1,"[Construction of Minor Bridge at Naga Nallah at Khoyathong, Thangal Bazar and COnstruction of New Drain Outlet at SS Hotel]",27-Sep-2025 11:00 AM,"PWD,Govt. of Manipur",10-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sl%2FcgGs8DIRh4x3NKtFJ5LA%3D%3D
6,2025_DST_2952_1,[Outsource Security Personel- Semi-Skilled and Unskilled and Security Staffs for a period of 1(one) year Extendable as Per Requirement.],26-Sep-2025 04:30 PM,Department of Science and Technology,16-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S77f8BaknJofcNlqjZL8UbQ%3D%3D
7,2025_MANID_2946_1,"[CONSTRUCTION OF OFFICE BUILDING OF THE DISTRICT HANDLOOMS AND TEXTILES AT KANGPOKPI, MANIPUR.]",23-Sep-2025 06:00 PM,Manipur Industrial Development Cooperation||Imphal West - MANIDCO,13-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPadMjlQcVv%2FAWCM0wpQC6A%3D%3D
8,2025_DoEs_2942_1,"[Construction of Girls Hostel under PM-USHA 2025-26,(Gender Inclusion and  Equity Initiatives) at S.Kulla Womens College, Bishnupur,Manipur.]",16-Sep-2025 09:00 AM,Department of Education(S)||Education Engineering Wing,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFMnfDOV3JDvm3Jeykuf2%2BQ%3D%3D
9,2025_MANID_2947_1,"[CONSTRUCTION OF OFFICE BUILDING OF THE DISTRICT HANDLOOMS AND TEXTILES AT KAMJONG, MANIPUR.]",23-Sep-2025 06:00 PM,Manipur Industrial Development Cooperation||Imphal West - MANIDCO,13-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7S7er%2FN6qVHRwSRrKqL%2FOA%3D%3D
10,2025_ADBPW_2935_1,[Consultancy Services for Independent Consultant - Financial Management Specialist for Improvement of roads within Imphal city with rigid pavement including concrete lined drains],10-Sep-2025 04:00 PM,Public Works Department - ADB Tenders||Project Implementation Unit  Externally Aided Projects Tenders,01-Oct-2025 01:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNE7cvc9WfrXBF79eA6013w%3D%3D
