S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,27-Sep-2025 11:00 AM,10-Oct-2025 12:00 PM,10-Oct-2025 03:00 PM,"[Construction of Minor Bridge at Naga Nallah at Khoyathong, Thangal Bazar and COnstruction of New Drain Outlet at SS Hotel]","[Construction of Minor Bridge at Naga Nallah at Khoyathong, Thangal Bazar and COnstruction of New Drain Outlet at SS Hotel]
																				[EE/PWD/IW/E-tender/2025-26/1][2025_PWDM1_2953_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sl%2FcgGs8DIRh4x3NKtFJ5LA%3D%3D,"PWD,Govt. of Manipur"
2,1,26-Sep-2025 04:30 PM,16-Oct-2025 06:00 PM,20-Oct-2025 11:00 AM,[Outsource Security Personel- Semi-Skilled and Unskilled and Security Staffs for a period of 1(one) year Extendable as Per Requirement.],"[Outsource Security Personel- Semi-Skilled and Unskilled and Security Staffs for a period of 1(one) year Extendable as Per Requirement.]
																				[No.STKRC-101/2025/e-DST.][2025_DST_2952_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S77f8BaknJofcNlqjZL8UbQ%3D%3D,Department of Science and Technology
3,1,26-Sep-2025 10:00 AM,13-Oct-2025 12:00 PM,13-Oct-2025 03:00 PM,[Upgradation of Cycling Velodrome of Khuman Lampak Sports Complex],"[Upgradation of Cycling Velodrome of Khuman Lampak Sports Complex]
																				[EE/BD-III/E-Tender/2025-26/1][2025_PWDM1_2951_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJELHxGYVIpvBgiEcV%2BSWqg%3D%3D,"PWD,Govt. of Manipur"
4,1,26-Sep-2025 09:00 AM,06-Oct-2025 12:00 PM,06-Oct-2025 03:00 PM,[Construction of Working Women s Hostel 242 Capacity at Kabo Leikai Imphal East District SH Civil Works],"[Construction of Working Women s Hostel 242 Capacity at Kabo Leikai Imphal East District SH Civil Works]
																				[EE/BD-I/E-Tender/WWH/2025-26/3][2025_PWDM1_2950_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzcRzprhnWym2ImemV%2F4GZA%3D%3D,"PWD,Govt. of Manipur"
5,1,23-Sep-2025 06:55 PM,08-Oct-2025 01:00 PM,08-Oct-2025 02:00 PM,"[Development of Eco-Tourism site at Mantripukhri Khongnang Makhong, Imphal East District, Manipur]","[Development of Eco-Tourism site at Mantripukhri Khongnang Makhong, Imphal East District, Manipur]
																				[02/EE-I/MPHC/2025-26/(I/E)][2025_MPHCL_2948_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sz5tXUL1Teb4ZYym3PkEs1A%3D%3D,Manipur Police Housing Corporation Ltd||Chief Engineer - MPHCL
6,1,23-Sep-2025 06:00 PM,07-Oct-2025 02:00 PM,08-Oct-2025 02:30 PM,"[REPAIRING/RENOVATION OF 3 (THREE) MINOR WORKS OF THE STATE ACADEMY OF TRAINING. IMPHAL WEST, MANIPUR. ]","[REPAIRING/RENOVATION OF 3 (THREE) MINOR WORKS OF THE STATE ACADEMY OF TRAINING. IMPHAL WEST, MANIPUR. ]
																				[MANIDCO/IDC/SAT/EE/TN/2025/3][2025_MANID_2945_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SlKMcCDs72ncVcw1Z4Kh25w%3D%3D,Manipur Industrial Development Cooperation||Imphal West - MANIDCO
7,1,23-Sep-2025 06:00 PM,13-Oct-2025 04:00 PM,14-Oct-2025 04:30 PM,"[CONSTRUCTION OF OFFICE BUILDING OF THE DISTRICT HANDLOOMS AND TEXTILES AT KANGPOKPI, MANIPUR.]","[CONSTRUCTION OF OFFICE BUILDING OF THE DISTRICT HANDLOOMS AND TEXTILES AT KANGPOKPI, MANIPUR.]
																				[MANIDCO/IDC/HandT/TN/25/3][2025_MANID_2946_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPadMjlQcVv%2FAWCM0wpQC6A%3D%3D,Manipur Industrial Development Cooperation||Imphal West - MANIDCO
8,1,23-Sep-2025 06:00 PM,13-Oct-2025 04:00 PM,14-Oct-2025 04:25 PM,"[CONSTRUCTION OF OFFICE BUILDING OF THE DISTRICT HANDLOOMS AND TEXTILES AT KAMJONG, MANIPUR.]","[CONSTRUCTION OF OFFICE BUILDING OF THE DISTRICT HANDLOOMS AND TEXTILES AT KAMJONG, MANIPUR.]
																				[MANIDCO/IDC/HandT/TN/25/3][2025_MANID_2947_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7S7er%2FN6qVHRwSRrKqL%2FOA%3D%3D,Manipur Industrial Development Cooperation||Imphal West - MANIDCO
9,1,16-Sep-2025 05:10 PM,14-Oct-2025 04:30 PM,16-Oct-2025 02:00 PM,[CONSTRUCTION OF 132/33KV SUBSTATION AT KAMJONG ALONG WITH ASSOCIATED 132KV LINE SINGLE STRUNG ON DOUBLE CIRCUIT TOWER FROM HUNDUNG TO KAMJONG ON TURNKEY BASIS UNDER SASCI.],"[CONSTRUCTION OF 132/33KV SUBSTATION AT KAMJONG ALONG WITH ASSOCIATED 132KV LINE SINGLE STRUNG ON DOUBLE CIRCUIT TOWER FROM HUNDUNG TO KAMJONG ON TURNKEY BASIS UNDER SASCI.]
																				[4/14/SASCI/KAMJ/132KV/2025][2025_MSPCL_2944_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sz7eQceX8UQwnyy1vTLDqYA%3D%3D,Manipur State Power Company Ltd||Managing Director - MSPCL||General Manager - MSPCL
10,1,16-Sep-2025 12:00 PM,03-Oct-2025 04:00 PM,06-Oct-2025 12:00 PM,[Construction of Girls Toilet (SH Civil Work/ SH WSandSI/ SH IEI) in 16 (sixteen) nos. for Primary and 3 (three) nos. for Secondary Schools under Education(S) and TA and Hills with funding from NABARD (RIDF) 2022-23.],"[Construction of Girls Toilet (SH Civil Work/ SH WSandSI/ SH IEI) in 16 (sixteen) nos. for Primary and 3 (three) nos. for Secondary Schools under Education(S) and TA and Hills with funding from NABARD (RIDF) 2022-23.]
																				[No. 01/01/TPL/PLG/2021-22(Pt-II)][2025_RDnPR_2943_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUR3Rk2IwpF1xVujA3A8uZQ%3D%3D,Rural Development and Panchayati Raj||DRDA||DRDA Tengnoupal
