Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_POWER_1815_1,"[MNREDA, Government of Meghalaya invites online open bids in Three (3) bid/cover system for  Design Supply, Installation, Testing, Commissioning and Comprehensive maintenance of 0.85 KVA  and 1.7 KVA Solar Hybrid Inverter Systems]",26-Sep-2025 09:00 AM,POWER DEPARTMENT||MEGHALAYA NEW AND RENEWABLE DEVELOPMENT AGENCY,21-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRJnK17j8dmogWjzuUWZKXw%3D%3D
2,2025_POWER_1804_1,"[Design Supply, Installation, Testing, Commissioning and Comprehensive maintenance]",17-Sep-2025 09:00 AM,POWER DEPARTMENT||MEGHALAYA NEW AND RENEWABLE DEVELOPMENT AGENCY,17-Oct-2025 03:00 PM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXg%2Fl%2B8dy4TWfOwZMaXIiWg%3D%3D
3,2025_MIDFC_1781_1,[Consultancy Services for Preparation of Feasibility Study and Detailed Project Report for construction and improvement of roads in the state of Meghalaya (East Meghalaya) Phase-II for Meghalaya Logistics and Connectivity Improvement Project (MLCIP) ],29-Aug-2025 09:00 AM,Meghalaya Infrastructure Development Finance Corporation  - World Bank Tenders||Meghalaya Infrastructure Development Finance Corporation Shillong,06-Oct-2025 04:00 PM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S5KGkt8f49mJ7PFxdwkZP%2FA%3D%3D
4,2025_EDADB_1813_1,[Construction of additional facilities at Bajengdoba U.P. School and Daram Union Govt. U.P. School (North Garo Hills)],24-Sep-2025 04:00 PM,Education Department-ADB||PIU-1,23-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpcbsXwSB7f%2BAAtq%2BmcsKAQ%3D%3D
5,2025_TDADB_1798_1,[Umbyrlein Falls and Sunset Point Site Development and related works at Rangad Lot4],11-Sep-2025 06:00 PM,Tourism Department-ADB||Directorate of Tourism-PIU1_ND,14-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbUuE44G%2F9tAE%2BgZiteKiQA%3D%3D
6,2025_POWER_1816_1,"[Design Supply, Installation, Testing, Commissioning and Comprehensive maintenance of 0.85 KVA  and 1.7 KVA Solar Hybrid Inverter Systems]",26-Sep-2025 09:00 AM,POWER DEPARTMENT||MEGHALAYA NEW AND RENEWABLE DEVELOPMENT AGENCY,21-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=St05q%2BOn0RnzLX20wHsfjlA%3D%3D
7,2025_MeECL_1790_1,"[Design and Supply of Distribution Transformers of 11/0.433 KV 25KVA, 63KVA, 100KVA, 200KVA, 250KVA and 500KVA for reputed Firms. For Startup Firms only  25KVA and 63KVA]",08-Sep-2025 05:20 PM,Meghalaya Energy Corporation Limited||Director(Distribution) MePDCL - MeECL||Chief Engineer (Distribution)-MePDCL-MeECl,10-Oct-2025 03:00 PM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SH7VEYpoIPJCOUSqv%2BXxOPQ%3D%3D
8,2025_TDADB_1795_1,[Development of Moopun waterfalls site and related works at Moopun Lot1],11-Sep-2025 05:00 PM,Tourism Department-ADB||Directorate of Tourism-PIU1_ND,14-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyQfTNEdajLyRRmA3nIsJcA%3D%3D
9,2025_SWADB_1779_1,[Procurement of Eggs in Khasi Jaintia Ri Bhoi Region 1st Year 1st Package Package Number PKG 048],25-Aug-2025 09:00 AM,Social Welfare Department-ADB||Meghalaya Early Childhood Development Mission (MECDM),15-Oct-2025 03:30 PM,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHbL75LdEF9KkX7%2B4ZJd6eg%3D%3D
10,2025_POWER_1814_1,"[EMPANELMENT OF THE FIRMS FOR SUPPLY, INSTALLATION, TESTING , COMMISSIONING INCLUDING 3 YEARS COMPREHENSIVE MAINTENANCE CONTRACT (CMC) OF SOLAR STREET LIGHTING SYSTEMS (SSLSS)]",26-Sep-2025 09:00 AM,POWER DEPARTMENT||MEGHALAYA NEW AND RENEWABLE DEVELOPMENT AGENCY,27-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sxx0KXed6xg8oe5JSZvS37w%3D%3D
