S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,26-Sep-2025 09:00 AM,27-Oct-2025 03:00 PM,28-Oct-2025 03:30 PM,"[EMPANELMENT OF THE FIRMS FOR SUPPLY, INSTALLATION, TESTING , COMMISSIONING INCLUDING 3 YEARS COMPREHENSIVE MAINTENANCE CONTRACT (CMC) OF SOLAR STREET LIGHTING SYSTEMS (SSLSS)]","[EMPANELMENT OF THE FIRMS FOR SUPPLY, INSTALLATION, TESTING , COMMISSIONING INCLUDING 3 YEARS COMPREHENSIVE MAINTENANCE CONTRACT (CMC) OF SOLAR STREET LIGHTING SYSTEMS (SSLSS)]
																				[ MNREDA/1916/2023-24/212][2025_POWER_1814_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sxx0KXed6xg8oe5JSZvS37w%3D%3D,POWER DEPARTMENT||MEGHALAYA NEW AND RENEWABLE DEVELOPMENT AGENCY
2,1,26-Sep-2025 09:00 AM,21-Oct-2025 03:00 PM,22-Oct-2025 03:30 PM,"[Design Supply, Installation, Testing, Commissioning and Comprehensive maintenance of 0.85 KVA  and 1.7 KVA Solar Hybrid Inverter Systems]","[Design Supply, Installation, Testing, Commissioning and Comprehensive maintenance of 0.85 KVA  and 1.7 KVA Solar Hybrid Inverter Systems]
																				[MNREDA/1956/2023/Part III/2805][2025_POWER_1816_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=St05q%2BOn0RnzLX20wHsfjlA%3D%3D,POWER DEPARTMENT||MEGHALAYA NEW AND RENEWABLE DEVELOPMENT AGENCY
3,1,26-Sep-2025 09:00 AM,21-Oct-2025 03:00 PM,22-Oct-2025 03:30 PM,"[MNREDA, Government of Meghalaya invites online open bids in Three (3) bid/cover system for  Design Supply, Installation, Testing, Commissioning and Comprehensive maintenance of 0.85 KVA  and 1.7 KVA Solar Hybrid Inverter Systems]","[MNREDA, Government of Meghalaya invites online open bids in Three (3) bid/cover system for  Design Supply, Installation, Testing, Commissioning and Comprehensive maintenance of 0.85 KVA  and 1.7 KVA Solar Hybrid Inverter Systems]
																				[MNREDA/1956/2023/Part III/2804 ][2025_POWER_1815_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRJnK17j8dmogWjzuUWZKXw%3D%3D,POWER DEPARTMENT||MEGHALAYA NEW AND RENEWABLE DEVELOPMENT AGENCY
4,1,24-Sep-2025 04:00 PM,23-Oct-2025 03:00 PM,23-Oct-2025 04:00 PM,[Construction of additional facilities at Bajengdoba U.P. School and Daram Union Govt. U.P. School (North Garo Hills)],"[Construction of additional facilities at Bajengdoba U.P. School and Daram Union Govt. U.P. School (North Garo Hills)]
																				[SHCDM-II/CW-03/NCB/02][2025_EDADB_1813_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpcbsXwSB7f%2BAAtq%2BmcsKAQ%3D%3D,Education Department-ADB||PIU-1
5,1,24-Sep-2025 04:00 PM,23-Oct-2025 03:00 PM,23-Oct-2025 04:00 PM,[Construction of additional facilities at Govt. Upper Primary School (Adokgiri and Chotcholja - North Garo Hills)],"[Construction of additional facilities at Govt. Upper Primary School (Adokgiri and Chotcholja - North Garo Hills)]
																				[SHCDM-II/CW-03/NCB/02][2025_EDADB_1812_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sij6AjDpMfoAKbhTNXoD%2BMw%3D%3D,Education Department-ADB||PIU-1
6,1,24-Sep-2025 03:00 PM,23-Oct-2025 03:00 PM,23-Oct-2025 03:30 PM,[CW-03 LOT - 01],"[CW-03 LOT - 01]
																				[SHCDM-II/CW-03/NCB/02][2025_EDADB_1810_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyszsnErf5Ha4%2FG4X0ahtRA%3D%3D,Education Department-ADB||PIU-1
7,1,24-Sep-2025 03:00 PM,23-Oct-2025 03:00 PM,23-Oct-2025 03:30 PM,[Construction of additional facilities at Capt.  Williamson Memorial Govt. College ],"[Construction of additional facilities at Capt.  Williamson Memorial Govt. College ]
																				[SHCDM-II/CW-03/NCB/02][2025_EDADB_1811_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScIYHeo4XaHRIgLzb7inNWQ%3D%3D,Education Department-ADB||PIU-1
8,1,17-Sep-2025 09:00 AM,17-Oct-2025 03:00 PM,20-Oct-2025 03:30 PM,"[Design Supply, Installation, Testing, Commissioning and Comprehensive maintenance]","[Design Supply, Installation, Testing, Commissioning and Comprehensive maintenance]
																				[MNREDA/1956/2023/Part-III/2763][2025_POWER_1802_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SIS5GjObodhNDwzzkJqtcZA%3D%3D,POWER DEPARTMENT||MEGHALAYA NEW AND RENEWABLE DEVELOPMENT AGENCY
9,1,17-Sep-2025 09:00 AM,17-Oct-2025 03:00 PM,20-Oct-2025 03:30 PM,"[Design Supply, Installation, Testing, Commissioning and Comprehensive maintenance]","[Design Supply, Installation, Testing, Commissioning and Comprehensive maintenance]
																				[MNREDA/1956/2023/Part-III/2764][2025_POWER_1803_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShUEu7cXKhdgHOgBv7ikeQg%3D%3D,POWER DEPARTMENT||MEGHALAYA NEW AND RENEWABLE DEVELOPMENT AGENCY
10,1,17-Sep-2025 09:00 AM,17-Oct-2025 03:00 PM,20-Oct-2025 03:30 PM,"[Design Supply, Installation, Testing, Commissioning and Comprehensive maintenance]","[Design Supply, Installation, Testing, Commissioning and Comprehensive maintenance]
																				[MNREDA/1956/2023/Part-III/2765][2025_POWER_1804_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXg%2Fl%2B8dy4TWfOwZMaXIiWg%3D%3D,POWER DEPARTMENT||MEGHALAYA NEW AND RENEWABLE DEVELOPMENT AGENCY
