Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_MES_731474_1,[CERTAIN MISC WORKS PERTAINING TO   POP UNDER AGE B/R-II AT IMA DEHRADUN.   ],18-Sep-2025 02:30 PM,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE CC AND CE BAREILLY ZONE - MES||CWE DEHRADUN - MES||GE PREMNAGAR - MES,09-Oct-2025 06:00 PM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SD2U8BTJ0UcmNLR8WRwRY2Q%3D%3D
2,2025_MES_707196_2,"[PROVN OF BLAST PENS, TAXI TRACK AND ALLIED INFRASTRUCTURE AT TANDA]",14-Aug-2025 06:00 PM,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE NC AND CE UDHAMPUR ZONE - MES,06-Oct-2025 06:00 PM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sw66tLsESik5UAp7en5OXaA%3D%3D
3,2025_MES_729098_1,"[REPAIR/MAINT OF LT UG CABLE, LT PANEL/FPB, JUNCTION BOXES AND OTHER ALLIED WORKS AT LEBONG UNDER AGE(I) DARJEELING ]",03-Sep-2025 12:00 PM,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE EC AND CE SILIGURI ZONE - MES||HQ 136 WORKS ENGINEERS - MES,03-Oct-2025 06:00 PM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S7vVxfVkWPZ%2B3BDfNj2AHoA%3D%3D
4,2025_MES_702842_2,[PERIODICAL SERVICES AND OTHER CERTAIN ITEMS IN KANJOLI LINES AND 39 FAD DEPOT AREA UNDER GE BHARATPUR],09-Sep-2025 06:00 PM,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SWC AND CE JAIPUR JAIPUR - MES||CWE Mathura - MES,30-Sep-2025 06:00 PM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMDCbRqiT6Xi5UxMzOjA1Ig%3D%3D
5,2025_MES_720887_2,[TERM CONTRACT FOR ARTIFICERS WORKS AT ZONE I  AND II AT UMROI MIL STN UNDER GE UMROI],22-Sep-2025 05:45 PM,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE EC AND CE SHILLONG ZONE - MES||CWE Shillong - MES||GE (P) SHILLONG  - MES,06-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0kI%2Bv8NsmcasrUrccQmsaw%3D%3D
6,2025_MES_729114_1,[REPAIRS TO CERTAIN BR WORKS IN TYPE B AND C QUARTERS IN DOMESTIC AREA AT RCI HYDERABAD UNDER GEI RND RCI AT HYDERABAD],03-Sep-2025 05:00 PM,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||ADG (OF and DRDO) AND CE (R and D) SECUNDERABAD - MES||GE (I) RND RCI HYDERABAD - MES,01-Oct-2025 06:00 PM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Swa0LB0e7%2FK0OmhVT2i2Y4g%3D%3D
7,2025_MES_731194_1,[SPECIAL REPAIR OF TOILETS BATHROOMS KITCHEN AT BLDG NO P 244 OR MD ACCN AT MIL STN GANDHINAGAR],16-Sep-2025 03:00 PM,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CESC AND CE JODHPUR ZONE - MES||CWE AHMEDABAD - MES||GE GANDHINAGAR - MES,06-Oct-2025 06:00 PM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SQy%2BlWe47tABD3XxI7WdGQg%3D%3D
8,2025_MES_729624_1,"[MAINT AND REPAIRS TO WINTER APPLICANCES SOLAR WATER HEATER, GEYSERS AND CONNECTED WORKS UNDER AGE E/M-I OF GE (NORTH) MEERUT CANTT]",06-Sep-2025 06:00 PM,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE CC AND CE BAREILLY ZONE - MES||CWE MEERUT - MES||GE (N) MEERUT - MES,04-Oct-2025 06:00 PM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sty%2Be%2FQWEa7vzoppspOlyNg%3D%3D
9,2025_MES_726367_1,[8852/E8],30-Aug-2025 06:00 PM,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE EC AND CE KOLKATA ZONE - MES||CWE KOLKATA - MES||GE(CENTRAL) KOLKATA - MES,29-Sep-2025 06:00 PM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SxgeJlbMXomW9t7bcXtWYUA%3D%3D
10,2025_MES_729063_1,"[REPAIR/ REPLACEMENT AND CLEANING OF SEWAGE LINE, SEPTIC TANKS, PITS AND COVER SLAB/ MANHOLES COVERS IN MIRTHAL COMPLEX UNDER GE SOUTH PATHANKOT]",03-Sep-2025 02:30 PM,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC AND CE PATHANKOT ZONE - MES||CWE PATHANKOT - MES||GE (SOUTH) PATHANKOT - MES,30-Sep-2025 06:00 PM,https://defproc.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SynkY1tB6S042CCq6cEPS8g%3D%3D
