S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
21,2,29-Sep-2025 03:00 PM,20-Oct-2025 06:00 PM,22-Oct-2025 09:00 AM,[REPAIR MAINT OF JOINERY FITTINGS SANITARY FITTINGS PLUMBING TILING AND OTHER CONCERNED WORK AT TMQ AT 24 ED AF STN MANAURI],"[REPAIR MAINT OF JOINERY FITTINGS SANITARY FITTINGS PLUMBING TILING AND OTHER CONCERNED WORK AT TMQ AT 24 ED AF STN MANAURI]
																				[9268/E8][2025_MES_733181_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2B1cboIPKeUkgciVkDSV42g%3D%3D,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CESC AND CE (AF) NAGPUR - MES||CWE (AF) CHAKERI - MES||AGE(I) MANAURI - MES
22,2,29-Sep-2025 03:00 PM,27-Oct-2025 06:00 PM,29-Oct-2025 10:00 AM,"[SPL REPAIR TO BLDG NO GP-6,7,8,9,18,19,22,23,33,35 AND GP SECURITY AREA AND SPL REPAIR TO CONVERSION OF LT OVERHEAD LINE WITH  CABLE / FPB AND EARTHING AT DEPOT  AREA AT BENGDUBI MIL STN UNDER GE BENGDUBI]","[SPL REPAIR TO BLDG NO GP-6,7,8,9,18,19,22,23,33,35 AND GP SECURITY AREA AND SPL REPAIR TO CONVERSION OF LT OVERHEAD LINE WITH  CABLE / FPB AND EARTHING AT DEPOT  AREA AT BENGDUBI MIL STN UNDER GE BENGDUBI]
																				[8306/B/E8][2025_MES_733192_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNyMAqiG2vnHDCPNRECJvVw%3D%3D,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE EC AND CE SILIGURI ZONE - MES||CWE BENGDUBI - MES
23,2,29-Sep-2025 03:00 PM,06-Oct-2025 10:00 AM,07-Oct-2025 10:00 AM,[344/156/16/25-26],"[344/156/16/25-26]
																				[344/156/16/25-26][2025_ICG_733191_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgDDkZ%2B8Mj4j669oZKVa3jQ%3D%3D,Indian Coast Guard||CG Commander Western SeaBoard||RHQs (NW)||CG DHQ-1 PORBANDAR
24,2,29-Sep-2025 03:00 PM,20-Oct-2025 06:00 PM,28-Oct-2025 09:00 AM,[SPECIAL REPAIR TO ROAD(PCC) /CULVERT / RETAINING WALL AT K TOP ROAD AT AF STN KANHERI HILLS UNDER GE (AF) THANE],"[SPECIAL REPAIR TO ROAD(PCC) /CULVERT / RETAINING WALL AT K TOP ROAD AT AF STN KANHERI HILLS UNDER GE (AF) THANE]
																				[GE (AF) T-38 OF 2025-26 (8528)][2025_MES_733173_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sb6J3rS6YOdGfPEx9UlDOqQ%3D%3D,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SWC AND CE (AF) GANDHINAGAR - MES||CWE (AF) LOHOGAON - MES||GE (AF) THANE - MES
25,2,29-Sep-2025 02:30 PM,06-Oct-2025 01:00 PM,07-Oct-2025 02:00 PM,[HIRING OF SECURITY SERVICES],"[HIRING OF SECURITY SERVICES]
																				[SEC/635/ICGS (KOL)/DGR/25-26][2025_ICG_732413_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUJ%2BhzZKkBjTmq1%2BAC%2BQlFg%3D%3D,Indian Coast Guard||CG Commander Eastern SeaBoard||RHQs (NE)||ICGS KOLKATA
26,2,29-Sep-2025 02:30 PM,09-Oct-2025 11:00 AM,09-Oct-2025 11:00 AM,[522/OP SAD/PRI/ MAPI SHUKPA],"[522/OP SAD/PRI/ MAPI SHUKPA]
																				[522/OP SAD/PRI/MAPI SHUKPA][2025_ARMY_729755_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sr3WqL4v60%2FU62UGBYD55VQ%3D%3D,IHQ of MoD (Army)-(OSCC)||Eastern Comd-IHQ of MoD (Army)-(OSCC)||CORPS 1-Eastern Comd-IHQ of MoD (Army)-(OSCC)||DIV A-CORPS1-Eastern Comd-IHQ of MoD
27,2,29-Sep-2025 02:30 PM,23-Oct-2025 01:00 PM,24-Oct-2025 01:30 PM,[DEVELOPMENT CONTRACT FOR DEVELOPMENT OF AEROSOL BASED FIRE FIGHTING SYSTEMS (AFFS)],"[DEVELOPMENT CONTRACT FOR DEVELOPMENT OF AEROSOL BASED FIRE FIGHTING SYSTEMS (AFFS)]
																				[CFEES/26FAS012/OT/017][2025_DRDO_733183_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2on7RmgX%2BTnqYj7Z9ZbWwA%3D%3D,Department of Defence Research and Development||Defence Research and Development Organisation||DFMM||Office of DG R and D (SAM)||CFEES
28,2,29-Sep-2025 02:00 PM,20-Oct-2025 06:00 PM,22-Oct-2025 10:00 AM,[82688 PROVISION OF DEFICIENT FURNITURE FOR OFFICERS MARRIED ACCN AT SAIDAPET UNDER GE NAVY CHENNAI],"[82688 PROVISION OF DEFICIENT FURNITURE FOR OFFICERS MARRIED ACCN AT SAIDAPET UNDER GE NAVY CHENNAI]
																				[CWE/NAVY/CHN/82688/E8 OF 2025-26][2025_MES_733177_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLNQwcDxSsTis8%2BJhtH761A%3D%3D,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE EC AND CE (NAVY) VIZAG - MES||CWE (Navy) Chennai - MES
29,2,29-Sep-2025 02:00 PM,13-Oct-2025 06:00 PM,15-Oct-2025 09:00 AM,[REPAIR MAINT OF LT PANELS MCCBs  EARTHING CABLES AND THEIR CONNECTED ITEM AT MP GOLAI AREA AND BURDONG UNDER GE GANGTOK],"[REPAIR MAINT OF LT PANELS MCCBs  EARTHING CABLES AND THEIR CONNECTED ITEM AT MP GOLAI AREA AND BURDONG UNDER GE GANGTOK]
																				[8357/A/E8][2025_MES_720918_3]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FQ8pvVgyGqo79BEx8tnufA%3D%3D,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE EC AND CE SILIGURI ZONE - MES||HQ 136 WORKS ENGINEERS - MES||GEGANGTOK - MES
30,2,29-Sep-2025 02:00 PM,13-Oct-2025 06:00 PM,15-Oct-2025 09:00 AM,[REPAIR MAINT OF LT PANELS MCCBs EARTHING CABLES AND THEIR CONNECTED ITEM AT NEW CANTT UNDER GE GANGTOK],"[REPAIR MAINT OF LT PANELS MCCBs EARTHING CABLES AND THEIR CONNECTED ITEM AT NEW CANTT UNDER GE GANGTOK]
																				[8356/A/E8][2025_MES_720670_3]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfIFZ3viR%2FCve4OANKGOe%2FA%3D%3D,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE EC AND CE SILIGURI ZONE - MES||HQ 136 WORKS ENGINEERS - MES||GEGANGTOK - MES
