Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_NTPC_100602_1,1,[Procurement of Diamond Faced Mechanical Seal for TDBFPs installed at],26-Sep-2025 03:10 PM,NTPC Limited||Corporate Centre||USSC||CPG-3,03-Oct-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Senj%2FIokAreG7WPLdfunxKw%3D%3D
2,2025_NTPC_100596_1,1,[Repair of Godrej make Automatic Sliding door at Admin building and],26-Sep-2025 01:00 PM,NTPC Limited||Northern Region Headquarter||Tanda Thermal Power Station,03-Oct-2025 11:00 AM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SBho%2FUoXStp71wtb3zsw2tA%3D%3D
3,2025_NTPC_100555_1,1,[BMC OF BELT WEIGHERS OF CHP AT NTPC SIMHADRI],25-Sep-2025 01:30 PM,NTPC Limited||Corporate Centre||USSC||CPG-3,03-Oct-2025 03:30 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SfU4mKTtPz4c0A8Bipo%2Btqw%3D%3D
4,2025_NTPC_100566_1,1,[BMC for Emerson make O2 Analyzers at SSTPS Stage 1],25-Sep-2025 01:00 PM,NTPC Limited||Corporate Centre||USSC||CPG-3,03-Oct-2025 03:30 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXgQhTJ1Tok0xtNz7GfNvTQ%3D%3D
5,2025_NTPC_100562_1,1,"[Biennial AMC for SEI make Acoustic Pyrometer System, NTPC Tanda Stage II]",25-Sep-2025 12:30 PM,NTPC Limited||Corporate Centre||USSC||CPG-3,03-Oct-2025 03:30 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S4zr1uL%2B4owa90ECuaqQ%2FEw%3D%3D
6,2025_NTPC_100568_1,1,[Flowmore make pumps spares for FGD at NTPC Telangana],25-Sep-2025 12:25 PM,NTPC Limited||Corporate Centre||USSC||CPG-3,13-Oct-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sz88h09tuOdbAkh5r6bONsA%3D%3D
7,2025_NTPC_100469_1,1,[Biennial Maintenance Contract for SESIPL SCHNEIDER make PLC system of CHP stage 1],24-Sep-2025 06:50 PM,NTPC Limited||Corporate Centre||USSC||CPG-3,30-Sep-2025 03:30 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SGbk9%2Fkitumjj6svipC9xcw%3D%3D
8,2025_NTPC_100534_1,1,[AMC (comprehensive) for plotter cum scanner Model Rowe ECOPRINT i4 for 3],24-Sep-2025 03:00 PM,NTPC Limited||Corporate Centre||USSC||CPG-3,03-Oct-2025 03:30 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S4XgN7CAsjgS7hpY65fwgoA%3D%3D
9,2025_NTPC_100528_1,1,[Animal Birth Control and Vaccination Program for Stray Dogs at NKSTPP],24-Sep-2025 02:00 PM,NTPC Limited||Corporate Centre||USSC||CPG-3,30-Sep-2025 03:30 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8DzMbTIXUlBxAZZN2HCQGw%3D%3D
10,2025_NTPC_100507_1,1,[Procurement of Fire Detectomat Spare installed in CCR and SCR cable gallery at Anta],24-Sep-2025 10:30 AM,NTPC Limited||Corporate Centre||USSC||CPG-3,06-Oct-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SAIwFDtlOzlbzhDV8a5JO3w%3D%3D
