S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
41,3,25-Sep-2025 04:00 PM,03-Oct-2025 03:00 PM,04-Oct-2025 03:00 PM,[Maintenance contract for servicing and calibration of existing ELTRAmake Sulphur Analyser for two years at NTPC Bongaigaon],"[Maintenance contract for servicing and calibration of existing ELTRAmake Sulphur Analyser for two years at NTPC Bongaigaon]
																				[NTPC/USSC-CPG3/9900311012][2025_NTPC_100574_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sz8xZ4tr4r%2F7nUQKGMgrUuQ%3D%3D,NTPC Limited||Corporate Centre||USSC||CPG-3
42,3,25-Sep-2025 04:00 PM,06-Oct-2025 04:30 PM,07-Oct-2025 04:00 PM,[PROCUREMENT OF DIAPHRAGM FOR HCSD PUMP ( GEHO PUMP) FOR ASH HANDLING],"[PROCUREMENT OF DIAPHRAGM FOR HCSD PUMP ( GEHO PUMP) FOR ASH HANDLING]
																				[NTPC/USSC-CPG3/9900308982][2025_NTPC_100577_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShHOQ8nVvN%2FuelzYlrQl9lw%3D%3D,NTPC Limited||Corporate Centre||USSC||CPG-3
43,3,25-Sep-2025 04:00 PM,06-Oct-2025 11:00 AM,07-Oct-2025 11:00 AM,"[Lying of Paver blocks, Tiles work and construction of rainwaterharvesting Pits at NTPC Township Sipat]","[Lying of Paver blocks, Tiles work and construction of rainwaterharvesting Pits at NTPC Township Sipat]
																				[NTPC/USSC-CPG2/9900309655][2025_NTPC_100572_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFiqMq3B%2B169loCohFkn3Jw%3D%3D,NTPC Limited||Corporate Centre||USSC||CPG-2
44,3,25-Sep-2025 04:00 PM,06-Oct-2025 11:00 AM,07-Oct-2025 11:00 AM,[Conversion of Lawn Tennis Court into Skating Ring at Nucleus Club and floor modification of Volleyball court at Sports complex of PTS NTPC Korba.],"[Conversion of Lawn Tennis Court into Skating Ring at Nucleus Club and floor modification of Volleyball court at Sports complex of PTS NTPC Korba.]
																				[NTPC/USSC-CPG2/9900309788][2025_NTPC_100570_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScssoBgxSvrSk3nxdO67eUw%3D%3D,NTPC Limited||Corporate Centre||USSC||CPG-2
45,3,25-Sep-2025 04:00 PM,04-Oct-2025 04:00 PM,06-Oct-2025 04:00 PM,[Supply of IR Make Air Compressor Spares for Model no R55I or CHP for],"[Supply of IR Make Air Compressor Spares for Model no R55I or CHP for]
																				[NTPC/USSC-CPG3/9900310945][2025_NTPC_100579_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMJh3XezjPth9VsErmbWPPg%3D%3D,NTPC Limited||Corporate Centre||USSC||CPG-3
46,3,25-Sep-2025 04:00 PM,06-Oct-2025 03:00 PM,07-Oct-2025 03:30 PM,[BPI erection and commissioning in 400kv line bay at kudgi],"[BPI erection and commissioning in 400kv line bay at kudgi]
																				[NTPC/USSC-CPG2/9900310488][2025_NTPC_100573_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5gIAw2%2F6q0q4O8pH4fhFcA%3D%3D,NTPC Limited||Corporate Centre||USSC||CPG-2
47,3,25-Sep-2025 03:00 PM,14-Oct-2025 03:00 PM,16-Oct-2025 03:00 PM,[SITC of AV System at NTPC Korba],"[SITC of AV System at NTPC Korba]
																				[NTPC/USSC-CPG1/9900310355][2025_NTPC_100543_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEc88tvQqcAHWFHOHW52iEQ%3D%3D,NTPC Limited||Corporate Centre||USSC||CPG-1
48,3,25-Sep-2025 03:00 PM,04-Oct-2025 04:00 PM,06-Oct-2025 04:00 PM,[PROCUREMENT OF SIEMENS MAKE SPARES FOR MISCELLANEOUS LOCAL PANELS AT],"[PROCUREMENT OF SIEMENS MAKE SPARES FOR MISCELLANEOUS LOCAL PANELS AT]
																				[BRBCL/Nabinagar/9900311063][2025_BRBCL_100539_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBO8QydDQkPqNGg7q2LYEEA%3D%3D,Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL
49,3,25-Sep-2025 02:00 PM,08-Oct-2025 03:00 PM,09-Oct-2025 03:00 PM,[Stage lighting work for New Hall],"[Stage lighting work for New Hall]
																				[NTPC/EOC/9900310801][2025_NTPC_100569_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrgLoJv6B9ndB%2BGmFLuYX0w%3D%3D,NTPC Limited||Corporate Centre||Corporate Contracts
50,3,25-Sep-2025 01:30 PM,03-Oct-2025 03:30 PM,04-Oct-2025 04:00 PM,[BMC OF BELT WEIGHERS OF CHP AT NTPC SIMHADRI],"[BMC OF BELT WEIGHERS OF CHP AT NTPC SIMHADRI]
																				[NTPC/USSC-CPG3/9900311142][2025_NTPC_100555_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfU4mKTtPz4c0A8Bipo%2Btqw%3D%3D,NTPC Limited||Corporate Centre||USSC||CPG-3
51,3,25-Sep-2025 01:00 PM,07-Oct-2025 02:00 PM,08-Oct-2025 01:00 PM,[Maintenance of 2000 nos. of fruit bearing tress planted at Sikri],"[Maintenance of 2000 nos. of fruit bearing tress planted at Sikri]
																				[NTPC/Pakri Barwadih CMP/9900311111][2025_NTPC_100563_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0Q5eWyROb%2FW8Pb4vjWx2sQ%3D%3D,"NTPC Limited||Coal Mining||PakriBarwadih,Kerendari,ChattiBariatu Mining Proj"
52,3,25-Sep-2025 01:00 PM,03-Oct-2025 03:30 PM,04-Oct-2025 04:00 PM,[BIENNIAL MAINTENANCE CONTRACT FOR JAYEM MAKE ASH BRICK MACHINE 1500BMN],"[BIENNIAL MAINTENANCE CONTRACT FOR JAYEM MAKE ASH BRICK MACHINE 1500BMN]
																				[NTPC/USSC-CPG3/9900310839][2025_NTPC_100571_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQobOWbXeZSX8R73hfrZl5A%3D%3D,NTPC Limited||Corporate Centre||USSC||CPG-3
53,3,25-Sep-2025 01:00 PM,03-Oct-2025 03:30 PM,04-Oct-2025 04:30 PM,[BMC for Emerson make O2 Analyzers at SSTPS Stage 1],"[BMC for Emerson make O2 Analyzers at SSTPS Stage 1]
																				[NTPC/USSC-CPG3/9900311145][2025_NTPC_100566_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXgQhTJ1Tok0xtNz7GfNvTQ%3D%3D,NTPC Limited||Corporate Centre||USSC||CPG-3
54,3,25-Sep-2025 12:30 PM,03-Oct-2025 03:30 PM,04-Oct-2025 04:00 PM,"[Biennial AMC for SEI make Acoustic Pyrometer System, NTPC Tanda Stage II]","[Biennial AMC for SEI make Acoustic Pyrometer System, NTPC Tanda Stage II]
																				[NTPC/USSC-CPG3/9900311144][2025_NTPC_100562_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4zr1uL%2B4owa90ECuaqQ%2FEw%3D%3D,NTPC Limited||Corporate Centre||USSC||CPG-3
55,3,25-Sep-2025 12:25 PM,03-Oct-2025 03:30 PM,04-Oct-2025 04:00 PM,[CALIBRATION OF STANDARD EQUIPMENTS INSTRUMENTS OF C AND I LAB UNCHAHAR PERIOD TWO YEARS],"[CALIBRATION OF STANDARD EQUIPMENTS INSTRUMENTS OF C AND I LAB UNCHAHAR PERIOD TWO YEARS]
																				[NTPC/USSC-CPG3/9900310872][2025_NTPC_100567_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SyVwYbA4AUEhehM27SGPbIQ%3D%3D,NTPC Limited||Corporate Centre||USSC||CPG-3
