Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_CELBB_118489_2,[13) Improvement to right bank service road on Disty. No. 12E near village Gorada],24-Sep-2025 11:00 AM,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE,Mahanadi South Division,Cuttack",09-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2Fc14TyBlD8xTHIAYONOBVQ%3D%3D
2,2025_OSPHW_117944_21,[Constn. of 6 nos. F type Staff Qtrs. at Krushnaparasad Fire Station in Puri District],12-Sep-2025 06:55 PM,Orissa State Police Housing and Welfare Corporation Ltd,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdLUm9pV5u%2BR%2FLZxzkf3gMw%3D%3D
3,2025_PHEO_118775_1,[External electrification work to different pump housed in connection with the work Augmentation of water supply system along with ancillary work for Subarnapur town.],26-Sep-2025 05:55 PM,PHEO||PH Circle Bhawanipatna||PH Division Balangir,15-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9EwNHY3AHmWWCFClCEDXEA%3D%3D
4,2025_CEMIB_118652_3,[Construction of Kenapali Check dam over Sunajore nalla near village Kenapali in Tangarpali Block of Sundargarh District under MATY Scheme 2025-26.],26-Sep-2025 10:00 AM,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",06-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJUsQLGbuqgCSkpbht4VLBA%3D%3D
5,2025_OSPHW_118639_24,"[Constn. of 30 Men Barrack at Brahmanigaon PS, Kandhamal ]",26-Sep-2025 06:55 PM,Orissa State Police Housing and Welfare Corporation Ltd,18-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZvpvajOtCJURleht67tIZA%3D%3D
6,2025_ORULB_117706_5,[Construction of CC road from Nali Patra house toward Chhatia Sahi road at Tangianisha ward no.03],08-Sep-2025 10:00 AM,Municipal Bodies||Athmallik NAC,06-Oct-2025 05:00 PM,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgHdC8ChUIhJhfnhhoAPPKw%3D%3D
7,2025_CEMIB_118683_5,[Repair And Improvement To Nandasagar Check Dam In Ghatagon Block Of Keonjhar District For The Year 2025-26],26-Sep-2025 10:00 AM,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",10-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSMsFjHANXaACgx3q2ObIyw%3D%3D
8,2025_CTTD_117796_1,[Operation Maintenance and Management of Aviation Security Training Institute at Directorate of Aviation Odisha],09-Sep-2025 12:00 PM,Commerce and Transport (Transport) Department,04-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3OIOHh4UFXCHkwwPGAi8hg%3D%3D
9,2025_PHEO_118600_3,[Procurement of DI pipe for the work Construction of ESR at different zones in connection with the work Augmentation of water supply to Tusura town.],25-Sep-2025 01:30 PM,PHEO||PH Circle Bhawanipatna||PH Division Balangir,09-Oct-2025 05:00 PM,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SEH1v8DMbmxTE%2FR9PNTR41A%3D%3D
10,2025_CEMIB_118558_2,[Reconstruction of Left side abutmentwall and splay wall of Ranimunda MIP in Khariar Block of Nuapada District under DPIW scheme for the year 2025-26 ],26-Sep-2025 10:00 AM,"CE,Minor Irrigation,BBSR||SEKBKMIC-BHAWANIPATNA||KALAHANDI",07-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQq4nW8SIgJ2cT2L6yWVXYw%3D%3D
11,2024_OSMCL_102258_1,[Advanced High- Energy LINAC],06-Mar-2024 05:00 PM,Odisha State Medical Corporation Ltd,17-Oct-2025 05:00 PM,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SqzxLlznkG73OZ%2FONHktMfg%3D%3D
12,2025_CERWI_118367_1,[Repair to Fire Station Building at R.Udayagiri for the year 2025-26],25-Sep-2025 11:00 AM,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-MOHANA,06-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrsbvEseNgnyeOYUlXDP1vg%3D%3D
13,2025_CERWI_118716_6,[CONSTRUCTION OF E TYPE QUARTER AT GOVT. AYURVEDIC DISPENSARY SINGHARI IN THE DISTRICT OF SUBARNAPUR FOR THE YEAR 2024-25.],26-Sep-2025 03:00 PM,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,13-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SxNUL6iIye2Xlcc0woTol4w%3D%3D
14,2025_ECCHA_118087_5,"[ACE, EC-II KID 16 of 2025-26  Improvement to Canal system with lining of Disty.no.5A of Gobari Canal from RD 900M to 1500M. (Working RD.900 m to 1570 m)]",16-Sep-2025 10:00 AM,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE,03-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJAyB58MJQGQ9NFJLW4Tf1A%3D%3D
15,2025_OSPHW_118639_44,"[Constn. of Out Post Building at Kantilo, Nayagarh]",26-Sep-2025 06:55 PM,Orissa State Police Housing and Welfare Corporation Ltd,18-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Su0aKTV%2FiFnIQy8uqxXp0zQ%3D%3D
16,2025_CERWI_118763_1,"[Maintenance of R.W Sub-Division, Office building Padampur Boundary Wall and Peripheral Development for the year 2025-26]",26-Sep-2025 06:00 PM,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-PADMAPUR,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCt7IMVUkxFdWMYYv5T51rg%3D%3D
17,2025_STSCD_118115_3,[CONSTRUCTION OF DORMITORY WITH TOILET AND BATHROOM FOR GIRLS AT ODIAPENTHO UPS UNDER NARAYANPATNA BLOCK.],16-Sep-2025 02:00 PM,ST and  SC Development Deptt||ITDA  Koraput,06-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrIuy9pFdCRj0IaYGCNC%2Fbg%3D%3D
18,2025_ORULB_117706_14,[Laying cover plate at Tuna Pradhan Culvert towards Komala Pradhan house ward no.06],08-Sep-2025 10:00 AM,Municipal Bodies||Athmallik NAC,06-Oct-2025 05:00 PM,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sb4CEl65iLSObeiVHXr3Pvw%3D%3D
19,2025_CERWI_118692_1,[Construction of 2 nos E Type Quarter building at Chitraposi PHC under Karanjia block  for the year 2024-25],26-Sep-2025 11:00 AM,CE RW I||RWCIRCLE-BARIPADA||RW Division Karanjia,09-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVeY82hd2IzHODaROlHy1VA%3D%3D
20,2025_OMC_117899_1,"[Design, Manufacturing, Supply, Installation, Testing and Commissioning of Capacitor Bank with APFC panel at Ferro Chrome plant, OMC.]",12-Sep-2025 11:00 AM,Orissa Mining Corporation,24-Oct-2025 03:00 PM,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SaM9kVA%2FXPF4KVCcGlbNxpg%3D%3D
21,2025_OSPHW_118639_27,"[Constn. of Two nos. type IV staff quarters for Principal/Vice Principal at OFDRA, Bhubaneswar]",26-Sep-2025 06:55 PM,Orissa State Police Housing and Welfare Corporation Ltd,18-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SR073sXOgeaocD05FBkTFIA%3D%3D
22,2025_OSPHW_117944_2,[Constn. of 8 nos. F type Staff Qtrs. at Gumma Fire Station in Gajapati District],12-Sep-2025 06:55 PM,Orissa State Police Housing and Welfare Corporation Ltd,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SxORSBzFHJRjB1gQ7E24D0w%3D%3D
23,2025_ORULB_117145_27,[Const. of CC Drain and cover plate from Suba Panda House to Mahamahi Temple at Odiya sahi at ward no. 08],15-Sep-2025 02:00 PM,Municipal Bodies||Balimela NAC,08-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sh1qPrs1OxYWqbmSlAHucjw%3D%3D
24,2025_CELBB_118477_7,[7) Improvement to Disty. No.1-1/2 of Taladanda main Canal],24-Sep-2025 11:00 AM,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE,Mahanadi South Division,Cuttack",09-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S41Q35ks4AlXTrHSl%2FoOaeg%3D%3D
