S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,29-Sep-2025 11:00 AM,20-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Gudvella Block  for the KMS 2025-26],"[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Gudvella Block  for the KMS 2025-26]
																				[5794/26.09.2025][2025_OSCSC_118859_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Skr5NeZAdTJrKBobLBCDP2A%3D%3D,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bolangir
2,1,29-Sep-2025 11:00 AM,20-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Bangomunda Block  for the KMS 2025-26],"[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Bangomunda Block  for the KMS 2025-26]
																				[5791/26.09.2025][2025_OSCSC_118856_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Scv%2BQ5aXOg4aefNsiYbBhTg%3D%3D,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bolangir
3,1,29-Sep-2025 11:00 AM,20-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Patnagarh Block  for the KMS 2025-26],"[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Patnagarh Block  for the KMS 2025-26]
																				[5798/26.09.2025][2025_OSCSC_118868_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBT0n96GEF07y3scXK9EIyQ%3D%3D,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bolangir
4,1,29-Sep-2025 11:00 AM,20-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Agalpur Block  for the KMS 2025-26],"[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Agalpur Block  for the KMS 2025-26]
																				[5789/26.09.2025][2025_OSCSC_118854_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXpL1DBqmBerDbwMML0KnNA%3D%3D,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bolangir
5,1,29-Sep-2025 11:00 AM,20-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Balangir Block  for the KMS 2025-26],"[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Balangir Block  for the KMS 2025-26]
																				[5790/26.09.2025][2025_OSCSC_118855_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkOjM3JhR7G2syL%2FFXuntWg%3D%3D,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bolangir
6,1,29-Sep-2025 11:00 AM,20-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Deogaon Block  for the KMS 2025-26],"[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Deogaon Block  for the KMS 2025-26]
																				[5793/26.09.2025][2025_OSCSC_118858_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZ%2BKHGK8KmngABFIayKC%2FtA%3D%3D,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bolangir
7,1,29-Sep-2025 11:00 AM,20-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Saintala Block  for the KMS 2025-26],"[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Saintala Block  for the KMS 2025-26]
																				[5800/26.09.2025][2025_OSCSC_118872_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SvZRuR0qHMgkCc21FSeM2Vw%3D%3D,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bolangir
8,1,29-Sep-2025 11:00 AM,20-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Puintala Block  for the KMS 2025-26],"[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Puintala Block  for the KMS 2025-26]
																				[5799/26.09.2025][2025_OSCSC_118871_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SK4sXQwt1hIEKu8wDFA7pyg%3D%3D,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bolangir
9,1,29-Sep-2025 11:00 AM,20-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Turekela Block  for the KMS 2025-26],"[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Turekela Block  for the KMS 2025-26]
																				[5802/26.09.2025][2025_OSCSC_118874_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRo7XcdaXKFcKr0fi0AJHoA%3D%3D,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bolangir
10,1,29-Sep-2025 11:00 AM,20-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Titilagarh Block  for the KMS 2025-26],"[Selection and Appointment of Transport Contractors  for Transportation of Paddy and CMR of Titilagarh Block  for the KMS 2025-26]
																				[5801/26.09.2025][2025_OSCSC_118873_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3%2FbGr5R38xgqFcJ1uXnWRQ%3D%3D,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bolangir
