Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_RWD_144692_1,[Construction of H.L. RCC Bridge Jagatpur to Khargama ],26-Sep-2025 03:00 PM,Rural Works Department - Bihar,09-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sqz7pJlQuErhp11xJbMTzcQ%3D%3D
2,2025_RWD_144682_1,[1 Padam Panchayat Ke Samip Dakra Nadi Par Pul Ka Nirman Karya 2 Construction of HL Bridge at Indurkh Gram ke Nijdik Dakri Nadi par Pul Nirman ],26-Sep-2025 06:55 PM,Rural Works Department - Bihar,09-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SvPvy3nYlpxueyoQMP0fOVw%3D%3D
3,2025_JKRRD_144787_5,[Permanent Restoration of Magerkote to Block Boundary Ukhral Road Package No JK193002],27-Sep-2025 02:00 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,04-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Ss3%2Blbo9zDVsClPOTsAdXGA%3D%3D
4,2025_CESQC_144740_15,[MN06404],25-Sep-2025 06:00 PM,Manipur CE-MSRRDA||SE-MSRRDA,16-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Srdw9eht56DPNjlNt8HBagw%3D%3D
5,2025_KSRRD_144786_4,[Restoration of Neeru to Sikander Road Package No. JK03-130],27-Sep-2025 03:00 PM,PMGSY Kashmir and CE PW (R and B) Kashmir||PMGSY Baramulla Circle,06-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUZbXHyhn1iZBpWF4LffCwQ%3D%3D
6,2025_CEASM_144564_30,[PR/2025-26/37],25-Sep-2025 02:00 PM,CE-ASM,16-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXQft3z422cFCMqt%2Fbzdyng%3D%3D
7,2025_JKRRD_144787_6,"[Permanent Restoration of Shalgadi Panchal Road, Package No JK04303  ]",27-Sep-2025 02:00 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,04-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShRaGK%2FnwVJ3zQ6Ewg%2Flkog%3D%3D
8,2025_KSRRD_144789_1,"[Permanent Restoration of road from  Noorpora Beigund - Bargam Poshwan Sail Via Donigund, Package No.JK10-55, Block Dadsara.]",27-Sep-2025 04:30 PM,PMGSY Kashmir and CE PW (R and B) Kashmir||PMGSY Srinagar Circle,06-Oct-2025 04:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SetNRVGcA5PbxSDSaLsDX2w%3D%3D
9,2025_CESQC_144510_28,[MN05132],17-Sep-2025 03:00 PM,Manipur CE-MSRRDA||SE-MSRRDA,02-Oct-2025 05:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SnEGfBnArNIp5pkFl2n1eSw%3D%3D
10,2025_CESQC_144510_44,[MN08119],17-Sep-2025 05:00 PM,Manipur CE-MSRRDA||SE-MSRRDA,02-Oct-2025 05:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SsTZ3Njvj2MPERxsbKxs21Q%3D%3D
11,2025_CEASM_144564_59,[PR/2025-26/36],25-Sep-2025 02:00 PM,CE-ASM,16-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVprRHYxQynD0jltlKXbDHw%3D%3D
12,2025_CESQC_144510_51,[MN09234],17-Sep-2025 05:00 PM,Manipur CE-MSRRDA||SE-MSRRDA,02-Oct-2025 05:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sw8Ude%2FNut0rM6rwQyDErVQ%3D%3D
13,2025_CEASM_144564_13,[PR/2025-26/47],25-Sep-2025 02:00 PM,CE-ASM,16-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Stw19SFHEsedwEpuc8MIsZA%3D%3D
14,2025_CEASM_144564_69,[PR/2025-26/18],25-Sep-2025 02:00 PM,CE-ASM,16-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKJDFny6uK6xZWMArEGNBFQ%3D%3D
15,2025_CEASM_144564_2,[PR/2025-26/04],25-Sep-2025 02:00 PM,CE-ASM,16-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4kjNGAE4R6BGlRkh3%2F%2FXsg%3D%3D
16,2025_KSRRD_144778_1,"[Renewal Coat / Macadamisation of road namely L043-Saidpora Sangum Shinglipora No Jk13-136, Length 6.70 Km under C and T Head 2025-26, PMGSY Division Ganderbal-2nd Call]",27-Sep-2025 09:00 AM,PMGSY Kashmir and CE PW (R and B) Kashmir||PMGSY Srinagar Circle,04-Oct-2025 06:55 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SETNGwmGrJbizMD2Zz9x6gg%3D%3D
