Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_CERJ_144587_1,1,[Renewal Work against Financial Incentive under PMGSY  in Barmer District. Package No.RJ-05-FI-03.],24-Sep-2025 09:00 AM,Rajasthan||SE-PMGSY-RJ,06-Oct-2025 12:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2BTY7h112pJ%2FXU1cXUseorw%3D%3D
2,2025_JKRRD_144389_7,1,"[Permanent Restoration  of road Sasalkote To challas Length 7.00 km, Block Rajouri . Rajouri]",20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SlId4zm6nV%2FeMMa9Pzcs6JQ%3D%3D
3,2025_JKRRD_144389_9,1,"[Permanent Restoration  of road Block Boundary Khrurad Length 12.00 km, Block Budhal  Rajouri]",20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SWOFM6oEgs3V0AP1cT0F66Q%3D%3D
4,2025_JKRRD_144389_15,1,[Permanent Restoration  of road Langer Top To Gania Length 4.65 Km Block Nowshera Rajouri],20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SxWTT%2BRxdkrjjsrYc28UKlA%3D%3D
5,2025_JKRRD_144389_21,1,[Permanent Restoration  of road Chakmithani To Narla Length 12.00 Km Block Kalakote  Rajouri],20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SzcJdTIFKLvX%2FJCx0fQ2OIQ%3D%3D
6,2025_JKRRD_144389_11,1,"[Permanent Restoration  of road Chingus To Ranibadetar II Length 6.50 km, Block Rajouri  Rajouri]",20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SpQXC3hn6gICmap7k9l4SVQ%3D%3D
7,2025_JKRRD_144389_6,1,"[Permanent Restoration  of road from  Chingus To Ranibadetar Length 4.10. km, Block Doongi Rajouri,]",20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STfKzlb04Ez0XJd504QOm7g%3D%3D
8,2025_JKRRD_144389_4,1,"[Permanent Restoration  of road from Km 7th To Nah Length 9.50 Km Block Sunderbani , Rajouri]",20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Stb0Bd0eBz%2BLONk%2BmIJEQ3g%3D%3D
9,2025_JKRRD_144389_22,1,[Permanent Restoration  of road Chakmithani To Kot Charwal Length 15.50 Km Block Moughla Rajouri],20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Stn8bgdqXu2LW%2FvYOujQujg%3D%3D
10,2025_JKRRD_144389_19,1,[Permanent Restoration  of Road To Chak Mithani B Length 12.525 Km Block Moughla Rajouri],20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1GReZ%2BopqwOnn9NY8simdQ%3D%3D
11,2025_JKRRD_144389_16,1,[Permanent Restoration  of road Mangal Devi Length 5.00 Km Block Nowshera ],20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgHbwExE4ZVMe8EBOJIHX0Q%3D%3D
12,2025_JKRRD_144389_4,1,"[Permanent Restoration  of road from Km 7th To Nah Length 9.50 Km Block Sunderbani , Rajouri]",20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Stb0Bd0eBz%2BLONk%2BmIJEQ3g%3D%3D
13,2025_JKRRD_144389_11,1,"[Permanent Restoration  of road Chingus To Ranibadetar II Length 6.50 km, Block Rajouri  Rajouri]",20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SpQXC3hn6gICmap7k9l4SVQ%3D%3D
14,2025_JKRRD_144389_21,1,[Permanent Restoration  of road Chakmithani To Narla Length 12.00 Km Block Kalakote  Rajouri],20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SzcJdTIFKLvX%2FJCx0fQ2OIQ%3D%3D
15,2025_JKRRD_144389_1,1,"[Permanent Restoration  of road from L029   T02 KM 13th  TO Dharat Length 12.50 Km Block Seri ,Rajouri]",20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SlQjS4xw8x3%2BpcDHGL9RrqA%3D%3D
16,2025_JKRRD_144389_15,1,[Permanent Restoration  of road Langer Top To Gania Length 4.65 Km Block Nowshera Rajouri],20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SxWTT%2BRxdkrjjsrYc28UKlA%3D%3D
17,2025_JKRRD_144389_19,1,[Permanent Restoration  of Road To Chak Mithani B Length 12.525 Km Block Moughla Rajouri],20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1GReZ%2BopqwOnn9NY8simdQ%3D%3D
18,2025_JKRRD_144389_3,1,[Permanent Restoration  of road from Lamberi To Plassi Hill Length 7.20 Km Block Lamberi  Rajouri],20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S7%2FGDWSQHpiOWUtzsV76LkQ%3D%3D
19,2025_JKRRD_144389_6,1,"[Permanent Restoration  of road from  Chingus To Ranibadetar Length 4.10. km, Block Doongi Rajouri,]",20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STfKzlb04Ez0XJd504QOm7g%3D%3D
20,2025_JKRRD_144389_17,1,[Permanent Restoration  of road Mawa To Langer Length 5.00 Km Block Sunderbani Rajouri],20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SY5yzdeE9G2BtxP3RzKhr9g%3D%3D
21,2025_JKRRD_144389_3,2,[Permanent Restoration  of road from Lamberi To Plassi Hill Length 7.20 Km Block Lamberi  Rajouri],20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S7%2FGDWSQHpiOWUtzsV76LkQ%3D%3D
22,2025_JKRRD_144389_10,2,"[Permanent Restoration  of road Narian To Sangpur Length 8.90 km, Block Doongi (Doongria) Rajouri]",20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SuJxXyxFtzlRjHYyq0j3Oew%3D%3D
23,2025_JKRRD_144389_11,2,"[Permanent Restoration  of road Chingus To Ranibadetar II Length 6.50 km, Block Rajouri  Rajouri]",20-Sep-2025 06:55 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,03-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SpQXC3hn6gICmap7k9l4SVQ%3D%3D
24,2025_JKRRD_144573_5,2,[Permanent restoration of road Seri to Chattra by way of Providing and Laying Wire Crates and GSB.],20-Sep-2025 06:00 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,04-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sp7A%2BClYcu19L52HMvF6hjg%3D%3D
25,2025_JKRRD_144563_7,2,"[Permanent Restoration work on Tantli to Gurekhra Part I  Road by way of  Construction of Crated R/wall in Km IST RD(475-575)   RD(600-800), B/Wall in Km 2nd RD(500-550)   RD(650-700) and R/Wall n Km IST RD(25-100) ]",20-Sep-2025 06:00 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,08-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SlmVNGakMo3oNr9UT3uOFhA%3D%3D
26,2025_JKRRD_144573_3,2,"[Permanent restoration of road Gatha Hanga Noorie by wy of providing and laying of GSB,WBM,BM and PC in left over portion.]",20-Sep-2025 06:00 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,04-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SrlxyWhZmNv5buJFUyEEB4Q%3D%3D
27,2025_JKRRD_144563_12,2,"[Permanent Restoration work on Kilothran to Porabala Road by way of  Construction of Crated R/wall in Km 2nd RD(200-300) , R/Wall in km 7th RD( 650-700)    3mtr Span Culvert in Km IST RD(150-200) ]",20-Sep-2025 06:00 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,08-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SlI2fIbObR%2F%2B3%2FaxWOzCSOA%3D%3D
28,2025_JKRRD_144563_15,2,[Permanent Restoration work on Thellala to Jagota  Road by way of  Construction of Crated R/wall in Km 7th RD(100-150)],20-Sep-2025 06:00 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,08-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SDIIbDwnzMI6nsmQk05PNfQ%3D%3D
29,2025_JKRRD_144563_9,2,"[Permanent Restoration work on Thathri to Kathawa  Road by way of  Construction of Crated R/wall in Km 3rd RD(400-500), B/wall in Km 3rd RD(400-500)   R/Wall in KM 14th RD(450-500)]",20-Sep-2025 06:00 PM,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle,08-Oct-2025 04:00 PM,https://pmgsytenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SRESR8sTCzDwaxpS4jr4e5g%3D%3D
