S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,29-Sep-2025 04:00 PM,13-Oct-2025 04:00 PM,14-Oct-2025 11:00 AM,"[Up-gradation of FGC-Ajnala Road to Gorenangal via Mohan Bhandarian Bohranwala, Kot Mughal, Madhushanga, Mattenangal (T-03) from KM 0.000 to KM 7.650 under PMGSY-III (Batch-III), Block Ajnala, Distt. Amritsar. (Pkg No. PB01160)]","[Up-gradation of FGC-Ajnala Road to Gorenangal via Mohan Bhandarian Bohranwala, Kot Mughal, Madhushanga, Mattenangal (T-03) from KM 0.000 to KM 7.650 under PMGSY-III (Batch-III), Block Ajnala, Distt. Amritsar. (Pkg No. PB01160)]
																				[28 of 2025][2025_AGRI_144797_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAYlnZchF%2FFOXDsAoBPI1nw%3D%3D,Agriculture||Punjab Mandi Board||Amritsar
2,1,29-Sep-2025 01:00 PM,06-Oct-2025 01:00 PM,06-Oct-2025 03:00 PM,[Restoration work of Dhon road to Badoni MR],"[Restoration work of Dhon road to Badoni MR]
																				[UT-04-55 (AAPDA)][2025_CCUK_144795_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVjuYABdGbA5UXRwgJFPEjg%3D%3D,"Chief Coordinator, PMGSY, Uttarkhand"
3,1,27-Sep-2025 06:55 PM,08-Oct-2025 05:00 PM,10-Oct-2025 11:00 AM,"[Permanent Restoration of road from Malti to Galiote, JK14-251, Length-13.00 Kms (Floods Aug-2025)]","[Permanent Restoration of road from Malti to Galiote, JK14-251, Length-13.00 Kms (Floods Aug-2025)]
																				[PMGSY/R/06 of 2025-26 1st call (PERMANENT RESTORATION Floods Aug-2025)][2025_JKRRD_144780_4]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5diw%2BhJp5qNPHRH%2FCfQjNA%3D%3D,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle
4,1,27-Sep-2025 06:55 PM,08-Oct-2025 05:00 PM,10-Oct-2025 11:00 AM,"[Permanent Restoration of road from T01-KAINTHGALI BLOCK BOUNDRY UDHAMPUR TO MALTI, JK14-551, Length-30.811 Kms (Floods Aug-2025)]","[Permanent Restoration of road from T01-KAINTHGALI BLOCK BOUNDRY UDHAMPUR TO MALTI, JK14-551, Length-30.811 Kms (Floods Aug-2025)]
																				[PMGSY/R/06 of 2025-26 1st call (PERMANENT RESTORATION Floods Aug-2025)][2025_JKRRD_144780_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STfWn7PX67Ju3BRq1do6xew%3D%3D,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle
5,1,27-Sep-2025 06:55 PM,08-Oct-2025 05:00 PM,10-Oct-2025 11:00 AM,"[Permanent Restoration of road from T02-KAINTHGALI BLOCK BOUNDRY UDHAMPUR TO BARIOTE UPTO MOUNGRI (Part-I), JK14-683, Length-22.50 Kms (Floods Aug-2025)]","[Permanent Restoration of road from T02-KAINTHGALI BLOCK BOUNDRY UDHAMPUR TO BARIOTE UPTO MOUNGRI (Part-I), JK14-683, Length-22.50 Kms (Floods Aug-2025)]
																				[PMGSY/R/06 of 2025-26 1st call (PERMANENT RESTORATION Floods Aug-2025)][2025_JKRRD_144780_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BiKH3gCGe0Af4%2F20fjx93w%3D%3D,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle
6,1,27-Sep-2025 06:55 PM,08-Oct-2025 05:00 PM,10-Oct-2025 11:00 AM,"[Permanent Restoration of road from Bariote to Sarhi, JK14-229, Length-9.80 Kms (Floods Aug-2025)]","[Permanent Restoration of road from Bariote to Sarhi, JK14-229, Length-9.80 Kms (Floods Aug-2025)]
																				[PMGSY/R/06 of 2025-26 1st call (PERMANENT RESTORATION Floods Aug-2025)][2025_JKRRD_144780_7]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sy3RdmN0lbFn3YkaiDLaO%2BA%3D%3D,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle
7,1,27-Sep-2025 06:55 PM,08-Oct-2025 05:00 PM,10-Oct-2025 11:00 AM,"[Permanent Restoration of road from T02-KAINTHGALI BLOCK BOUNDRY UDHAMPUR TO BARIOTE BEYOND MOUNGRI (Part-II), JK14-684, Length-21.850 Kms (Floods Aug-2025)]","[Permanent Restoration of road from T02-KAINTHGALI BLOCK BOUNDRY UDHAMPUR TO BARIOTE BEYOND MOUNGRI (Part-II), JK14-684, Length-21.850 Kms (Floods Aug-2025)]
																				[PMGSY/R/06 of 2025-26 1st call (PERMANENT RESTORATION Floods Aug-2025)][2025_JKRRD_144780_3]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2DRCJxBheTN8kYPUTn2e%2BQ%3D%3D,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle
8,1,27-Sep-2025 06:55 PM,08-Oct-2025 05:00 PM,10-Oct-2025 11:00 AM,"[Permanent Restoration of road from Moungri to Ladda, JK14-254, Length-20.00 Kms (Floods Aug-2025)]","[Permanent Restoration of road from Moungri to Ladda, JK14-254, Length-20.00 Kms (Floods Aug-2025)]
																				[PMGSY/R/06 of 2025-26 1st call (PERMANENT RESTORATION Floods Aug-2025)][2025_JKRRD_144780_5]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFqD9EuqYuf%2BZxSjrWKgK%2Fg%3D%3D,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle
9,1,27-Sep-2025 06:55 PM,08-Oct-2025 05:00 PM,10-Oct-2025 11:00 AM,"[Permanent Restoration of road from L041-Dubigali to Nali Nikka, JK14-420, Length-15.150 Kms (Floods Aug-2025)]","[Permanent Restoration of road from L041-Dubigali to Nali Nikka, JK14-420, Length-15.150 Kms (Floods Aug-2025)]
																				[PMGSY/R/06 of 2025-26 1st call (PERMANENT RESTORATION Floods Aug-2025)][2025_JKRRD_144780_6]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWILKlCsuJOtRV9XkFh9TBw%3D%3D,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle
10,1,27-Sep-2025 05:30 PM,16-Oct-2025 05:00 PM,17-Oct-2025 02:00 PM,[Providing and Laying of Renewal Coat on Road from Sarna to Mahurgarh Under Package No. JK05-124 Block-Samba Distt. Samba Length 7.000 Kms.(Call-2nd)],"[Providing and Laying of Renewal Coat on Road from Sarna to Mahurgarh Under Package No. JK05-124 Block-Samba Distt. Samba Length 7.000 Kms.(Call-2nd)]
																				[e-NIT No.EE/PMGSY/J/15 of 2025-26 Dated.27.09.2025][2025_JKRRD_144793_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7nV%2BW2g8gHzP0FHKh71dqw%3D%3D,PMGSY Jammu and CE PW (R and B) Jammu||PMGSY Jammu Circle
11,1,27-Sep-2025 05:00 PM,04-Oct-2025 04:30 PM,06-Oct-2025 11:00 AM,[Kullar to Kullar Gujrat],"[Kullar to Kullar Gujrat]
																				[14/EE/PMGSY/Ang/DB/ETENDERING OF 25-26 Dated 27-09-25][2025_KSRRD_144788_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6%2ByjeK9eqxpfyyulxEuYlA%3D%3D,PMGSY Kashmir and CE PW (R and B) Kashmir||PMGSY Srinagar Circle
12,1,27-Sep-2025 05:00 PM,04-Oct-2025 04:30 PM,06-Oct-2025 11:00 AM,[Ganeshpora to Badwan],"[Ganeshpora to Badwan]
																				[14/EE/PMGSY/Ang/DB/ETENDERING OF 25-26 Dated 27-09-25][2025_KSRRD_144788_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2UaUdkYBzAokw%2Fxvr7cmNg%3D%3D,PMGSY Kashmir and CE PW (R and B) Kashmir||PMGSY Srinagar Circle
13,1,27-Sep-2025 05:00 PM,04-Oct-2025 04:30 PM,06-Oct-2025 11:00 AM,[Nagabal G.B.Banie Mohalla],"[Nagabal G.B.Banie Mohalla]
																				[14/EE/PMGSY/Ang/DB/ETENDERING OF 25-26 Dated 27-09-25][2025_KSRRD_144788_4]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2yEHkFyZYyfC4WiqTXrHLA%3D%3D,PMGSY Kashmir and CE PW (R and B) Kashmir||PMGSY Srinagar Circle
14,1,27-Sep-2025 05:00 PM,04-Oct-2025 04:30 PM,06-Oct-2025 11:00 AM,[Hapatnar to Ganiepora],"[Hapatnar to Ganiepora]
																				[14/EE/PMGSY/Ang/DB/ETENDERING OF 25-26 Dated 27-09-25][2025_KSRRD_144788_3]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCtb5Mj7oort19rBuMUqooQ%3D%3D,PMGSY Kashmir and CE PW (R and B) Kashmir||PMGSY Srinagar Circle
15,1,27-Sep-2025 04:30 PM,06-Oct-2025 04:30 PM,07-Oct-2025 10:30 AM,"[Permanent Restoration of road from  Noorpora Beigund - Bargam Poshwan Sail Via Donigund, Package No.JK10-55, Block Dadsara.]","[Permanent Restoration of road from  Noorpora Beigund - Bargam Poshwan Sail Via Donigund, Package No.JK10-55, Block Dadsara.]
																				[E-NIT No.12 /EE/PMGSY-Pulwama/e-tendering of 2025-26, Dated 27/09/2025][2025_KSRRD_144789_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SetNRVGcA5PbxSDSaLsDX2w%3D%3D,PMGSY Kashmir and CE PW (R and B) Kashmir||PMGSY Srinagar Circle
16,1,27-Sep-2025 04:30 PM,06-Oct-2025 04:30 PM,07-Oct-2025 10:30 AM,"[Permanent Restoration of road from  Lalpora to Dodimarg, Package No.JK10-98, Block Aripal.]","[Permanent Restoration of road from  Lalpora to Dodimarg, Package No.JK10-98, Block Aripal.]
																				[E-NIT No.12 /EE/PMGSY-Pulwama/e-tendering of 2025-26, Dated 27/09/2025][2025_KSRRD_144789_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrCticruGFEG8nlh3nO%2BDZA%3D%3D,PMGSY Kashmir and CE PW (R and B) Kashmir||PMGSY Srinagar Circle
17,1,27-Sep-2025 04:00 PM,21-Oct-2025 03:00 PM,21-Oct-2025 03:30 PM,[Upgradation of Rural road from SH connection (near Green Island) to Rabindranagar Ward No.6 at Hut Bay],"[Upgradation of Rural road from SH connection (near Green Island) to Rabindranagar Ward No.6 at Hut Bay]
																				[NIT No.16/NIT/SE/CC-I/25-26][2025_APWD_144783_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUFYTiKru8fvIHmTwlBJ5vA%3D%3D,Andaman Public Works Department (APWD)||PIU-9 Office of EE MID APWD Hut Bay
18,1,27-Sep-2025 04:00 PM,21-Oct-2025 03:00 PM,21-Oct-2025 03:30 PM,[Upgradation of Rural road from SH connection (Krishna Biswas Home) to Ramakrishnapur Dam],"[Upgradation of Rural road from SH connection (Krishna Biswas Home) to Ramakrishnapur Dam]
																				[NIT No.06/NIT/SE/CC-I/25-26][2025_APWD_144781_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWmSsIt%2F8CIgg7reSG%2BsAJw%3D%3D,Andaman Public Works Department (APWD)||PIU-9 Office of EE MID APWD Hut Bay
