Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_MCD_249769_1,[CIVIL WORK],25-Sep-2025 06:00 PM,Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,03-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SJxEylxJAFcd8ctfKlV7K7g%3D%3D
2,2025_GAIL_248117_1,[MKK/C087-000-CF-T-8101/4],11-Sep-2025 05:00 PM,GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC,09-Oct-2025 02:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzEhqCYnitHaTbu%2BZ7vuDIA%3D%3D
3,2025_AAI_249990_1,"[Annual maintenance contract (Civil works) for maintenance of security related infrastructures viz., CISF Barracks, CISF Residential Quarters and miscellaneous security infrastructures at Dibrugarh Airport for the year 2025-2027]",26-Sep-2025 12:00 PM,Airports Authority of India||North East Region - AAI||DIBRUGARH - AAI,17-Oct-2025 12:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKZsyyzJKGJRT1cZRcX%2Bbrw%3D%3D
4,2025_MCD_248879_1,"[Selection of Agency for Setting up of Material Recovery Facility (MRF) for management of dry solid waste in Karol Bagh Zone on Public Private Partnership (PPP) on Design, Build, Finance, Operate and Transfer Basis.]",15-Sep-2025 04:00 PM,Municipal Corporation of Delhi||Engineering - MCD||DEMS - MCD,03-Oct-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SDsKsYXoDmY57ijyATcipXA%3D%3D
5,2025_GAIL_247358_1,[INSTALLATION OF PAVER BLOCK AND PCC CONSTRUCTION IN SVs/IPs STATION UNDER GAIL DURGAPUR ONM BASE.],03-Sep-2025 01:00 PM,GAIL (India) Limited||GAIL India Limited- Kolkata,01-Oct-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STy5eOYaEqQ9WYbFQmTtkcg%3D%3D
6,2025_CSL_250595_1,[HIRING OF COMPRESSOR FOR REPAIR VESSEL],26-Sep-2025 05:00 PM,Cochin Shipyard Limited||HQ CSL (Kochi)||Ship Repair Materials - CSL,09-Oct-2025 11:00 AM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShJLbeHZKKw0wLHpxHpn9Kw%3D%3D
7,2025_BSNL_250203_1,"[Expression of Interest (EOI) for selection or empanelment of Partners for manufacturing PLB HDPE Ducts in various BSNL Telecom Factories located at Mumbai, Kolkata, Kharagpur, Jabalpur and Bhilai.]",25-Sep-2025 12:00 PM,Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Corporate Office- New Delhi||MM Cell BSNL Corporate Office,14-Oct-2025 12:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SbS1Cs6nP3pOZ%2BfMYbNGBlg%3D%3D
8,2025_CSIR_246113_1,[PUR/IICT/INFRAPFM11/25-26/EQPT],22-Aug-2025 05:00 PM,Council of Scientific and Industrial Research||IICT-Hyderabad - CSIR||Purchase-IICT - CSIR,30-Sep-2025 01:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S7N4dLPCC7rNw7WQHG86TUw%3D%3D
9,2025_AAI_239392_1,[Supply of Threat Containment Vessel (TCV) at various AAI Airports],04-Jul-2025 04:30 PM,Airports Authority of India||CHQ - AAI||Airport Systems - AAI,30-Sep-2025 05:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjVYKoPLP2LXrOAXv%2FSStLw%3D%3D
10,2025_AAI_247663_1,[Rate contract for Electrical Works at Trichy Airport.],04-Sep-2025 06:40 PM,Airports Authority of India||Southern Region - AAI||TRICHY - AAI||ENGG ELECT-VOTR - AAI,03-Oct-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STGJWB9C0GUfU8zGe9lhdyg%3D%3D
