S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
21,2,29-Sep-2025 01:00 PM,27-Oct-2025 01:00 PM,28-Oct-2025 02:00 PM,"[Dismantling and modification works of Civil Foundation for erection, testing and commissioning of transformers (irrespective of voltage) from GOMD I to GOMD VII under transmission department of DVC for a period of 365 days]","[Dismantling and modification works of Civil Foundation for erection, testing and commissioning of transformers (irrespective of voltage) from GOMD I to GOMD VII under transmission department of DVC for a period of 365 days]
																				[DVC/Tender/Head Quarter/CIVIL/CMM/Works and Service/00259][2025_DVC_250721_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sr4%2FVFQ%2Fmu2eeJVovEOvx2g%3D%3D,Damodar Valley Corporation||Maithon - DVC||C and M
22,2,29-Sep-2025 01:00 PM,14-Oct-2025 11:00 AM,14-Oct-2025 12:00 PM,[Pre bid tieup for Supply of IT Equipment with Warranty and AMC PackageA],"[Pre bid tieup for Supply of IT Equipment with Warranty and AMC PackageA]
																				[TCIL/ITTII/42/2025/NHM/PKG-A][2025_TCIL_250735_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SxHtiwpjKl5QKEf6HTjDivw%3D%3D,Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||IT Division - TCIL
23,2,29-Sep-2025 01:00 PM,29-Oct-2025 03:00 PM,30-Oct-2025 03:00 PM,"[Shifting / Modification of 33KV,11kV,LT lines and Transformers etc. of UHBVNL infringing Delhi - Panipat - Karnal Namo Bharat corridor from Narela to Murthal (Ch.33800- 55450).]","[Shifting / Modification of 33KV,11kV,LT lines and Transformers etc. of UHBVNL infringing Delhi - Panipat - Karnal Namo Bharat corridor from Narela to Murthal (Ch.33800- 55450).]
																				[DK/UD/COR-OF/015][2025_NCRTC_248200_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SR9rbBiTrWdxTj%2FI87Vo%2B7g%3D%3D,National Capital Region Transport Corporation||GGM-Strategic Planning - NCRTC
24,2,29-Sep-2025 01:00 PM,06-Oct-2025 11:00 AM,07-Oct-2025 11:00 AM,[SUPPLY OF CONSUMABLE],"[SUPPLY OF CONSUMABLE]
																				[IGIB/2-2C/239/25-26(844)][2025_CSIR_250275_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S7OO5f%2FceToAD94uWXCPSKg%3D%3D,Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR
25,2,29-Sep-2025 01:00 PM,21-Oct-2025 06:30 PM,23-Oct-2025 11:00 AM,"[SUPPLY, INSTALLATION AND COMMISSIONING OF LABORATORY WATER PURIFICATION SYSTEM (PURE AND ULTRA-PURE WATER)]","[SUPPLY, INSTALLATION AND COMMISSIONING OF LABORATORY WATER PURIFICATION SYSTEM (PURE AND ULTRA-PURE WATER)]
																				[IITR/PUR/9-04/SA/25-26/114/OTE][2025_CSIR_249846_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEjXbiOx6q4hATZ%2BLXpWurw%3D%3D,Council of Scientific and Industrial Research||IITR-Lucknow - CSIR||Purchase-IITR - CSIR
26,2,29-Sep-2025 01:00 PM,06-Oct-2025 06:00 PM,07-Oct-2025 11:00 AM,[Supply of spares for Boiler Lift  as per BOQ-TDS],"[Supply of spares for Boiler Lift  as per BOQ-TDS]
																				[JPL/CNM/ST/25-26/1100012778][2025_JPL_250742_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2uC%2FiTvNAUy%2FBf6CiU3T6A%3D%3D,Jhabua Power Ltd
27,2,29-Sep-2025 12:00 PM,30-Oct-2025 11:00 AM,31-Oct-2025 11:00 AM,[Provision of Signaling and Telecom System along with Interlocking of 05 nos. of LC gates with Electronic Interlocking at VoCPA of Marshalling Yard and Hare Island],"[Provision of Signaling and Telecom System along with Interlocking of 05 nos. of LC gates with Electronic Interlocking at VoCPA of Marshalling Yard and Hare Island]
																				[IPRCL/ST/IT-11013/5/2025][2025_IPRCL_250725_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Seo0gtPWtBBqsrVz75cUtAg%3D%3D,Indian Port Rail Corporation Ltd.
28,2,29-Sep-2025 12:00 PM,21-Oct-2025 02:00 PM,22-Oct-2025 02:00 PM,"[B378-999-8519-BPM-017/1017 CIVIL, STRUCTURE, ARCHITECTURE, U/G AND MISC WORKS ]","[B378-999-8519-BPM-017/1017 CIVIL, STRUCTURE, ARCHITECTURE, U/G AND MISC WORKS ]
																				[B378-999-8519-BPM-017/1017][2025_GAIL_249533_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5qfgxsa%2F78Wlu340NCUvBg%3D%3D,GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC
29,2,29-Sep-2025 11:00 AM,13-Oct-2025 05:00 PM,14-Oct-2025 05:30 PM,[Invitation of bid for hiring of vehicles AC-Commercial on monthly rental basis for NHAI PIU Ahilyanagar 2nd call],"[Invitation of bid for hiring of vehicles AC-Commercial on monthly rental basis for NHAI PIU Ahilyanagar 2nd call]
																				[NHAI/PIU/Ahilyanagar/Veh/2Call][2025_NHAI_250653_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SN75PZ3rEK4%2F1tqGGq7URPA%3D%3D,National Highways Authority of India||RO-Mumbai - NHAI
30,2,29-Sep-2025 11:00 AM,04-Oct-2025 11:00 AM,06-Oct-2025 11:00 AM,"[Reg. Repair of drain and providing and fixing of pre RCC drain cover at Delhi Police Academy Jharoda Kalan,West and East Campuses,Delhi]","[Reg. Repair of drain and providing and fixing of pre RCC drain cover at Delhi Police Academy Jharoda Kalan,West and East Campuses,Delhi]
																				[14/DPHCL/ENGG/NIT/2025-26][2025_DPHCL_237324_3]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SZ3AiTKCeXgUSbPfFdtUE5Q%3D%3D,Delhi Police Housing Corporation Ltd
31,2,29-Sep-2025 11:00 AM,04-Oct-2025 11:00 AM,06-Oct-2025 11:00 AM,[Repair and Renovation for Block 01 02 and 03 Type I Nos of Qtrs 68 Exterior work Vikaspuri Non Residential 3rd battalion West District Delhi],"[Repair and Renovation for Block 01 02 and 03 Type I Nos of Qtrs 68 Exterior work Vikaspuri Non Residential 3rd battalion West District Delhi]
																				[22/DPHCL/ENGG/NIT/2025-26][2025_DPHCL_237430_2]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFl9YeZTRDvbqIpBMsTqSDQ%3D%3D,Delhi Police Housing Corporation Ltd
32,2,29-Sep-2025 11:00 AM,04-Oct-2025 11:00 AM,06-Oct-2025 11:00 AM,"[Reg. for carrying out repair and renovation work of Govt. Qtr. No. 1, Type-II, Block-1, PC/PS Sarita Vihar and Qtr. No. H-7, Type-II, PC Sri Niwas Puri, South-East District, Delhi.]","[Reg. for carrying out repair and renovation work of Govt. Qtr. No. 1, Type-II, Block-1, PC/PS Sarita Vihar and Qtr. No. H-7, Type-II, PC Sri Niwas Puri, South-East District, Delhi.]
																				[43/DPHCL/ENGG/NIT/2025-26][2025_DPHCL_245477_3]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5vQomBFzs9SSUp3MDrgCag%3D%3D,Delhi Police Housing Corporation Ltd
