Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_PWDC2_20002_1,"[Renovation to the existing toilet block (south side) at Indira Gandhi Sports Complex, Uppalam, Puducherry.]",27-Sep-2025 04:10 PM,Public Works Department||CIRCLE II||Special Buildings Division-II,07-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Se0wJr76ec%2Fyi5Naozu4lZw%3D%3D
2,2025_PWDC3_19826_1,"[Consultancy Services for Preparation of Detailed Project Report (DPR) for Source Augmentation and Drink-From-Tap (24x7) Water Supply Scheme in Karaikal District, U.T. of Puducherry]",15-Sep-2025 10:00 AM,Public Works Department||CIRCLE III||IRRIGATION AND PUBLIC HEALTH,06-Oct-2025 03:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNZBp874H2tEj%2BBzT4%2Bo9yQ%3D%3D
3,2025_DoFFW_19799_1,[Supply of  Life Buoy (As per SOLAS Standard) (IRS Approved)],10-Sep-2025 10:00 AM,Department of Fisheries and Fishermen Welfare||The Pondicherry State Fisherman Co-operative Federation Ltd,30-Sep-2025 12:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SO1A22KeI12MaL6diRsOzVA%3D%3D
4,2025_DRDA_20046_1,"[Construction of community soak pit in Govt. school at various village Panchayat and commune in Villianur Block, Puducherry (13 Units)]",29-Sep-2025 03:00 PM,District Rural Development Agency||Block Development Office - Villianur,09-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEFmU8ODSgCrtGyYfC80IDA%3D%3D
5,2025_EDHD_19846_1,[Supply of 300 Nos. of 18KV/5KA Lightning Arrester with Clamp],15-Sep-2025 06:00 PM,Electricity Department||Head of the Department||MRT and Materials Management Cell,07-Oct-2025 11:00 AM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SrWrJmfNuyXi0VFdqxhZpJA%3D%3D
6,2025_DLA_19974_1,"[Forming and metalling to the internal streets of Siva Sakthi nagar, Radhakrishnan nagar and Selvaganapathi nagar at Thirubuvanai village]",26-Sep-2025 01:15 PM,Department of Local Administration||Mannadipet Commune Panchayat-DLA,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Spm6xq6P7FWc0xwm7E8GTgg%3D%3D
7,2025_PWDC2_20034_1,[Special Repair and improvements to the Fishermen Community Hall at Poozhithala in Mahe],26-Sep-2025 05:45 PM,Public Works Department||CIRCLE II||PWD MAHE,09-Oct-2025 09:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S84sLQUDTBd4U5b%2BnwzXyhA%3D%3D
8,2025_DLA_19943_1,[Providing link road from west street to kamban Nagar in Bahour Constituency.],26-Sep-2025 03:30 PM,Department of Local Administration||Bahour Commune Panchayat-DLA,03-Oct-2025 10:30 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sb0UO1TSEjevQxTQvBVU7uQ%3D%3D
9,2025_EDOM_20015_1,[Supply Erection Testing and commissioning of 1 no of 145KV SF6 Breaker at 110KV Kurumbapet Thondamanatham Line breaker],26-Sep-2025 05:00 PM,Electricity Department||Operation and Maintenance of Puducherry region||Puducherry Urban O and M,14-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SqdpmSHq8Hcr5%2FoT7scM8sA%3D%3D
10,2025_PWDC2_20051_1,"[Desilting of Link channel from Madagadipt inlet Regulator to Sambodai channel in Kalitheerthalkuppam Village, Mannadipet Commune Panchayat, Puducherry for the Year 2025-2026-(II Call).]",29-Sep-2025 01:05 PM,Public Works Department||CIRCLE II||IRRIGATION,09-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0EXh%2FUkfbSkRg6Y%2FR8WMZg%3D%3D
