Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_DHTE_20035_1,1,"[Contract of 4 Bus services to the students of dr.Ambedkar Govt. Law College, Kalapet, Puducehrry.]",27-Sep-2025 09:00 AM,Directorate of Higher and Technical Education||Dr.Ambedkar Govt. Law College - DHTE,18-Oct-2025 04:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SEI%2FZyzIsxv2NDqQVNAwr5Q%3D%3D
2,2025_COOP_19991_1,1,"[SHORT TERM eTENDER FOR SUPPLY OF GROCERIES, SUGAR and OIL FOR DEEPAVALI FESTIVAL 2025 FOR ALL THE REGIONS OF UNION TERRITORY OF PUDUCHERRY]",24-Sep-2025 06:30 PM,Co-Operative Department||Pondicherry State Co-op Consumers federation Ltd. P. 429,03-Oct-2025 05:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjSirrd%2F02iqsNNvnBqw7Rw%3D%3D
3,2025_DLA_19947_1,1,[selection of Independent Monitoring Team for ISWM Projects of Puducherry],24-Sep-2025 11:30 AM,Department of Local Administration||Puducherry Urban Development Agency-PUDA - DLA,16-Oct-2025 03:30 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sr5qDa98zotMjdqjILeURvQ%3D%3D
4,2025_PWDC2_19855_1,1,"[Renovation to the existing damaged Hockey Court and Construction of a Gallery at Indira Gandhi Sports Complex, Uppalam, Puducherry.]",16-Sep-2025 11:20 AM,Public Works Department||CIRCLE II||Special Buildings Division-II,06-Oct-2025 04:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SpjBN70LWgno0jnIzWwvRJw%3D%3D
5,2025_EDHD_19846_1,1,[Supply of 300 Nos. of 18KV/5KA Lightning Arrester with Clamp],15-Sep-2025 06:00 PM,Electricity Department||Head of the Department||MRT and Materials Management Cell,07-Oct-2025 11:00 AM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SrWrJmfNuyXi0VFdqxhZpJA%3D%3D
6,2025_PWDC3_19826_1,1,"[Consultancy Services for Preparation of Detailed Project Report (DPR) for Source Augmentation and Drink-From-Tap (24x7) Water Supply Scheme in Karaikal District, U.T. of Puducherry]",15-Sep-2025 10:00 AM,Public Works Department||CIRCLE III||IRRIGATION AND PUBLIC HEALTH,06-Oct-2025 03:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNZBp874H2tEj%2BBzT4%2Bo9yQ%3D%3D
7,2025_EDHD_19814_1,1,[Supply of 20 Sets of 22KV 800A Double Contact A.B. Switch],11-Sep-2025 06:00 PM,Electricity Department||Head of the Department||MRT and Materials Management Cell,06-Oct-2025 11:00 AM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SU43gohWCp6xZCAPKlWumnQ%3D%3D
8,2025_DoFFW_19796_1,1,[Supply of Life Jacket],10-Sep-2025 10:00 AM,Department of Fisheries and Fishermen Welfare||The Pondicherry State Fisherman Co-operative Federation Ltd,30-Sep-2025 12:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCdwmgdCsV7vIdr8RsXH55w%3D%3D
9,2025_DoFFW_19802_1,1,[Supply of Radar Reflector (IRS Approved)],10-Sep-2025 10:00 AM,Department of Fisheries and Fishermen Welfare||The Pondicherry State Fisherman Co-operative Federation Ltd,30-Sep-2025 12:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SBKjlaJb4lVvxHewN0eGuTQ%3D%3D
10,2025_DoFFW_19799_1,1,[Supply of  Life Buoy (As per SOLAS Standard) (IRS Approved)],10-Sep-2025 10:00 AM,Department of Fisheries and Fishermen Welfare||The Pondicherry State Fisherman Co-operative Federation Ltd,30-Sep-2025 12:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SO1A22KeI12MaL6diRsOzVA%3D%3D
