Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_WR_136866_20,[Estimate for Lining/Relining by laying UGPL of w/c of O/L RD 4835-R of New Fatehpur Mr./B.M.B of Vill. Nandgarh/Danewala/Ghurkani of Distt. Mansa],18-Mar-2025 03:00 PM,Department of Water Resources||Punjab Water Resources Management and Development Corporation||DE - Lining Division No. - 2 - Mansa,06-Oct-2025 09:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sb6FRt74obi3GYlu0%2FE02Ig%3D%3D
2,2025_DHA_146962_19,[3 nos.Barracks for 200 Persons at CJ Ludhiana Group II],09-Aug-2025 05:00 PM,Department of Home Affairs||Punjab Police Housing Corporation,30-Sep-2025 11:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SmanwB8HcxYIadiwS1GtaMw%3D%3D
3,2025_DLG_150480_1,"[Providing and Fixing of OCEMS, Electromagnetic Flow Meter 450 mm i/d and all other works contingent thereto at 4 MLD STP (SBR Technology) Talwandi Bhai, ]",23-Sep-2025 02:00 PM,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Ferozpur,01-Oct-2025 12:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SuCooUBwMqJhoS61zDuXz%2BQ%3D%3D
4,2025_DLG_150448_1,[Supply of Staff for Annual Maintenance of STP and Office MC Zira for One Year],22-Sep-2025 06:00 PM,Department of Local Government||Director - Local Government||ADC (UD) - Ferozepur||Municipal Council - Zira,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SwqNLP4zeWi9gMCZs5OFg%2FA%3D%3D
5,2025_WR_148812_2,[Estimate for Remodeling Reconstruction of Longowal Minor from RD 18424 to 41086 and mander sub minor RD 0 to 3545 including their pucca structure.],02-Sep-2025 05:00 PM,Department of Water Resources||Department of Water Resources||Canal - Sangrur Canal Div,30-Sep-2025 10:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SGo1dLTmkE%2FMwqmnhcjARNA%3D%3D
6,2025_DLG_150138_1,"[Road Sweeping Of Internal Roads By Mechanical Sweepers, Sri Muktsar Sahib]",17-Sep-2025 04:00 PM,Department of Local Government||Director - Local Government||ADC (UD) - Sri Muktsar Sahib||Municipal Council - Muktsar,14-Oct-2025 11:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S7u%2BkjMiB7eM2q%2BKFeZ4XgQ%3D%3D
7,2025_WR_149530_3,[ESTIMATE FOR RENOVATION OF SUB-MINOR CANAL OUTLET R.D. 100-TR S1 OF SIRHIND FEEDER. VILLAGE SUMAGH DISTT. SHRI MUKTSAR SAHIB. (IN CONVERGENCE WITH MGNREGA)],11-Sep-2025 05:00 PM,Department of Water Resources||Punjab Water Resources Management and Development Corporation||DE - Lining Division No. - 4 - Abohar,30-Sep-2025 10:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOeZPzmn9cf8cGr2gthrZwA%3D%3D
8,2025_DLG_149258_78,"[P/L RMC M-30 from jaspal Singh to Vijay Kumar in labour Quarter, ward no. 20]",15-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||Municipal Corporation - Batala,06-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sec8L3htRRsZDsJpASaQ7QQ%3D%3D
9,2025_WR_149951_1,[Estimate for relining of Ferozepur Feeder from RD 23000-23993],16-Sep-2025 01:00 PM,Department of Water Resources||Department of Water Resources||Canal - Fazilka Canal and Ground Water Div - Fzr,08-Oct-2025 10:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FFvpSkx6XOAIzJih6GHljw%3D%3D
10,2025_DLG_149258_65,[P/L RMC M-30 from house of mahinder singh to subet singh wali gali  ward no. 19],15-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||Municipal Corporation - Batala,06-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYlLVpt1be1mc73jVAOWIiA%3D%3D
