S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,29-Sep-2025 04:40 PM,20-Oct-2025 05:00 PM,21-Oct-2025 10:00 AM,[Mining of Minor Minerals  Sand from Mining site Mohar Singh wala Hithar 4 Tehsil Jalalabad District Fazilka],"[Mining of Minor Minerals  Sand from Mining site Mohar Singh wala Hithar 4 Tehsil Jalalabad District Fazilka]
																				[32/2025-26][2025_WR_151104_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=StX9iSO3Pmb%2BjBlzdAHfDqQ%3D%3D,Department of Water Resources||Department of Water Resources||Drainage - DCD Ferozepur At Fazilka
2,1,29-Sep-2025 04:40 PM,20-Oct-2025 05:00 PM,21-Oct-2025 10:00 AM,[Auction for Mining Site Kannian Hussaini and Parjian Biharipur],"[Auction for Mining Site Kannian Hussaini and Parjian Biharipur]
																				[7870/6A][2025_WR_151077_5]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sy5sNS7lina1k4RkXKoeZuw%3D%3D,Department of Water Resources||Department of Water Resources||Drainage - Ludhiana Drg Div - Ludhiana
3,1,29-Sep-2025 04:30 PM,20-Oct-2025 05:00 PM,21-Oct-2025 10:00 AM,[Auction for Mining Site Hujra],"[Auction for Mining Site Hujra]
																				[7870/6A][2025_WR_151077_4]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSDpJ13tAVIM1Hz8PQze5Ug%3D%3D,Department of Water Resources||Department of Water Resources||Drainage - Ludhiana Drg Div - Ludhiana
4,1,29-Sep-2025 04:30 PM,20-Oct-2025 05:00 PM,21-Oct-2025 10:00 AM,[Mining of Minor Minerals Sand from Mining site Mohar Singh wala Hithar 3 Tehsil Jalalabad District Fazilka],"[Mining of Minor Minerals Sand from Mining site Mohar Singh wala Hithar 3 Tehsil Jalalabad District Fazilka]
																				[31/2025-26][2025_WR_151101_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BzOh6sbkvxV5jamYphjoXQ%3D%3D,Department of Water Resources||Department of Water Resources||Drainage - DCD Ferozepur At Fazilka
5,1,29-Sep-2025 04:30 PM,20-Oct-2025 05:00 PM,21-Oct-2025 10:00 AM,[Auction for Mining Site Dhulewal2],"[Auction for Mining Site Dhulewal2]
																				[7870/6A][2025_WR_151077_3]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sf4fLizg4IkOTnm%2BmRZTzDQ%3D%3D,Department of Water Resources||Department of Water Resources||Drainage - Ludhiana Drg Div - Ludhiana
6,1,29-Sep-2025 04:15 PM,20-Oct-2025 05:00 PM,21-Oct-2025 10:00 AM,[Mining of Minor Minerals Sand from Mining site Mohar Singh wala Hithar 2 Tehsil Jalalabad District Fazilka],"[Mining of Minor Minerals Sand from Mining site Mohar Singh wala Hithar 2 Tehsil Jalalabad District Fazilka]
																				[30/2025-26][2025_WR_151100_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOINqu3McVsgvEkOjBybC7A%3D%3D,Department of Water Resources||Department of Water Resources||Drainage - DCD Ferozepur At Fazilka
7,1,29-Sep-2025 04:15 PM,03-Oct-2025 01:00 PM,03-Oct-2025 03:00 PM,[labour and cartage work in district jalandhar],"[labour and cartage work in district jalandhar]
																				[2025/JAL/L and C/4][2025_FCSCA_151086_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShGfqMAmOQ9nY%2B7I2Fp9AQg%3D%3D,Department of Food Civil Supplies and Consumer Affairs||PUNGRAIN||District Office - Jalandhar
8,1,29-Sep-2025 04:05 PM,07-Oct-2025 11:00 AM,07-Oct-2025 02:00 PM,[Repair and Renovation 1st Floor and 2nd Floor in existing Toilet Block of GST Bhawan in the Building Of District Excise and Taxation Commissioner Office Jalandhar Ladies and Gents Toilet],"[Repair and Renovation 1st Floor and 2nd Floor in existing Toilet Block of GST Bhawan in the Building Of District Excise and Taxation Commissioner Office Jalandhar Ladies and Gents Toilet]
																				[15-GOVTWORKS-2025][2025_WSS_151099_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGy7lUC9QOACs9Cdo2B78IA%3D%3D,"Water Supply and sanitation||Department of Water Supply and Sanitation||Division No. 1, Jalandhar"
9,1,29-Sep-2025 04:00 PM,09-Oct-2025 01:00 PM,09-Oct-2025 02:00 PM,[Construction of Toilet Block in Baba Farid Market at Faridkot],"[Construction of Toilet Block in Baba Farid Market at Faridkot]
																				[NIT No. 04/E-Tender/LG-IT Faridkot/2025-26][2025_DLG_151060_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SvY5XmagYOEeaN9stctY4Zg%3D%3D,Department of Local Government||Director - Local Government||ADC (UD) - Faridkot||Improvement Trust - Faridkot
10,1,29-Sep-2025 04:00 PM,09-Oct-2025 01:00 PM,09-Oct-2025 02:00 PM,[Supply and Planting permanent trees in various schemes of Trust at Faridkot],"[Supply and Planting permanent trees in various schemes of Trust at Faridkot]
																				[NIT No. 04/E-Tender/LG-IT Faridkot/2025-26][2025_DLG_151060_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sd5TVJhajJC0dnPw4Qs3F5g%3D%3D,Department of Local Government||Director - Local Government||ADC (UD) - Faridkot||Improvement Trust - Faridkot
