Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_RRVPN_487779_1,"[Construction of various transmission elements (02 no. 400 kV and 02 no. 220 kV Transmission lines) for proposed 400 kV GSS Amber (Jaipur North) with installation of OPGW Network on existing line including survey, supply under BN-9018002521]",17-Jul-2025 04:00 PM,RRVPN - CMD||CE (Contracts) Jaipur||SE (Contracts-I) Jaipur,16-Oct-2025 04:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S0qvwx%2FPPG2wJJ%2FZCUmMMhQ%3D%3D
2,2025_UITKo_502971_1,[Construction of Road and Drain in Krishna Nagar Namrata awas ward 19 Nagar Nigam Kota South.],22-Sep-2025 09:00 AM,UIT Kota||Addl. C.E.||S.E. - I||Ex.En. - I,07-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SoRHcp6Ktji5PoTDIpVxdew%3D%3D
3,2025_RPHCC_502444_10,"[Construction of 02 nos Watch Towers at District Jail, Pratapgarh]",19-Sep-2025 04:00 PM,RAJASTHAN POLICE HOUSING AND CONSTRUCTION CORP. LTD.||MANAGING DIRECTOR||GENERAL MANAGER,07-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRi6Vm8FDTJCGiU9FxgrS%2BA%3D%3D
4,2025_GMCK_497897_1,[CAMC of fire system],29-Aug-2025 05:15 PM,"Govt. Medical College, Kota||Principal and  Controller||Superintendent, Super Speciality Hospital Kota",08-Oct-2025 05:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S813OnEx7y6plb%2Bm%2FXOuyJQ%3D%3D
5,2025_CEPWD_504476_7,[Construction of Alwar Jaipur Road to Silished Garwa Ji Road (Part-A- Road Work) (Risk and Cost)	],29-Sep-2025 02:00 PM,PWD - CE AND AS||ACE - JAIPUR II||SE-ALWAR||EE-ALWAR-I,07-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOIvYovEerf6X1RvmZ4ZFSA%3D%3D
6,2025_JDAJP_503103_1,[Repair of Road cut done by PHED (Bisalpur) in internal colonies with GSB WMM PCC in PRN North area Phase-I (3-packages) JDA. Jaipur (phase II) connecting roads dhawas road],23-Sep-2025 09:00 AM,Jaipur Development Authority||Director - Engineering - I||S.E. - 01||Ex. En. - Garden,02-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STFFzrawLmRQiviuWpF15Bw%3D%3D
7,2025_PRD_502647_1,[cc sadak b nali nirman karya burdako ki dhani shiv mandir javan ji kalvaniya ke makaan ki oor],20-Sep-2025 06:00 PM,Panchayati Raj Department||Secretary and Commissioner||CEO- JAIPUR||BDO-PHAGI,01-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sy%2FvTjmRlFqfaRJuAhmCGzw%3D%3D
8,2025_MEDIC_503279_1,"[Construction of New CHC at Behrunda, Distt. Nagaur. (Including Internal Electrical Work) (15th FC 2025-26)]",24-Sep-2025 09:00 AM,Medical and Health||Chief Engineer,13-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUvxYyC009hVWvRmLXONqAg%3D%3D
9,2025_RCSCE_503059_79,"[Repair work at Anganwadi Center Bhakrod First, Gram Panchayat Bhakrod Sector Kharnal, District Nagaur]",24-Sep-2025 09:00 AM,Rajasthan Council of School Education||State Project Director||Naguar DPC,30-Sep-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSmLYYxJtpHpIaj%2BII50Wvw%3D%3D
10,2025_DLB_504203_22,[NIT 08/22 Construction of C.C Road and drain from(i) Babulal to Dharamraj Bairwa  (ii) Tonk Wale Chacha to Shadab Bhai (iii) Geeta House to Javed Bhai (iv) Mulchand to Ramkisan (v) Gisa lal to Ramrakh bairwa w.no 24 in Deoli],29-Sep-2025 09:00 AM,DLB||Dy.DR-Ajmer||Commissioner-Tonk,10-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SuvNPLocA6Kv93HbkH3Yq5Q%3D%3D
