Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_RCSCE_504425_1,1,"[Construction of Boys Hostel (Capacity 50 Beds) at Govt. Sr. Sec. School Karada, Block- Fatehgarh (Under Dharti Aaba Janjatiya Gram Utkarsh Abhiyan (DA-JGUA) 2025-26, Dist- Jaisalmer]",29-Sep-2025 09:00 AM,Rajasthan Council of School Education||State Project Director||Jaisalmer DPC,15-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjVHdq3rAj0zR%2FNZHC62tgQ%3D%3D
2,2025_CEPWD_504419_4,1,[Construction of C.C. Road from Sakat to Thamawali Road],29-Sep-2025 09:00 AM,PWD - CE AND AS||ACE - JAIPUR II||SE-ALWAR||TA-SE-ALWAR,06-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8uSP7ShhRg3Ng60v3cY52A%3D%3D
3,2025_RCSCE_504425_2,1,"[Construction of Boys Hostel (Capacity 50 Beds) at Govt. Sr. Sec. School Toga, Block- Fatehgarh (Under Dharti Aaba Janjatiya Gram Utkarsh Abhiyan (DA-JGUA) 2025-26, Dist- Jaisalmer]",29-Sep-2025 09:00 AM,Rajasthan Council of School Education||State Project Director||Jaisalmer DPC,15-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S5MxyhAYFfze9n4IkrPMYhg%3D%3D
4,2025_MEDIC_504269_1,1,[Construction and Extension work at Govt District Hospital Gangasahar District Bikaner],27-Sep-2025 04:30 PM,Medical and Health||Chief Engineer,08-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sq6socuzxKYIvCpUYOqs8%2Fw%3D%3D
5,2025_MEDIC_504269_5,1,[Construction of Sub Health Center at 3 O District Sriganganagar],27-Sep-2025 04:30 PM,Medical and Health||Chief Engineer,08-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9Q1QPyjAJqD1wFNJ180azQ%3D%3D
6,2025_MEDIC_504269_7,1,[Construction of Sub Health Center at Shyamgarh District Sriganganagar],27-Sep-2025 04:30 PM,Medical and Health||Chief Engineer,08-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SI1GFCBq3vrk6S08AE9L9sg%3D%3D
7,2025_MEDIC_504269_2,1,[Construction of Room at CHC Patroda District Sriganganagar],27-Sep-2025 04:30 PM,Medical and Health||Chief Engineer,08-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SWPyL96wCTSm7EA52aZAhtQ%3D%3D
8,2025_MEDIC_504269_4,1,[Construction of Sub Health Center at 2 M Phosewala District Sriganganagar],27-Sep-2025 04:30 PM,Medical and Health||Chief Engineer,08-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SYAIy243NBG9ed1PDCd8d4g%3D%3D
9,2025_MEDIC_504269_3,1,[Construction of Room at CHC Raisinghnagar District Sriganganagar],27-Sep-2025 04:30 PM,Medical and Health||Chief Engineer,08-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SxF5B9yy47dOwGO%2BRrEusNQ%3D%3D
10,2025_MEDIC_504269_6,1,[Construction of Sub Health Center at 14 S District Sriganganagar],27-Sep-2025 04:30 PM,Medical and Health||Chief Engineer,08-Oct-2025 06:00 PM,https://eproc.rajasthan.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SOgatklzAHRYSx4jT%2BxspFQ%3D%3D
