Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_HWAY_609720_1,[Uthangarai (H) CandM Sub Division (SLM-109)],29-Sep-2025 10:00 AM,Highways||Construction and Maintenance Wing||Salem Circle,23-Oct-2025 10:30 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYSRiipvJKC%2FUDq0krkeLcg%3D%3D
2,2025_TNHB_603524_1,[Sales of Commercial Plots at Kilmudalambedu Phase II],15-Sep-2025 11:00 AM,Tamil Nadu Housing Board||Project Circle (City)||Special Project Division I,15-Oct-2025 11:30 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SentKOxSqDiNOVzBWOcsgYQ%3D%3D
3,2025_DoTE_601530_1,[SPORTS EQUIPMENTS],08-Sep-2025 02:00 PM,"Directorate of Technical Education||Govt. Polytechnic College - DOTE||Srinivasa Subbaraya Polytechnic College, Puthur",03-Oct-2025 11:00 AM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHPAuSe0mNTxiFk0HLyaReQ%3D%3D
4,2025_DoTE_604389_1,[PLC AND AUTOMATION PRACTICUM],16-Sep-2025 06:00 PM,Directorate of Technical Education||Govt. Polytechnic College - DOTE||GPT-Papanasam - Thanjavur,30-Sep-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmpzRP1D54V60KndaVCvnag%3D%3D
5,2025_TCMPF_570897_2,"[Procurement of Solar / Wind Mill Power from Producers Through Open Access for TCMPF Limited, Head Office]",30-Jul-2025 05:00 PM,Tamilnadu Co-op Milk Producers Federation Ltd.||Projects and Engineering-TCMPF,14-Oct-2025 02:30 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sr3n8oL1lc0rYAERU3LuXbQ%3D%3D
6,2025_HWAY_604810_1,[Improvements to Riding Quality and Drain works to the Government roads inSirkali H CandM Sub division Jurisdiction TNJ85],18-Sep-2025 06:50 PM,Highways||Construction and Maintenance Wing||Thanjavur Circle,07-Oct-2025 11:30 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3DEVhGz7%2FqnLHp2q8p5Ypg%3D%3D
7,2025_CoC_607317_1,[R.D.C.N.C.D.C.No. B4 / 363 / 2025],22-Sep-2025 03:00 PM,"Corporation of Chennai||Regional Office North,CoC",06-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SM46TwwfCCavPfpk6884gzA%3D%3D
8,2025_DTP_608507_1,[2nd-Retender - 15thFC 2nd Installment - 2025-2026 - 630],24-Sep-2025 06:55 PM,"Directorate of Town Panchayats||Salem Zone||Omalur Town Panchayat, Salem",03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=StanKP6Mkl3CXr17asGyCYQ%3D%3D
9,2025_HWAY_604523_1,[Bridge Works],18-Sep-2025 10:00 AM,Highways||NABARD and Rural Roads||Tirunelveli,07-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2oZI3JSFUK%2FmPbw6NdiyRg%3D%3D
10,2025_HWAY_609055_1,[Upgradation of Panchayat Union /Panchayat Roads to Other District Roads TRY-82],27-Sep-2025 10:00 AM,Highways||NABARD and Rural Roads||Trichy,14-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVPhESa%2BmyVOl29t1oyKqSQ%3D%3D
