Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_TNPL_609940_1,1,[Supply and installation of Fire rated steel door in MCC Building of TM#5 area at TNPL Unit II],29-Sep-2025 02:00 PM,Tamilnadu Newsprint and Papers Limited||TNPL Unit-1||TNPL Projects,06-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SAvtauodM%2BsQBgBnxuICJFQ%3D%3D
2,2025_DMA_609966_6,1,"[Providing of Interlocking Paver Block at pathway and Raising  Compound wall ,Doors and Windows Community Hall ,Nallathambi Road in Ward No.07 Zone No.01 TCMC]",29-Sep-2025 01:00 PM,Directorate Of Municipal Administration||Tambaram City Municipal Corporation,06-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SR08%2FoXvpdRCGPO%2B%2BSJ%2F7lw%3D%3D
3,2025_RDTN_609934_1,1,[Construction of Kitchen shed at Govt Adidravidar Hr Sec School at Ma.Podaiyur],29-Sep-2025 11:00 AM,"Rural Development and Panchayat Raj Department||Cuddalore,RD,TN||MANGALUR,CUDDALORE,RD,TN",30-Sep-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SK1KMNm3pJxBetXg7i9tW1A%3D%3D
4,2025_MAWS_609902_1,1,"[Providing Storm Water Drain with Paver Block Road at ward no 21, Ibrahim Garden 1st Street in Kottakuppam Municipality]",29-Sep-2025 09:00 AM,MAWS||Kottakuppam Municipality,03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SYZ33MIiQfrr6I%2BakPy6hXg%3D%3D
5,2025_MAWS_609833_1,1,"[Construction of Storm Water Drain at ward no 22, Bhargath Nagar 4th Street  in Kottakuppam Municipality]",29-Sep-2025 09:00 AM,MAWS||Kottakuppam Municipality,03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SPLf6nsYY%2BfhGEXASdt%2Fskg%3D%3D
6,2025_MAWS_609898_1,1,"[Providing Compound Wall and Platform at ward no 05, Anganwadi in Kottakuppam Municipality]",29-Sep-2025 09:00 AM,MAWS||Kottakuppam Municipality,03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Svys%2FfcqsGyYxuU%2BL43r4gw%3D%3D
7,2025_HWAY_609837_3,1,[TN No 7 2025 26 SDO Dated 19.08.2025],29-Sep-2025 09:00 AM,Highways||Projects Wing||Madurai Circle,15-Oct-2025 11:00 AM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9B%2FE61pok4aZivLGgol%2BnA%3D%3D
8,2025_MAWS_609888_1,1,"[Providing Cement Concrete Road at ward no 04, Chinnamudhaliyar Chavadykuppam North Street in Kottakuppam Municipality]",29-Sep-2025 09:00 AM,MAWS||Kottakuppam Municipality,03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sd76zVB13zLvRbAEHnWKKeA%3D%3D
9,2025_HWAY_609837_2,1,[TN No 7 2025 26 SDO Dated 19.08.2025],29-Sep-2025 09:00 AM,Highways||Projects Wing||Madurai Circle,15-Oct-2025 11:00 AM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMydIqwUkypNLohFrCA9Kdw%3D%3D
10,2025_MAWS_609906_1,1,"[Providing Cement Concrete Road at ward no 08, Kottaimedu Thennathoppu Main Road Mariyammankoil to ECR in Kottakuppam Municipality]",29-Sep-2025 09:00 AM,MAWS||Kottakuppam Municipality,03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SaNRhSQWxc95dBEo5MuDtuA%3D%3D
11,2025_HWAY_609837_2,1,[TN No 7 2025 26 SDO Dated 19.08.2025],29-Sep-2025 09:00 AM,Highways||Projects Wing||Madurai Circle,15-Oct-2025 11:00 AM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMydIqwUkypNLohFrCA9Kdw%3D%3D
12,2025_HWAY_609837_1,1,[TN No 7 2025 26 SDO Dated 19.08.2025],29-Sep-2025 09:00 AM,Highways||Projects Wing||Madurai Circle,15-Oct-2025 11:00 AM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SPpA6zNmaDXe76NEtEcOChA%3D%3D
13,2025_MAWS_609902_1,1,"[Providing Storm Water Drain with Paver Block Road at ward no 21, Ibrahim Garden 1st Street in Kottakuppam Municipality]",29-Sep-2025 09:00 AM,MAWS||Kottakuppam Municipality,03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SYZ33MIiQfrr6I%2BakPy6hXg%3D%3D
14,2025_MAWS_609904_1,1,"[Repair and Maintenance work to ward no 25, RO Plant at Kottakuppam Municipality Office in Kottakuppam Municipality]",29-Sep-2025 09:00 AM,MAWS||Kottakuppam Municipality,03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SmFSvoG5TcZvYFBRFuJ0BZw%3D%3D
15,2025_HWAY_609837_3,1,[TN No 7 2025 26 SDO Dated 19.08.2025],29-Sep-2025 09:00 AM,Highways||Projects Wing||Madurai Circle,15-Oct-2025 11:00 AM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9B%2FE61pok4aZivLGgol%2BnA%3D%3D
16,2025_DTP_609707_1,1,[Agastheeswaram Town Panchayat SPECIAL FUND],27-Sep-2025 05:15 PM,Directorate of Town Panchayats||Nagercoil Zone||Agastheeswaram Town Panchayat,06-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SriPYqff1LGtnjbNOcMEJmw%3D%3D
17,2025_DTP_609666_1,1,[025-26 -15th Finance Commission - 1st  Installment Untied Grant -  Burial Ground works],27-Sep-2025 03:35 PM,"Directorate of Town Panchayats||Cuddalore Zone||Bhuvanagiri Town Panchayat, Cuddalore",03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SmujuCM%2BmqLAyqeA%2BRNQwGA%3D%3D
18,2025_DTP_609656_1,1,[2025-26 -15th Finance Commission - 2nd  Installment Untied Grant -  Drain works],27-Sep-2025 03:15 PM,"Directorate of Town Panchayats||Cuddalore Zone||Bhuvanagiri Town Panchayat, Cuddalore",03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMpiK66FM3xYIQDfo7B9Qkw%3D%3D
19,2025_DTP_609653_1,1,[2025-26 -15th Finance Commission - 1st  Installment Untied Grant -  Burial Ground works],27-Sep-2025 03:05 PM,"Directorate of Town Panchayats||Cuddalore Zone||Bhuvanagiri Town Panchayat, Cuddalore",03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SBnN%2BGJzirXIThjd8kP3zWw%3D%3D
20,2025_DTP_609640_1,1,[2025-26 -15th Finance Commission - 2nd  Installment Untied Grant -  Road works],27-Sep-2025 02:35 PM,"Directorate of Town Panchayats||Cuddalore Zone||Bhuvanagiri Town Panchayat, Cuddalore",03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SegCyxoBYv%2BvjqIyTZe9g0g%3D%3D
21,2025_DTP_609623_1,2,[129/2025 Third Call Retender BPHU],27-Sep-2025 02:25 PM,"Directorate of Town Panchayats||Coimbatore Zone||Sarkar Samakulam Town Panchayat, Coimbatore",15-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sdvxdk0yVToRoGJtzPh9FKA%3D%3D
22,2025_DTP_609631_1,2,[2025-26 -15th Finance Commission - 2nd  Installment Untied Grant -  Road works],27-Sep-2025 02:25 PM,"Directorate of Town Panchayats||Cuddalore Zone||Bhuvanagiri Town Panchayat, Cuddalore",03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFBXzquQaV2xTOY%2B%2BGHKxEw%3D%3D
23,2025_DTP_609625_1,2,[2025-26 -15th Finance Commission - 2nd  Installment Untied Grant -  Road works],27-Sep-2025 02:15 PM,"Directorate of Town Panchayats||Cuddalore Zone||Bhuvanagiri Town Panchayat, Cuddalore",03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S56ZfkC7%2FcB2BEaEkKSDWxw%3D%3D
24,2025_SIPCT_600042_2,2,"[Engagement of Consultant to act as a Project Management Consultant (PMC) for Infrastructure Development of PM MITRA Park in Virudhunagar, Tamil Nadu]",27-Sep-2025 02:15 PM,State Industries Promotion Corporation Of TamilNadu||Civil,08-Oct-2025 03:30 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9v6rAIrwxioUnkgLUUZ%2Btw%3D%3D
25,2025_DTP_609617_1,2,[2025-26 -15th Finance Commission - 1st  Installment Untied Grant -  Road works],27-Sep-2025 02:05 PM,"Directorate of Town Panchayats||Cuddalore Zone||Bhuvanagiri Town Panchayat, Cuddalore",03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2BGWNyO2tapBgn9%2BWdZY5BA%3D%3D
26,2025_DTP_609609_1,2,[2025-26 -15th Finance Commission - 1st  Installment Untied Grant -  Road works],27-Sep-2025 01:55 PM,"Directorate of Town Panchayats||Cuddalore Zone||Bhuvanagiri Town Panchayat, Cuddalore",03-Oct-2025 03:00 PM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SrHe9mDeUtF6BPrbSYf5v0Q%3D%3D
27,2025_CoC_609553_1,2,"[Z.O.XIV.C.NO.E1/5024-1/2025 RESTORATION OF METRO WATER  CMWSSB  ROAD CUT AT  ALL INDIA RADIO COLONY MAIN ROAD, ALL INDIA RADIO COLONY 4TH STREET IN DN-183, UNIT-41, ZONE-14]",27-Sep-2025 01:00 PM,"Corporation of Chennai||Regional office South,CoC",30-Sep-2025 10:00 AM,https://tntenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sb7SfUa92%2BjTMcF7%2F6bDRtA%3D%3D
