Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_CERDD_65884_1,[BALANCE WORK FOR THE CONSTRUCTION OF 50 BEDDED FIELD HOSPITAL AT KANCHANPUR SUB DIVISION UNDER R.D. KANCHANPUR DIVISION DURING THE YEAR 2025-26.],23-Sep-2025 03:00 PM,"Chief Engineer,  Rural Development Department||Superintending Engineer Circle-3, CE, RDD||Executive Engineer Northern Division-2",09-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgxdP0P1D%2FgbrjCFNONDiuQ%3D%3D
2,2025_CERDD_65886_1,"[Construction of Training Centre Part -1 at Abhoy Ashram of Gakulnagar G.P. under RD Bishalgarh Sub Division, Sepahijala during the year 2025- 26 (PWD SoR 2023).]",23-Sep-2025 01:30 PM,"Chief Engineer,  Rural Development Department||Superintending Engineer Circle-1, CE, RDD||Executive Engineer Western Division-2",08-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBk32lObUclTXN6q5J1g0UA%3D%3D
3,2025_TIADB_65548_1,"[Construction and Maintenance of Power and Electrical works etc at Dewanpassa, Kumarghat and Dharmanagar Industrial Estates PACKAGE 13]",12-Sep-2025 06:30 PM,Project Director- PMU-ADB Project- TIDCL,13-Oct-2025 03:00 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2Fz5BtXf1TZieqJfpj%2BN4zQ%3D%3D
4,2025_OSDDS_65877_1,"[Dismantling and removal of  Abandoned  building  of  Behalabari HS School,  Tulashikhar Block, Khowai District, Tripura for the year 2025-26     .]",23-Sep-2025 02:00 PM,Director - Directorate of Secondary Education||Dy Director - Directorate of Secondary Education||Stipend Sec - Directorate of Secondary Education||OSD - Directorate of Secondary Education,13-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SAIAb8ccYMJA%2F6jccC4neHg%3D%3D
5,2025_CEPWD_65714_1,"[Construction of new G plus 2 storied school building at Konabon Colony High School, Bishalgarh, Sepahijala District, Tripura under RIDF_XXX during the year 2024_25_3rd Call ]",16-Sep-2025 04:00 PM,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Bishalgarh Division",16-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SL4K5x01IaprhFYxYwM17tg%3D%3D
6,2025_Urban_65539_1,[Construction of R.C.C. drain near Town Masjid Pond at Ward No- (nine)under Sonamura Nagar Panchayat during the year 2025-26.],11-Sep-2025 11:00 AM,Director (Urban Development Department)||Joint Director (Urban Development Department)||Sonamura Nagar Panchayat,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S48VfpCt6knw6LVlARpxqEw%3D%3D
7,2025_CEPWD_66031_1,[FDR_Urgent restoration of damaged road portion (L_97Mtr) at Kalkalia Kapalipura by CC road after replacing existing soil on Nabasantiganj to Bhati Chikan Larma (L028) (L_2 pt 808 Km) road from Ch 0 pt 70 Km to 0 pt 90 Km during the year 2025_26],27-Sep-2025 04:00 PM,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Bishalgarh Division",08-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Se1xBJDQHTO1lTZzfBZFRgg%3D%3D
8,2025_CEPWD_65960_1,"[Construction of C.C road and drain from House of Jantu Miah  to  House of  Majul haque of Bitterban, Bhati Abhoynagar under AMC ward no_13 _SH_ Earth Work, Sand Filling, P.C.C, R.C.C work ,Brick Work, C.C work  and other allied works.]",27-Sep-2025 05:30 PM,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Second Circle||EE Agartala Division No III",10-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShG8TmLTcqxglQkOTcY8Org%3D%3D
9,2025_TIADB_65546_1,[Construction and Maintenance of Power and Electrical works etc at Dhajanagar and Sarasima Industrial Estates PACKAGE 14],12-Sep-2025 06:30 PM,Project Director- PMU-ADB Project- TIDCL,13-Oct-2025 03:00 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNJLeSiM3QAA1YmEJfnOuvA%3D%3D
10,2025_CERDD_65888_1,"[Construction of Community Toilet Block at Akhanda Mandali Ashram at Champamura under Bishalgarh RD Block, Sepahijala during the year 2025-26 (PWD SoR 2023).]",23-Sep-2025 02:00 PM,"Chief Engineer,  Rural Development Department||Superintending Engineer Circle-1, CE, RDD||Executive Engineer Western Division-2",08-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSC7Xkn1FvymCsiWVDlIOrA%3D%3D
11,2025_NRHM_65013_1,[Repair and Maintenance of various items],27-Aug-2025 11:00 AM,State Health and Family Welfare Society||District Health and Family Welfare Society-Dhalai Tripura||Dhalai District Hospital,15-Oct-2025 04:00 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SiC0OlqezSnKCFt9VXMl7vg%3D%3D
12,2025_CEPWD_65880_1,"[PROVIDING EI AT 240 SEATED BOYS HOSTEL AT 480 SEATED EMR SCHOOL AT NALICHERRA UNDER AMBASSA SUB-DIVISION, DHALAI TRIPURA]",23-Sep-2025 05:00 PM,"Chief Engineer, PWD (R and B)||SE PWD (R and B) Project Circle||EE PWD (R and B) IE Divn Ambassa Division",09-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sivw%2B0VnwsxK1YOWvkmcjrg%3D%3D
