Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_CMOGD_65870_1,1,[Rate contract for Suppy of Diagnostics kits],24-Sep-2025 06:55 PM,Director of Family Welfare and Preventive Medicine||Chief Medical Officer - Gomati District,07-Oct-2025 03:00 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sj0QjFWn%2BuV6nF0S7D11bXA%3D%3D
2,2025_CEWR_65816_1,1,[Development of Inland Water Transport IWT infrastructure Dredging and Desiltation in Gomati River by using contractors own Amphibian dredger machine Disposal of dredged materials under Gumti Barrage Sub Division Udaipur Gomati Tripura during the],19-Sep-2025 05:40 PM,Chief Engineer PWD (WR)||SE Water Resource Circle No-III Udaipur||EE Water Resource Division No-III Udaipur,07-Oct-2025 03:00 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ShokTvGf9j5guepfGLvMN5w%3D%3D
3,2025_CEWR_65814_1,1,[Development of Inland Water Transport IWT infrastructure Dredging and Desiltation in Gomati River by using contractors own Amphibian dredger machine Disposal of dredged materials under Gumti Barrage Sub Division Udaipur Gomati Tripura during the],19-Sep-2025 05:20 PM,Chief Engineer PWD (WR)||SE Water Resource Circle No-III Udaipur||EE Water Resource Division No-III Udaipur,07-Oct-2025 03:00 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sp1ml1OxMxRLYZUUNvMjV7A%3D%3D
4,2025_CEWR_65809_1,1,[Development of Inland Water Transport IWT infrastructure Dredging and Desiltation in Gomati River by using contractors own Amphibian dredger machine Disposal of dredged materials under Gumti Barrage Sub Division Udaipur Gomati Tripura during the],19-Sep-2025 04:45 PM,Chief Engineer PWD (WR)||SE Water Resource Circle No-III Udaipur||EE Water Resource Division No-III Udaipur,07-Oct-2025 03:00 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ScYtlUeIIALDnkSaLqJoseQ%3D%3D
5,2025_TIDC_65794_1,1,[RFP for Hiring of agency for the deployment of Manpower under RAMP],19-Sep-2025 03:45 PM,Ministry of Industries and Commerce||Directorate of Industries and Commerce,10-Oct-2025 02:30 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SBfCXLLBXhZz3ltYtLsRl3w%3D%3D
6,2025_PISC_65680_1,1,[High-Resolution Digital Terrain Model (DTM)],15-Sep-2025 04:00 PM,Tripura SCATFORM (CEO and Project Director)||Tripura SCATFORM (Sustainable Forest Management)||Planning and Implementation,15-Oct-2025 04:00 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8paw908ll5FgWuNqWCk2%2BA%3D%3D
7,2025_TIADB_65546_1,1,[Construction and Maintenance of Power and Electrical works etc at Dhajanagar and Sarasima Industrial Estates PACKAGE 14],12-Sep-2025 06:30 PM,Project Director- PMU-ADB Project- TIDCL,13-Oct-2025 03:00 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SNJLeSiM3QAA1YmEJfnOuvA%3D%3D
8,2025_TIADB_65548_1,1,"[Construction and Maintenance of Power and Electrical works etc at Dewanpassa, Kumarghat and Dharmanagar Industrial Estates PACKAGE 13]",12-Sep-2025 06:30 PM,Project Director- PMU-ADB Project- TIDCL,13-Oct-2025 03:00 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2Fz5BtXf1TZieqJfpj%2BN4zQ%3D%3D
9,2025_TIADB_65544_1,1,[Construction and Maintenance of Power and Electrical works etc at Bodhjungnagar Industrial Estate PACKAGE 11],12-Sep-2025 06:30 PM,Project Director- PMU-ADB Project- TIDCL,13-Oct-2025 03:00 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SAUJfHsHk8nMF2zH8NPgutw%3D%3D
10,2025_TIADB_65545_1,1,[Construction and Maintenance of Power and Electrical works etc at R K Nagar Nagicherra and Dukli Industrial Estates PACKAGE 12],12-Sep-2025 06:30 PM,Project Director- PMU-ADB Project- TIDCL,13-Oct-2025 03:00 PM,https://tripuratenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SA81qq2H%2FUHxHX3b7N2vYNg%3D%3D
