Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_UPPRD_1076215_5,[GRAM SURJUPUR SE GOPALPUR TAK LEPAN MARMMAT KARY. 05],23-Sep-2025 10:00 AM,Panchayati Raj Department||Zila Panchayat Ambedkar Nagar,03-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sf5DFHu9Ej01Jzflc2%2FDrLA%3D%3D
2,2025_DOLBU_1076154_17,[REWINDING and REPARING OF 75 H.P. Motor Starter Unit No.02 at Ratan Lal Nagar  Z.P.S. ],23-Sep-2025 02:00 PM,Directorate of Local Bodies UP||Jal kal Vibhag Nagar Nigam Kanpur,08-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SvPPtDJ%2B6awUCrG0gD7%2FcWQ%3D%3D
3,2025_DOLBU_1009700_8,"[PACKAGE NO- 02, UNDER CM GRID SCHEME PHASE- 02 AT- MORADABAD U.P. (PITAL NAGARI ROAD, HALLET ROAD TO PARKAR ROAD) INCLUDING ALL CONSTRUCTION WORK AND FIVE (05) YEARS MAINTENANCE.]",17-Sep-2025 03:00 PM,Directorate of Local Bodies UP||Moradabad Municipal Corporation,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5%2Fhu5Ks1elYRmzJ6LFvmMg%3D%3D
4,2025_UPTCL_1069048_1,[SHORT TERM ET- 07/E-400 KV S/S Div.(P)/2025-26],27-Aug-2025 06:50 PM,UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TS) South Agra||S.E.  ETC-I  Kanpur||EE 400kv Substation Division Panki Kanpur,06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9GaurHppYWJerd2X%2F5ZHXg%3D%3D
5,2025_DOLBU_1077233_1,[Construction work of CC road from Babu Lal Mishthan Bhandar to Jagdishpur Dharamshala under Aishbagh Ward.],25-Sep-2025 01:00 PM,Directorate of Local Bodies UP||Lucknow Municipal Corporation,04-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sl3BG2%2Br5w%2BK5l7EVEfg95g%3D%3D
6,2025_REDUP_1077268_1,[MAIN SHAMSHABAD ROAD SE GHARIESWARI GAW MAI NIRMIT SADK GUMANI K KHATETAK CC AKARYA],25-Sep-2025 12:55 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,01-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9f5eE%2Fhns9%2BRDCd%2Fjs91OA%3D%3D
7,2025_DOLBU_1076552_10,[Ward no 15 Subhashnagar me afroj ke ghar se mukhtar ke ghar tak nali v enterloking ka kary.],23-Sep-2025 06:00 PM,Directorate of Local Bodies UP||Nagar Panchayat Rajesultanpur Ambedkar Nagar,04-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsP2DCew8lx8r3W5uz17HoA%3D%3D
8,2025_UPPRD_1071285_96,[332-Lodhpurwa Majre Kamoli Mai Prem Kumar Ke Awas Se Pakke Nala Tak RCC Nala Nirman Karya. ],08-Sep-2025 09:00 AM,Panchayati Raj Department||Zila Panchayat Barabanki,08-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sr72OabYwhndZE4C8bTwJMg%3D%3D
9,2025_REDUP_1077724_2,[Construction of community hall/marriage hall in village Kabulpur development block Barkheda under Legislative Assembly Bisalpur],27-Sep-2025 12:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE PILIBHIT,06-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfYuaYOblmudy%2BOHXuMQ62Q%3D%3D
10,2025_DOLBU_1077704_1,[Construction work of 06 seated toilets and urinals at Lohamandi Zone Room No. 33 District Jail Main Gate.],27-Sep-2025 06:00 PM,Directorate of Local Bodies UP||Agra Municipal Corporation,03-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4mAFcxDjVFr61ofWGzjnKA%3D%3D
