S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
21,2,29-Sep-2025 03:20 PM,09-Oct-2025 05:00 PM,10-Oct-2025 11:00 AM,[(line05)Construction work of the foundation for the Tormel machine at the MRF center],"[(line05)Construction work of the foundation for the Tormel machine at the MRF center]
																				[3278/NPPB/ETENDER/2025][2025_DOLBU_1078414_5]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1BRxLYZbuHayFgTjK9wQHg%3D%3D,Directorate of Local Bodies UP||Nagar Palika Parishad Bachraun Amroha
22,2,29-Sep-2025 03:20 PM,09-Oct-2025 05:00 PM,10-Oct-2025 11:00 AM,[(line03)Installation work of 25 LED street lights of 90 watts each with 7 meter poles at various locations in Bakhraiyu under Nagar  palika parishad bachhraon],"[(line03)Installation work of 25 LED street lights of 90 watts each with 7 meter poles at various locations in Bakhraiyu under Nagar  palika parishad bachhraon]
																				[3278/NPPB/ETENDER/2025][2025_DOLBU_1078414_3]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SOIX5cz6k%2FanJVWs14yq7uQ%3D%3D,Directorate of Local Bodies UP||Nagar Palika Parishad Bachraun Amroha
23,2,29-Sep-2025 03:15 PM,27-Oct-2025 05:00 PM,28-Oct-2025 04:30 PM,[SITC OF LAYING THEOPTICAL FIBER CABLE AND RELATED WORKS Administrative Building  SoICT New Building  Proposed AI Centre AND Girls Hostel],"[SITC OF LAYING THEOPTICAL FIBER CABLE AND RELATED WORKS Administrative Building  SoICT New Building  Proposed AI Centre AND Girls Hostel]
																				[GBU/SP/05/2025-476 dt.29.09.2025][2025_GBU_1078426_6]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0c096zRGiRQtMQl5EwA63g%3D%3D,Gautam Buddha University
24,2,29-Sep-2025 03:10 PM,04-Oct-2025 03:00 PM,04-Oct-2025 04:00 PM,[ Patch repair work by HMP at various places in Industrial State under Zone-06 Ward-69],"[ Patch repair work by HMP at various places in Industrial State under Zone-06 Ward-69]
																				[286/AA-6/2025-26][2025_NNKAN_1078519_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BcKRADAYVj5k0Y7LE%2BmGVA%3D%3D,"Kanpur Municipal Corporation, Kanpur, UP"
25,2,29-Sep-2025 03:00 PM,15-Oct-2025 12:00 PM,15-Oct-2025 01:00 PM,[INSTALATION AND DISMANTLING OF HP AND BORING IN GANGA TIGRI MELA 2025],"[INSTALATION AND DISMANTLING OF HP AND BORING IN GANGA TIGRI MELA 2025]
																				[4968/NIVIDA/ 39 Dt 26.09.2025][2025_UPJNG_1078213_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXo4Jhl%2FqthNGW%2FhFdoak3A%3D%3D,UP Jal Nigam Gramin (HQ) Lucknow||Chief Engineer Moradabad Zone||SE Circle Office Moradabad||EE Division Office Amroha
26,2,29-Sep-2025 03:00 PM,08-Oct-2025 11:00 AM,08-Oct-2025 11:15 AM,[Patch Repair of Narainpur Mr. in Left bank From Km. 1.800 to Km. 3.900(Lot-15)],"[Patch Repair of Narainpur Mr. in Left bank From Km. 1.800 to Km. 3.900(Lot-15)]
																				[03/EE/2025-26][2025_UPIDC_1078006_15]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FQaUpcjd0jMas5jTiNVoQQ%3D%3D,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||LD-2SC, lucknow"
27,2,29-Sep-2025 03:00 PM,08-Oct-2025 11:00 AM,08-Oct-2025 11:15 AM,[Patch Repair of Khandedev Mr. in Left bank From Km. 1.800 to Km. 3.700 and Km. 4.500 to Km. 7.000(Lot-14)],"[Patch Repair of Khandedev Mr. in Left bank From Km. 1.800 to Km. 3.700 and Km. 4.500 to Km. 7.000(Lot-14)]
																				[03/EE/2025-26][2025_UPIDC_1078006_14]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdX4002WzMqXaxnRCKbfSXg%3D%3D,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||LD-2SC, lucknow"
28,2,29-Sep-2025 03:00 PM,08-Oct-2025 11:00 AM,08-Oct-2025 11:15 AM,[Patch Repair of Khandwal Mr. in Left bank From Km. 2.800 to Km. 4.500(Lot-13)],"[Patch Repair of Khandwal Mr. in Left bank From Km. 2.800 to Km. 4.500(Lot-13)]
																				[03/EE/2025-26][2025_UPIDC_1078006_13]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQb0Y7tKfD8We8acC9sP74A%3D%3D,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||LD-2SC, lucknow"
29,2,29-Sep-2025 03:00 PM,08-Oct-2025 11:00 AM,08-Oct-2025 11:15 AM,[Patch Repair of Auras Dy. in Left bank From Km. 1.000 to Km. 2.800 and Km. 8.700 to Km. 10.700(Lot-12)],"[Patch Repair of Auras Dy. in Left bank From Km. 1.000 to Km. 2.800 and Km. 8.700 to Km. 10.700(Lot-12)]
																				[03/EE/2025-26][2025_UPIDC_1078006_12]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sh25pfJgA2YXooZAXJwcpnw%3D%3D,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||LD-2SC, lucknow"
30,2,29-Sep-2025 03:00 PM,08-Oct-2025 11:00 AM,08-Oct-2025 11:15 AM,[Patch Repair of Quasimpur Dy. in Left bank From Km. 3.500 to Km. 4.500(Lot-16) ],"[Patch Repair of Quasimpur Dy. in Left bank From Km. 3.500 to Km. 4.500(Lot-16) ]
																				[03/EE/2025-26][2025_UPIDC_1078006_16]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsjY%2Bq0Sg5Kxr0l7nZva2SA%3D%3D,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||LD-2SC, lucknow"
