Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_PTC12_87568_1,"[Work of annual hotspot scanning of 132KV lines connected to different substations under 132KV OandM Division, Kashipur]",25-Sep-2025 06:00 PM,MD (Power Transmisison Corporation of Uttarakhand Limited)||SE (O/M) Kashipur,27-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9bla5LUU55L5xnEdurqHsQ%3D%3D
2,2025_UKJS_87498_6,[OPERATION AND MAINTENANCE OF WATER SUPPLY SCHEME HALDUKHATA UNDER KOTDWAR DIVISION.],27-Sep-2025 05:00 PM,CGM (Drinking Water) Jal Sansthan||GM (Garhwal)||SE Pauri Garhwal||Accountant Kotdwar,13-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFgvb9QkWnQF3UFOwLNmjJQ%3D%3D
3,2025_NPPM1_87448_1,[Selection of Agency for Integrated Solid Waste Management Project for Collection Transportation Processing Disposal of MSW with BioMethanation in Nagar Palika Parishad Mussoorie],23-Sep-2025 04:45 PM,Executive Officer Nagar Palika Parishad Mussorie||Assistant Engineer (Civil),04-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0Q5eWyROb%2FW8Pb4vjWx2sQ%3D%3D
4,2025_IRDCE_87536_1,[CONSTRUCTION OF PROPOSED GOVT  ITI AT SITARGANJ DISTT  US NAGAR UTTARAKHAND],25-Sep-2025 10:00 AM,IRD - Chief Engineer||Chief Engineer Project Garhwal Dehradun||Project Circle Dehradun,09-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVcWnB%2BZjIeZMprPh0EhAnQ%3D%3D
5,2025_UAPMB_87289_1,[Establishment work of marketing centre of House of Himalayas in Amori of Champawat district.],19-Sep-2025 05:00 PM,MD Uttarakhand Agriculture Produce Marketing Board Rudrapur||DGM (Technical) Rudrapur||AE Rudrapur||JE Rudrapur,04-Oct-2025 12:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SAdz6fPTqN%2FWDv%2BABSSqFQw%3D%3D
6,2025_pwd_86377_1,"[Under the State sector, construction work of interlocking tile work from Sharda marriage ground to Captain Thapa house and lane no. 8 and lane no. 9 roads in village Ambiwala, Sainik Colony, under Sahaspur constituency of Dehradun district.]",20-Aug-2025 05:00 PM,PWD||9th Circle Dehradun,09-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SRNyhJE8hIp5dH9dWPTODaQ%3D%3D
7,2025_pwd_86301_2,"[Under the state sector under Nanda Devi Raj Jaat Pilgrimage 2026 Repair and protection work on the Karanprayag - Nauti - Paithani Motor Road near the Maa Nanda Temple in Nauti from Km. 1 to 30 including damaged walls, causeways, culverts and drains.]",19-Aug-2025 09:30 AM,PWD||7th Circle Gopeshwar,30-Sep-2025 11:00 AM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SH2SYxuvsog7QjOub4NoCrQ%3D%3D
8,2025_RES_87476_2,[Construction Work of Hitech Yoga and Panchkarma Unit at Government Ayurvedic Medical College Mohanchatti],24-Sep-2025 03:00 PM,RES - Chief Engineer||SE - Pauri||EE - Kotdwar,09-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2F9UD2%2FD31pEbAusa15NDcw%3D%3D
9,2025_UKJS_86964_2,[Annual Rate Contract for Drilling and Development of Tubewells by Heavy Duty Percussion/Direct Rotary/Dual Rotary Rig Machine anywhere in Uttarakhand],08-Sep-2025 11:00 AM,"CGM (Drinking Water) Jal Sansthan||GM (Technical, Research, Material)||Accountant, Jal Sansthan",16-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S0kZjBIxvy0bd4iUeRFl%2FAQ%3D%3D
10,2025_IIDB2_87571_1,[SELECTION OF CONSULTANT FOR THE REDEVELOPMENT OF YAMUNA COLONY],26-Sep-2025 09:00 AM,MD Uttarakhand Investment and Infrastructure Development Board (UIIDB)||OSD,03-Nov-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsK2Ri3x3cwyvv8cGjsr6Bg%3D%3D
