Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_RES_87647_1,1,[Construction of type 3 for wardern near the residential girls Athletics hostel of district Sports office agastyamuni],27-Sep-2025 05:00 PM,RES - Chief Engineer||SE - Pauri||EE - Rudraprayag,10-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SD2161qnq2AwycP%2FbevWKpw%3D%3D
2,2025_DGIPR_87374_1,1,[E-tender for publicizing the important information/message of the State Government through News Letters/Bulk Whatsapp Messages/News PDF/Audio/Video Message through Whatsapp in the general public of Uttarakhand],25-Sep-2025 05:00 PM,DG - Information and Public Relation Department Dehradun,29-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Squ6OWq0%2FnLcVK%2FJfWYKorg%3D%3D
3,2025_NPVN_87429_1,1,[ward no 03 me gurudwara me shelter nirman work],25-Sep-2025 03:00 PM,Executive Officer Nagar Palika Parishad Vikasnagar (Dehradun),03-Oct-2025 02:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SBO8QydDQkPqNGg7q2LYEEA%3D%3D
4,2025_MCNKD_87539_1,1,[Reconstruction of Budha Park as Rajat Jayanti Park],25-Sep-2025 03:00 PM,Municipal Commissioner Nagar Nigam Kotdwar,03-Oct-2025 11:00 AM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SRBcxwoGfL8eKGJFx8Atx1g%3D%3D
5,2025_pwd_87462_1,1,"[Under Honble Chief Ministers announcement number 413/2022, Construction of bridge at Km 1 of Kodiyala Vyasghat Motor road over Ganga River at Place Singtali under Yamkeshwar Constituency Assembly of District Pauri Garhwal.]",24-Sep-2025 05:30 PM,PWD||12th Circle Pauri,11-Nov-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sb9xQ%2FkT6yuwJIuqDauIWwQ%3D%3D
6,2025_UKJS_87515_1,1,[24x7 OPERATIONS AND MAINTENANCE WORK OF SEWRAGE SYSTEM AT KAULAGARH AND RAJPUR ZONE UNDER NORTH DIVISION DEHRADUN],24-Sep-2025 05:15 PM,CGM (Drinking Water) Jal Sansthan||GM (Head Office)||SE (Urban) Dehradun||AE Dehradun (North),07-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SVsWwLCpEeOFl7s12sTkmKw%3D%3D
7,2025_PTC12_87489_1,1,"[Work of repairing of 630KVA 33/0.440KV Transformer at 400KV Sub-Station, Kashipur]",24-Sep-2025 05:00 PM,MD (Power Transmisison Corporation of Uttarakhand Limited)||SE (O/M) Kashipur,10-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SGhRGwmZkne5bQaat%2F7s6PA%3D%3D
8,2025_PTC12_87496_1,1,[Work of restringing of broken earthwire between tower no 111 to tower no 123 of 132 KV Kalagarh-Ramnagar line connected to 132 KV Sub-station Ramnagar],24-Sep-2025 05:00 PM,MD (Power Transmisison Corporation of Uttarakhand Limited)||SE (O/M) Kashipur,10-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sax61Ul0kvJq0qyFnyIiVYg%3D%3D
9,2025_PTC12_87492_1,1,"[Work of replacement of deluge valve and high velocity water spray of 315MVA and 160MVA Transformers at 400KV Sub-Station, Kashipur]",24-Sep-2025 05:00 PM,MD (Power Transmisison Corporation of Uttarakhand Limited)||SE (O/M) Kashipur,10-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SONzankViyTCq54v8lzy11Q%3D%3D
10,2025_PTC12_87491_1,1,"[Supply and erection of 245KV and 145KV isolator blade at 400KV Sub-Station, Kashipur]",24-Sep-2025 05:00 PM,MD (Power Transmisison Corporation of Uttarakhand Limited)||SE (O/M) Kashipur,10-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S109eAHoj4zAfZdVojpafew%3D%3D
11,2025_PTC12_87496_1,1,[Work of restringing of broken earthwire between tower no 111 to tower no 123 of 132 KV Kalagarh-Ramnagar line connected to 132 KV Sub-station Ramnagar],24-Sep-2025 05:00 PM,MD (Power Transmisison Corporation of Uttarakhand Limited)||SE (O/M) Kashipur,10-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sax61Ul0kvJq0qyFnyIiVYg%3D%3D
12,2025_PTC12_87499_1,1,[Work of providing and fixing of pipe type earthing at various towers of 132KV lines connected to 132KV substation Bazpur],24-Sep-2025 05:00 PM,MD (Power Transmisison Corporation of Uttarakhand Limited)||SE (O/M) Kashipur,10-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJO%2BrvD4SEwT3OxWsEDQfYw%3D%3D
13,2025_PTC12_87505_1,1,[Work of Arresting of transformer oil leakage in 40MVA and 630KVA transformers installed at 132KV substation Ramnagar],24-Sep-2025 05:00 PM,MD (Power Transmisison Corporation of Uttarakhand Limited)||SE (O/M) Kashipur,10-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SyS1u7JdTwpMK1PM0XMNfvw%3D%3D
14,2025_PTC12_87491_1,1,"[Supply and erection of 245KV and 145KV isolator blade at 400KV Sub-Station, Kashipur]",24-Sep-2025 05:00 PM,MD (Power Transmisison Corporation of Uttarakhand Limited)||SE (O/M) Kashipur,10-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S109eAHoj4zAfZdVojpafew%3D%3D
15,2025_pwd_87478_1,1,[Renewal work by PC from Km 1 to 3 of Anu Chilhad (Upper) Motor road in Chakrata Constituency of Dehradun District under Annual Repair Year 2025-26],24-Sep-2025 03:00 PM,PWD||9th Circle Dehradun,08-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9PSviK2prbeSsSybpPzbCQ%3D%3D
16,2025_MI_87473_1,1,[Construction of 02 class room and Toilet in GPS jaspur],24-Sep-2025 11:00 AM,CE-HOD||SE-Haldwani||EE-Udham Singh Nagar,09-Oct-2025 12:30 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S3zYvrpxKHLiWy3qpuOfW4w%3D%3D
17,2025_MI_87460_1,1,[469/EE/MI/2025-26 DT 23.09.2025],24-Sep-2025 10:00 AM,CE-HOD||SE-Haldwani||EE-Udham Singh Nagar,09-Oct-2025 12:30 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S%2BvMsF1EFwGz5qV%2B6yW42cg%3D%3D
18,2025_MI_87450_1,1,[469/EE/MI/2025-26 DT 23.09.2025],24-Sep-2025 10:00 AM,CE-HOD||SE-Haldwani||EE-Udham Singh Nagar,09-Oct-2025 12:30 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ScssoBgxSvrSk3nxdO67eUw%3D%3D
