Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_NISER_876450_1,[LOCK-IN-AMPLIFIER],08-Sep-2025 06:00 PM,National Institute of Science Education and Research - Odisha||Stores and Purchase Section,06-Oct-2025 11:00 AM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SIM0jpYjdU894fG3TO%2FPapA%3D%3D
2,2025_DMRC_877467_1,[Construction of PWD Storm Water Drain from Mangolpuri to Paschim Vihar.],15-Sep-2025 03:00 PM,Delhi Metro Rail Corporation Limited||CPM-2 - DMRC,08-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSWAVhcNqPWLSf9H39rMrVQ%3D%3D
3,2024_MoRTH_830674_1,[Construction of 4 lane concrete White topping Nagbhid city portion  ],14-Oct-2024 04:15 PM,Ministry of Road Transport and Highways||P6 Delhi - MoRTH||RO Mumbai - MoRTH||NH Maharashtra PWD-Nagpur - MoRTH,03-Oct-2025 05:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SU0KwhISR8o5dONbS4ejFoA%3D%3D
4,2025_IISRB_878907_1,[Supply and installation of Automation Tissue Screening System with Benchtop High Resolution Fluorescence Imaging System with Workstation ],24-Sep-2025 04:00 PM,Indian Institute of Science Education and Research Bhopal||Stores and Purchase Section-IISER-Bhopal,13-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SX32i3NnddBcNm%2FhyUeGtTA%3D%3D
5,2025_NCSM_878644_1,[SCCY-13023/30/CAFE(MG)/2025],23-Sep-2025 04:00 PM,National Council of Science Museums||Science City-Kolkata - NCSM,07-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRHum9iBnnAGbwb0bBVIxKQ%3D%3D
6,2025_PGIME_877339_1,[Microsurgical Instruments for Microvascular Surgeries],16-Sep-2025 06:00 PM,Postgraduate Institute of Medical and Education and Research Chandigarh||Procurement Branch  - PGIMER Chandigarh,16-Oct-2025 12:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SxkYW7sKVEBIeVoEcfDgA4g%3D%3D
7,2025_NHPC_877521_1,"[Exploratory Drilling for nineteen holes of 1165 m depth for Masinta Pumped Storage Project (1000 MW), Odisha]",17-Sep-2025 04:00 PM,NHPC Limited||Solar Power Project - Bhubaneswar-NHPC,08-Oct-2025 04:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfakjumajiQjGRSinWCrDPA%3D%3D
8,2025_DU_878252_1,[Photocopy Service at UDSC],19-Sep-2025 03:00 PM,Delhi University||Administration - UDSC - DU,13-Oct-2025 02:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sq%2FzFO71SAeVQBumFGsnHSw%3D%3D
9,2025_MoRTH_876690_1,"[One Time Improvement of bypassed road of old alignment of NH-44A(old) from i) km 27.500 to km 35.400, ii) km 50.220 to km 70.100, iii) km 75.000 to km 91.500, iv) km 105.000 to km 111.000 and km 111.250 to km 112.700, v) km 120.240 to km 121.840]",10-Sep-2025 12:00 PM,Ministry of Road Transport and Highways||NER and SARDP-NE - MoRTH||RO Guwahati - MoRTH||NH Mizoram PWD-NH-Section-AIZAWL - MoRTH,09-Oct-2025 12:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SSF7KzaM%2Bh0QzBQ19GnrRew%3D%3D
10,2025_MoS_879326_1,[Providing manpower for Housekeeping and Para-medical worker for PPA Hospital for a period of two years],26-Sep-2025 05:00 PM,"Ministry of Shipping||Paradip Port Trust||Medical Department,PPT",19-Oct-2025 05:15 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPaboxvzOsDnXVYa%2BD2UxhQ%3D%3D
11,2025_FACT_877785_1,[Laying of Telephone Cables 2025 26 FACT UC ],18-Sep-2025 05:00 PM,The Fertilisers And Chemicals Travancore Ltd.||Head Office - FACT||Corporate materials - FACT,03-Oct-2025 02:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0%2BRmYdOMbPuN3zo4btoGHg%3D%3D
12,2025_TMC_878383_1,[Interior work in MRI Room ],20-Sep-2025 05:30 PM,Tata Memorial Centre||Homi Bhabha Cancer Hospital and R C Mohali Punjab,01-Oct-2025 06:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHAbsqtaq4ayWWEz%2FmkLtKQ%3D%3D
13,2025_CMRL_878077_1,[PMC for the Execution of Property Development and Miscellaneous Works],20-Sep-2025 09:00 AM,Chennai Metro Rail Limited||Contract Management Department - CMRL,29-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWB4DOmqwqgphVoVAVUmy%2BQ%3D%3D
14,2025_ARMHA_879537_1,[AMC for repair and maint in r/o 14  Assam Rifles],29-Sep-2025 02:30 PM,Assam Rifles - MHA||Administration Branch - AR - MHA||Establishment Branch - Admin Branch - AR - MHA,14-Oct-2025 10:30 AM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S00VmW5A6l7a4v%2FccF7bSXg%3D%3D
15,2025_NSG_878469_1,[ARM Horticulture Maintenance of Garden landscaping and planting of garden plants etc at 27 SCG NSG  Chennai SH Contract and supply of items],22-Sep-2025 09:00 AM,"DG,National Security Guard,MHA||Construction Squadron,NSG,MHA",30-Sep-2025 11:00 AM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sl5fxk8XeKvlJB7YquSYTuA%3D%3D
16,2025_KoPT_878122_1,"[Construction of bituminous Speed Breakers on Centenary Park Road running from Makhan Babu market to Medico crossing at the entrance and exit of AG Church School Road at Haldia Township, Haldia, H.D.C.]",23-Sep-2025 02:30 PM,Kolkata Port Trust||Haldia Dock Complex - KoPT||Engineering Department - HDC||Sr. Dy. Manager(s) (I and CF) - HDC,14-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYvkFJ14%2F0saCdJSA6mVVYw%3D%3D
17,2025_BARC_879049_1,[Construction Of Deeper Disposal Modules In CWMF],29-Sep-2025 02:55 PM,Bhabha Atomic Research Centre||Bhabha Atomic Research Centre Kalpakkam,14-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SI7g5n2MvywpmJWfwjJhT1A%3D%3D
18,2025_IITKG_878313_1,[Major repair and renovation of the Street Lights in the Academic and Residential campus including Hall area at IIT Kharagpur.],19-Sep-2025 06:00 PM,Indian Institute of Technology Kharagpur,23-Oct-2025 11:00 AM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGNc3FBv2dGe1bYx%2FSU6vQA%3D%3D
19,2025_MoRTH_874404_1,[Consultancy Services for Pre-Construction Activities and Preparation of Detailed Project Report for development of 2 Lane Alternate Route to Bypass Dabarkot Landslide Zone (from Km 75.950 to Km 80.750) on NH-134 in the State of Uttarakhand],22-Aug-2025 05:00 PM,Ministry of Road Transport and Highways||P1 Delhi - MoRTH||RO Dehradun - MoRTH,06-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4eUFWSnSIlnX401t8vbKtw%3D%3D
20,2025_PGIME_877481_1,[Multimode Microplate Reader and Fluorimeter],19-Sep-2025 03:20 PM,Postgraduate Institute of Medical and Education and Research Chandigarh||Procurement Branch  - PGIMER Chandigarh,09-Oct-2025 12:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5IPbPs7whi3hmq3CBjudDg%3D%3D
21,2025_TMC_876279_1,[Supply of Automated Immunohematology (IH) Analyser on  Reagent Rental Basis],06-Sep-2025 01:00 PM,Tata Memorial Centre||Mahamana Pt M M Malaviya Cancer Centre Varanasi,14-Oct-2025 01:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHWVVAIiUU6Z9QDkwOYX30A%3D%3D
22,2025_DRD_874301_1,[Engaging an Agency for Support Services for the National Level Monitoring System of the Department of Rural Development],22-Aug-2025 02:00 PM,Department of Rural Development,29-Sep-2025 05:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sofwiq7Cb9%2F%2BGwHjK2WSWog%3D%3D
23,2025_FACT_877655_1,"[Emergency contract for hiring crawler type excavator backhoe type bucket with minimum 0.45 Cubic meter capacity and horizontal reach of 10-11 meters for Sulphur unloading from trucks and heaping at Sulphur Go-down, FACT-UC.]",17-Sep-2025 02:00 PM,The Fertilisers And Chemicals Travancore Ltd.||Head Office - FACT||Corporate materials - FACT,02-Oct-2025 02:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8u3J3zhTpKEAnRIyuNX7%2Bg%3D%3D
24,2025_MGIMS_865431_2,[Supply of Portable Slit Lamp with Digital Imaging and Recording System],28-Aug-2025 11:00 AM,Mahatma Gandhi Institute of Medical Sciences,14-Oct-2025 11:00 AM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SMT8Y5J6EhrRo15TgJbtbkA%3D%3D
25,2025_MoRTH_878481_1,[Consultancy Services for preparation of Detailed Project Report for Up-gradation of balance stretch of NH-333A from Design Chainage Km. 72.000 to Km 134.000 (Khaira - Katoria)  in the State of Bihar to 2- Lane with PSC],22-Sep-2025 09:00 AM,Ministry of Road Transport and Highways||P3 Delhi - MoRTH||RO Patna - MoRTH||NH Division-Lakhisarai - MoRTH,13-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShuwRMFpVqsLTVtS%2FBTRWSA%3D%3D
26,2025_DMRC_879103_1,[Property Development as Temporary Structure near Jhilmil Metro Station (Pier 56 to 60) of Line-1 Corridor of Delhi Metro Network.],26-Sep-2025 09:00 AM,Delhi Metro Rail Corporation Limited||ED/Contracts - DMRC,30-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQAQIwjzlfDyqInfIobONSw%3D%3D
27,2025_MoRTH_876219_1,[Consultancy Services for Authority Engineer for Supervision of  work Rehabilitation and Up gradation of Thorrur to Nehru Nagar Section to Two Lane with Paved Shoulders from km 109.420 to km 178.500 of NH-930P in the State of Telangana ],04-Sep-2025 06:55 PM,Ministry of Road Transport and Highways||P7 Delh - MoRTH||RO Hyderabad - MoRTH,16-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=St3IeL%2FDawjO14mMiUIwh7g%3D%3D
28,2025_MGIMS_867815_2,[Supply of Endoscopic third Ventriculostomy (ETV) set],09-Sep-2025 05:00 PM,Mahatma Gandhi Institute of Medical Sciences,09-Oct-2025 05:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STDNjY9NmKhOvqbj2uUONxg%3D%3D
29,2025_RIMS_879266_1,"[Providing compound fencing at the Eastern side of New Maternity Block to Bank of Baroda, RIMS, Imphal.]",26-Sep-2025 02:00 PM,Regional Institute of Medical Sciences||Imphal - RIMS,07-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3BU%2BP%2Fz9SuDD1eL8YfD8iA%3D%3D
30,2025_FCI_878957_1,[Comprehensive Annual Maintenance Contract of 60 MT pit/	shallow	pit	type	Fully Electronic   (Computerized)   Lorry Weighbridge at FSD PANVEL under DO PANVEL. (2 Year)],29-Sep-2025 02:40 PM,"Food Corporation of India||Regional Office, Maharashtra,FCI,MFPD||DO-Panvel and  Raigad_MH_FCI",10-Oct-2025 06:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkV1ST%2Ff5x0kj1I9UyTC0Kg%3D%3D
31,2025_IMSR_879253_1,"[Rate contract of consumables for Microscan Walk away , Microbiology. ]",26-Sep-2025 03:15 PM,All India Institute of Medical Sciences-Rishikesh||Hospital - AIIMS Rishikesh||Hospital Stores - AIIMS Rishikesh,17-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLAmc9t4Tmtqh2N%2B0W1TahQ%3D%3D
32,2025_FCI_879271_1,[Office Repair and Maintenance works at RO Trivandrum for the FY2025 26 Electrical wiring and power supply installation for AC units at RO Building including installation of new Main panel boards switch gears industrial plug outlet cabling etc],26-Sep-2025 02:00 PM,"Food Corporation of India||Regional Office,Kerela,FCI,MFPD",08-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1jQcUx77BxamD4okOFg%2B9A%3D%3D
33,2025_IIMJ_875605_1,[Empanelment of Service provider for providing of technology and Marketing service for Executive Education Program of IIM Jammu],02-Sep-2025 03:30 PM,Indian Institute of Management Jammu,06-Oct-2025 02:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ShIK9vJvF9ihYqi%2BP3ra5qQ%3D%3D
34,2025_NFC_876933_1,"[Providing professional services for supervision of construction activities and assistance for maintenance of Civil and electrical installations at Rawatbhata, Kota, Rajasthan.]",11-Sep-2025 12:30 PM,Nuclear Fuel Complex||Nuclear Fuel Complex Hyderabad||Civil Engineering Division - NFC Hyderabad,06-Oct-2025 02:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S6ZOb56Ji4LeMJHbNGXsADQ%3D%3D
