Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
1,2025_NITW_879412_1,1,[Providing Plinth Protection to all D type quarters blocks at NIT Warangal],29-Sep-2025 09:00 AM,National Institute of Technology Warangal||Purchase and Stores Section - NIT Warangal,22-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S1f61zEKj%2FL952bVJlGRDFw%3D%3D
2,2025_CRPF_879275_1,1,"[Anti termite treatment in residential building ,04 nos barracks sos mess gos mess and store block at gc crpf chandauli uttarpradesh]",27-Sep-2025 05:00 PM,"DG,CRPF,MHA||Central Sector,CRPF,MHA||GC Allahabad,CRPF,MHA",04-Oct-2025 10:00 AM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SQHv%2BbR3a1yCQ%2FPj8n%2F0MiQ%3D%3D
3,2025_NIFT_879361_1,1,[Conducting soft skills training],26-Sep-2025 05:30 PM,National Institute of Fashion Technology,07-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SREXsIMH8I0uOLTSXV71B7Q%3D%3D
4,2025_MoRTH_879175_1,1,[Consultancy Services for Preparation of DPR of 285.81 km of National Highways to 2-4 LPS configuration under Mumbai Circle (NH) PWD Maharashtra.],26-Sep-2025 04:00 PM,Ministry of Road Transport and Highways||P6 Delhi - MoRTH||RO Mumbai - MoRTH,27-Oct-2025 05:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjV2xA9EvGuWJZ8qQiP9qTA%3D%3D
5,2025_DOP_879306_1,1,[Electrical repair and maintenance of Kollam Civil station PO under Kollam Division (SR-Kerala)],26-Sep-2025 03:30 PM,"Department of Posts||Karnataka Circle,Dept. of Posts||CPMG,Karnataka Circle,Bangalore,POST||Supdt. Eng.(Elect.) Dn,RMS Bhawan,Bangalore,POST",03-Oct-2025 04:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjabWF4u4kOBYUM5LEJjcIA%3D%3D
6,2025_DOP_879208_2,1,[Renovation of PO building Shankargarh under Prayagraj Division],26-Sep-2025 02:00 PM,"Department of Posts||UP Circle, Dept of Posts||CPMG,UP Circle,POST||DPS (HQ), CPMG UP Circle,Lucknow,POST",13-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SwDSUdiTOTA0Tv6ULFDyvxA%3D%3D
7,2025_IISRB_879196_1,1,[Empanelment of Vendors Suppliers for Supply of Books and other documents to Central Library IISERB],26-Sep-2025 11:00 AM,Indian Institute of Science Education and Research Bhopal||Stores and Purchase Section-IISER-Bhopal,27-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sn%2FvUIz7cHoo5gotCkKTbfQ%3D%3D
8,2025_DRDO_878879_1,1,"[Provision of Additional Multi Storied Building for Training Centre of CEPTAM at Metcalfe House, Delhi]",25-Sep-2025 06:45 PM,Defence Research and Development Organisation||Directorate of Civil Works and Estates - DRDO||Chief Construction Engineer (R and D) Delhi - DRDO,09-Oct-2025 11:00 AM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SKGokvFXjOcepO5dqEnPmGg%3D%3D
9,2025_NRL_879162_1,1,[SUPPLY OF ANALYSERS AND CABINETS (LOT 2)],25-Sep-2025 06:10 PM,Numaligarh Refinery Limited,23-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgV97P9L%2FVo0QrvydmTxQiA%3D%3D
10,2025_NRL_878945_1,1,[SUPPLY OF DELUGE SYSTEM],25-Sep-2025 05:45 PM,Numaligarh Refinery Limited,16-Oct-2025 03:00 PM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SBQZAGpTw4rMwgtPpph1t2A%3D%3D
11,2025_FACT_879072_1,1,"[Construction of Additional Phosphoric Acid Storage Tanks at Q10 Berth, Willingdon island (Rubber Lining Works)]",25-Sep-2025 05:00 PM,The Fertilisers And Chemicals Travancore Ltd.||Head Office - FACT||Corporate materials - FACT,16-Oct-2025 11:00 AM,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=ST%2FBKb%2F3P%2F5aZOigv0e%2BeDw%3D%3D
