S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
21,1,29-Sep-2025 03:00 PM,15-Oct-2025 03:00 PM,16-Oct-2025 03:30 PM,[TERM CONTRACT FOR DAY TO DAY SERVICE REPLACE MAINTENANCE OF B/R AND E/M CIVIL ENGR WORKS AT DRDO OFFICERS TRANSIT FACILITY DIBER HALDWANI n ALMORA],"[TERM CONTRACT FOR DAY TO DAY SERVICE REPLACE MAINTENANCE OF B/R AND E/M CIVIL ENGR WORKS AT DRDO OFFICERS TRANSIT FACILITY DIBER HALDWANI n ALMORA]
																				[EMU/DDN/5001/TC/HAnAL/01/25-26][2025_DRDO_879297_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SqKtBp3cpTagQ%2BH5zQOayMg%3D%3D,Defence Research and Development Organisation||Directorate of Civil Works and Estates - DRDO||Estate Management Unit (R and D) - Dehradun - DRDO
22,1,29-Sep-2025 03:00 PM,15-Oct-2025 03:00 PM,16-Oct-2025 03:30 PM,[TERM CONTRACT FOR DAY TO DAY SERVICE REPLACE MAINTENANCE OF B/R AND EM CIVIL ENGR WORKS AT DRDO TRANSIT FACILITY DIBER PITHORAGARH],"[TERM CONTRACT FOR DAY TO DAY SERVICE REPLACE MAINTENANCE OF B/R AND EM CIVIL ENGR WORKS AT DRDO TRANSIT FACILITY DIBER PITHORAGARH]
																				[EMU/DDN/5002/TC/PITH /02/2025-26][2025_DRDO_879505_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SIGnSScOaSACakzWxRLMLUw%3D%3D,Defence Research and Development Organisation||Directorate of Civil Works and Estates - DRDO||Estate Management Unit (R and D) - Dehradun - DRDO
23,1,29-Sep-2025 03:00 PM,23-Oct-2025 03:00 PM,24-Oct-2025 03:30 PM,[Repairs/Replacement of damaged/missing concertina coil fencing at Breakwater berth wall of MPA at Harbour],"[Repairs/Replacement of damaged/missing concertina coil fencing at Breakwater berth wall of MPA at Harbour]
																				[CE/40/2025][2025_mptgo_879488_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FgQ3IR3QyqFJR9KYL2Zo8A%3D%3D,Mormugoa Port Trust||Civil Engineering Department
24,1,29-Sep-2025 03:00 PM,09-Oct-2025 03:00 PM,10-Oct-2025 03:00 PM,"[CIVIL RENOVATION WORKS AT CIPLA BUILDING SECOND FLOOR AT CHEMISTRY LABORATORY IN CHEMISTRY WING, MAIN BUILDING AT IISER PUNE. ]","[CIVIL RENOVATION WORKS AT CIPLA BUILDING SECOND FLOOR AT CHEMISTRY LABORATORY IN CHEMISTRY WING, MAIN BUILDING AT IISER PUNE. ]
																				[21/IISER/PUNE/2025-26][2025_IISRP_879396_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SxvWy5gDjzMoro%2Bd1gcWWIg%3D%3D,Indian Institute of Science Education and Research - Pune
25,1,29-Sep-2025 02:55 PM,14-Oct-2025 03:00 PM,21-Oct-2025 03:30 PM,[Construction Of Deeper Disposal Modules In CWMF],"[Construction Of Deeper Disposal Modules In CWMF]
																				[BARCF/INRPK-MA/CW/TR/125/2025][2025_BARC_879049_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SI7g5n2MvywpmJWfwjJhT1A%3D%3D,Bhabha Atomic Research Centre||Bhabha Atomic Research Centre Kalpakkam
26,1,29-Sep-2025 02:40 PM,10-Oct-2025 06:00 PM,13-Oct-2025 11:00 AM,[Comprehensive Annual Maintenance Contract of 60 MT pit/	shallow	pit	type	Fully Electronic   (Computerized)   Lorry Weighbridge at FSD PANVEL under DO PANVEL. (2 Year)],"[Comprehensive Annual Maintenance Contract of 60 MT pit/	shallow	pit	type	Fully Electronic   (Computerized)   Lorry Weighbridge at FSD PANVEL under DO PANVEL. (2 Year)]
																				[DO PNL-26.0011.0(20.0)/2/2023][2025_FCI_878957_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkV1ST%2Ff5x0kj1I9UyTC0Kg%3D%3D,"Food Corporation of India||Regional Office, Maharashtra,FCI,MFPD||DO-Panvel and  Raigad_MH_FCI"
27,1,29-Sep-2025 02:35 PM,10-Oct-2025 06:00 PM,13-Oct-2025 11:00 AM,[Comprehensive Annual Maintenance Contract of 40 MT pit/shallow	pit	type	Fully Electronic (Computerized) Lorry Weighbridge at FSD PANVEL under DO PANVEL.(2 Year)],"[Comprehensive Annual Maintenance Contract of 40 MT pit/shallow	pit	type	Fully Electronic (Computerized) Lorry Weighbridge at FSD PANVEL under DO PANVEL.(2 Year)]
																				[DOPNL-26.0011.0(20.0)/2/2023][2025_FCI_879444_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SVlLvUKbjHxSXR%2B%2BIh8YIFw%3D%3D,"Food Corporation of India||Regional Office, Maharashtra,FCI,MFPD||DO-Panvel and  Raigad_MH_FCI"
28,1,29-Sep-2025 02:30 PM,10-Oct-2025 06:00 PM,13-Oct-2025 11:00 AM,[Comprehensive  Annual Maintenance Contract of 40 MT pit/	shallow	pit	type	Fully Electronic   (Computerized)   Lorry Weighbridge at FSD RATNAGIRI under DO PANVEL. (2 Year)],"[Comprehensive  Annual Maintenance Contract of 40 MT pit/	shallow	pit	type	Fully Electronic   (Computerized)   Lorry Weighbridge at FSD RATNAGIRI under DO PANVEL. (2 Year)]
																				[DO PNL-26.0011.0(20.0)/2/2023][2025_FCI_879449_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sw3nOllnGyd1q7hWEaSowlw%3D%3D,"Food Corporation of India||Regional Office, Maharashtra,FCI,MFPD||DO-Panvel and  Raigad_MH_FCI"
29,1,29-Sep-2025 02:30 PM,13-Oct-2025 12:00 PM,14-Oct-2025 12:00 PM,[Repair  Maint of Store and Mag for COB Vijayanagar of 10 AR Jairampur],"[Repair  Maint of Store and Mag for COB Vijayanagar of 10 AR Jairampur]
																				[10 AR/ENGR/MW/2025-26/10][2025_ARMHA_879554_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMgUIlHRRnahPltTqoF3Llg%3D%3D,Assam Rifles - MHA
30,1,29-Sep-2025 02:30 PM,13-Oct-2025 12:00 PM,14-Oct-2025 12:00 PM,[Term Contract for Artificers Works for BR and EM at MMC DGRE at Jammu DGRE Dets at Srinagar and Banihal],"[Term Contract for Artificers Works for BR and EM at MMC DGRE at Jammu DGRE Dets at Srinagar and Banihal]
																				[EMU/CHD/TC-01/25-26/6077 ][2025_DRDO_879544_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLI2BtyUrUnF82fUMFGT9pg%3D%3D,Defence Research and Development Organisation||Directorate of Civil Works and Estates - DRDO||Estate Management Unit(R and D)- Chandigarh - DRDO
31,1,29-Sep-2025 02:30 PM,27-Oct-2025 02:00 PM,28-Oct-2025 02:00 PM,[IISER-K/PurEnq /811/G/DoRD/25-26],"[IISER-K/PurEnq /811/G/DoRD/25-26]
																				[IISER-K/PurEnq /811/G/DoRD/25-26][2025_IISER_879545_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sefx6ROyN2o2qLL8oPdUYZA%3D%3D,Indian Institute of Science Education and Research - Kolkata||Administration - IISER - Kolkata
32,1,29-Sep-2025 02:30 PM,14-Oct-2025 10:30 AM,15-Oct-2025 11:00 AM,[AMC for repair and maint in r/o 14  Assam Rifles],"[AMC for repair and maint in r/o 14  Assam Rifles]
																				[8014/AMC/02/E8/2025][2025_ARMHA_879537_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S00VmW5A6l7a4v%2FccF7bSXg%3D%3D,Assam Rifles - MHA||Administration Branch - AR - MHA||Establishment Branch - Admin Branch - AR - MHA
33,1,29-Sep-2025 02:25 PM,21-Oct-2025 09:00 AM,22-Oct-2025 09:00 AM,[Annual Rate Contract of ACs and WCs in MANUU Campus Gachibowli Hyderabad for one year],"[Annual Rate Contract of ACs and WCs in MANUU Campus Gachibowli Hyderabad for one year]
																				[MANUU/ENGG/2025-26/10][2025_MANUU_879549_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNxCHg7GOaO0j8n%2Bc5uQoHQ%3D%3D,Maulana Azad National Urdu University||Hyderabad-Telangana - MANUU
34,1,29-Sep-2025 02:15 PM,13-Oct-2025 12:00 PM,14-Oct-2025 12:00 PM,[Repair and Maint of 02 x SM Bks for COB Vijaynagar of 10 Assam Rifles Jairampur],"[Repair and Maint of 02 x SM Bks for COB Vijaynagar of 10 Assam Rifles Jairampur]
																				[10 AR/ENGR/MW/2025-26/09][2025_ARMHA_879547_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzbEPndy%2BkH%2BplHoqd6i0SQ%3D%3D,Assam Rifles - MHA
35,1,29-Sep-2025 02:10 PM,13-Oct-2025 11:30 AM,14-Oct-2025 12:00 PM,[AMC for repair maint and overhauling of DG Set at COBs and Bn HQ Maram ],"[AMC for repair maint and overhauling of DG Set at COBs and Bn HQ Maram ]
																				[011/22Sect/Engr/AMC/2025-26/71][2025_ARMHA_879548_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SE4GIDdKl8FK4HWfuwLJ0uA%3D%3D,Assam Rifles - MHA
36,1,29-Sep-2025 02:00 PM,06-Oct-2025 03:00 PM,07-Oct-2025 03:30 PM,[Maintenance of Various Sports Complexes/Golf Course (A/R and M/O of the works at Yamuna Sports Complex for the  year 2025-26).],"[Maintenance of Various Sports Complexes/Golf Course (A/R and M/O of the works at Yamuna Sports Complex for the  year 2025-26).]
																				[ 24/EE/Sports Division-2/DDA/2025-26][2025_DDA_879535_1]",https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5ea7%2BKcf4NXOe1TxDstUqQ%3D%3D,Delhi Development Authority||CE-Projects Zone-DDA||EE/Sports Division II-DDA Seed Bed Park-DDA
