Serial Number,Title,Organisation,Closing Date,Link
1,[Supply Installation Commissioning and Warranty Support of Viscometer at BEL Panchkula],Bharat Electronics Limited||Panchakula Unit - BEL||Contracts-Panchakula - BEL,10-Sep-2025 05:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SGHfLtEVJIvGLOwHvnnHMuQ%3D%3D
2,[Engagement of Contract Workmen for carrying out miscellaneous works in BEL Palasamudram.],Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Contracts-ES - BEL,11-Sep-2025 03:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SeSpNkNesgdoNmpSIDi5JEw%3D%3D
3,[2104113324/UNIVERSAL LENGTH MEASURING M/C],Bharat Electronics Limited||Bangalore Unit - BEL||CMS - BEL||Purchase-CMS - BEL,18-Sep-2025 04:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SRIYPThIBC9LoU9BfFHRPzQ%3D%3D
4,"[Construction of Additional Floors on A-Block, D-Block and Canteen Building in PDIC at BEL Bangalore.]",Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Contracts-ES - BEL,09-Sep-2025 03:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S26KOWsGkwyE0p93bBJ0R2g%3D%3D
5,[Call Control Server and Installation of IPT Infra],Bharat Electronics Limited||Bangalore Unit - BEL||CMS - BEL||Purchase-CMS - BEL,15-Sep-2025 10:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sn%2FgElakx0gfUiqe3fqPXkw%3D%3D
6,[High Power Attenuator set],Bharat Electronics Limited||Bangalore Unit - BEL||PDIC||PURCHASE,15-Sep-2025 10:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S%2BoUhZM6GD%2FnV9ssGN8E%2Bkg%3D%3D
7,"[CAMC FOR PERSONAL COMPUTERS VDI ETC.,]",Bharat Electronics Limited||Bangalore Unit - BEL||CMS - BEL||Purchase-CMS - BEL,10-Sep-2025 06:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SQHxd1RDbI2AO0NMnU6A2cg%3D%3D
8,[Renovation of Antenna Hangar at BEL GAD],Bharat Electronics Limited||Gaziabad Unit - BEL||CS - BEL||Contracts-CS - BEL,15-Sep-2025 10:00 AM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SWtdh%2BeaE%2BTONbQGZIjuj8A%3D%3D
9,"[Engagement of Contract Workers for production of EVM MPSC for SEC TN in EM SBU, BE - BG]",Bharat Electronics Limited||Bangalore Unit - BEL||EM - BEL,11-Sep-2025 12:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S0%2B5xk8YDPmavvojTNFS5Yg%3D%3D
10,"[SUPPLY, INSTALLATION, COMMISSIONING and WARRANTY SUPPORT OF X Ray Component Counter at BEL PKL]",Bharat Electronics Limited||Panchakula Unit - BEL||Contracts-Panchakula - BEL,10-Sep-2025 05:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SdkESrQFfngPWo3qnD1B6oA%3D%3D
11,"[Establishment of CHA Contract for Customs Clearance and Transportation of Import consignments from AAI Cargo Complex, Chennai to BEL Chennai]",Bharat Electronics Limited||Chennai Unit - BEL||Contracts-Chennai - BEL,12-Sep-2025 06:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SAQqMFbhsqbkewOIxWYYtsQ%3D%3D
12,"[Procurement of Spare items for Central Chiller Plant, Mechanical Department, BEL, Bangalore]",Bharat Electronics Limited||Bangalore Unit - BEL||ES - BEL||Purchase-ES - BEL,12-Sep-2025 02:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=ST1e6WeETtWa4jFiNgiVaRw%3D%3D
13,"[Balance Internal works at Air Force Station, Port Mount, Port Blair]",Bharat Electronics Limited||Gaziabad Unit - BEL||NCS - BEL,13-Sep-2025 12:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SCYt4E2XtGZOGxZHda%2BDxnQ%3D%3D
14,"[Procurement of Video Conferencing System, Qty. 01 No. ]",Bharat Electronics Limited||Kotdwara Unit - BEL||Contracts-Kotdwara - BEL,12-Sep-2025 05:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S%2F4MQgizG%2BgcWqvivjfo8Wg%3D%3D
15,"[Procurement of Active LED Display 163 inch, Qty. 01 No.]",Bharat Electronics Limited||Kotdwara Unit - BEL||Contracts-Kotdwara - BEL,12-Sep-2025 05:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S9VkHIAlZ%2BA41Z4kXpxxBxg%3D%3D
16,[SAN FOR INTRANET MAIL BACKUP],Bharat Electronics Limited||Bangalore Unit - BEL||CMS - BEL||Purchase-CMS - BEL,15-Sep-2025 06:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SYUYza5M7dZCsJCyjQPusJA%3D%3D
17,[CIVIL ARTIFICER TERM CONTRACT FOR FY 2025-27 INSIDE FACTORY PREMISES OF BEL-GHAZIABAD],Bharat Electronics Limited||Gaziabad Unit - BEL||CS - BEL||Contracts-CS - BEL,10-Sep-2025 04:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SgZArsFzydsfp%2B03%2BpJmL6A%3D%3D
18,[PROCUREMENT OF 2 GRAM GOLD COIN (GRADE 916)],Bharat Electronics Limited||Bangalore Unit - BEL||CMS - BEL||Purchase-CMS - BEL,18-Sep-2025 06:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SDhgjZSRPYieHbnDnTqjQMw%3D%3D
19,"[Replacement of Air Handling Units in Electronics Assembly, CPS/DandE Hanger and CAD and CNC Hall at BEL-Kotdwara ]",Bharat Electronics Limited||Kotdwara Unit - BEL||Contracts-Kotdwara - BEL,17-Sep-2025 05:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SOrbc4Eul1XdeIHijoRHzPg%3D%3D
20,[PROPOSED SATELLITE MANUFACTURING FACILITIES AT RTF HANGAR BEL-GAD],Bharat Electronics Limited||Gaziabad Unit - BEL||CS - BEL||Contracts-CS - BEL,15-Sep-2025 04:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S4%2BiltC6fUIAR%2F%2F74MYWD5Q%3D%3D
21,"[ Providing Mammography Machine and Execution of associated Basic Turnkey work at Govt. Base Hospital, Kotdwara ]",Bharat Electronics Limited||Kotdwara Unit - BEL||Contracts-Kotdwara - BEL,18-Sep-2025 05:00 PM,https://eprocurebel.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SfrDuvrxHWX2Zog7XpU%2F7Aw%3D%3D
