Serial Number,Title,Organisation,Closing Date,Link
1,[PROCUREMENT OF TUBE BUNDLE ASSEMBLIES FOR 1ST AND 2ND STAGE INTER COOLERS OF AIR COMPRESSORS 232-K-102A/B],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",13-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=St25AvcV2dTD6dBwZ4P6%2F5Q%3D%3D
2,[Procurement of New Pump 600-G-109A and 600-G-111B with Motor],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",15-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S7S%2FKWl265vhudEAvLxTLBw%3D%3D
3,[Procurement of CENTRIFUGAL PUMPS(2 NOS) FOR PROPYLENE LOADING BAY PROJECT],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",11-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S%2FH%2FllG1Ko8Ea3eRE%2FrVL3Q%3D%3D
4,[Procurement of Telescopic Seals],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",16-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SCTzGtxaF5Tk0O3ekGGquZA%3D%3D
5,[ARC for servicing of Areva / Schneider make HT vacuum circuit breaker at CPCL Manali],"CPCL,DGM(M and C)||CM - CONTRACTS||Sr.MANAGER||Sr Engr Officer",16-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sohvg91ukBaGfZfod2p09Fg%3D%3D
6,[Annual Rate Contract (ARC) for PVC Insulated Copper Cables for Manali Refinery of CPCL],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",10-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Ssr%2FoWecDaJMW%2FCyjmDWXpg%3D%3D
7,[Procurement of Multifunction Additive (MFA) - 2 Year ARC (240 MT) in Drums],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",15-Sep-2025 03:00 PM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SgkBdj5ozobNwnLTcCIshLA%3D%3D
8,[Procurement of Carbon Steel Fittings in various Sizes],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",12-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SjAe2yEd%2F4TjPYJ8OkX3iSA%3D%3D
9,[Procurement of Anti-static additive for ATF- Single delivery- 7254 kg],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",15-Sep-2025 03:00 PM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SWo7YnG%2FNR1sfglJb2ZOa4w%3D%3D
10,[PROCUREMENT OF BLOWERS 200-K-152A/B AND 200-K-153A FOR ETP-2 PLANT],"CPCL,DGM(M and C)||CM - MATERIALS||Sr.Manager||Sr.Engr.Officer",12-Sep-2025 11:00 AM,https://cpcletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S8Q2%2FeIQ1bvwdeqGEOX%2BbUg%3D%3D
