Serial Number,Title,Organisation,Closing Date,Link
1,[Complete Rewinding of 300KVA 11KV/440V Transformer installed at Jogidih Basti under ABG Colliery of Govindpur Area],Bharat Coking Coal Limited||BCCL_GOVINDPUR AREA,09-Sep-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SXi0BA9wbcv9GqTOo20sVXQ%3D%3D
2,[Patch Repairing of KIRLOSKAR make 250KW 3.3/6.6 KV HT Motor Sr. No.- 3980410-3 RPM-1480 of ABG Colliery],Bharat Coking Coal Limited||BCCL_GOVINDPUR AREA,09-Sep-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SB5Cwktzk67JdJxHsAoc%2FnA%3D%3D
3,[Repairing and rewinding of 20 No of burnt ceiling fan at CISF Camp and Coliiery and Project Officers Office and Others of New Akashkinaree Coliiery under Govindpur Area],Bharat Coking Coal Limited||BCCL_GOVINDPUR AREA,09-Sep-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SOPlaLLcVgCod7FM0o0ccrw%3D%3D
4,"[Shifting and extension of Overhead line of Feeder No. 16 of 3.3 KV at Departmental OCP, NAKC under GA.]",Bharat Coking Coal Limited||BCCL_GOVINDPUR AREA,09-Sep-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S%2BCIWKhWzLLGswOPpPkpwVg%3D%3D
5,[Proper Re-Wiring Sonardih O.P at ABG  Colliery under Govindpur Area.],Bharat Coking Coal Limited||BCCL_GOVINDPUR AREA,09-Sep-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sr9yGLA9YXLnpwrK6nJd0SQ%3D%3D
6,"[Wiring of PO Office, dispatch room, ground floor at NAKC under Govindpur Area.]",Bharat Coking Coal Limited||BCCL_GOVINDPUR AREA,09-Sep-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SNawkFCciFcGNkJffFo1IHw%3D%3D
7,[Dismantling of Old Transformer Housing Structure and Erection of Shed of Switch Room at SLG Siding under Govindpur Area.],Bharat Coking Coal Limited||BCCL_GOVINDPUR AREA,09-Sep-2025 05:00 PM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SqTRmeJlBc%2F2aob%2BIk6NW8Q%3D%3D
8,[Quarterly testing with 15 ton CI test weight of the weighbridges under Kusunda Area as per the SOP of the weighbridge ],Bharat Coking Coal Limited||BCCL_KUSUNDA AREA||EnM,11-Sep-2025 11:00 AM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SInqQeZIi5mhZhlN8osEeJQ%3D%3D
9,"[Replacement of bronze bush and dismantling, erection of wagon haulage drum, pillow block, and counter weight in wagon system at Madhuban Coal Washery under Block-II Area, BCCL.]",Bharat Coking Coal Limited||BCCL_BLOCK II AREA,10-Sep-2025 09:00 AM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SBskMUtjvl82UE8EmlpTmGw%3D%3D
10,"[Repairing and overhauling of 800 A salt Electronica colkatta make NFLP type. ACB switch 440V, SI.No- M/LTP/054 of Nudkurkee feeder breaker No-3 under ABOCP Mine]",Bharat Coking Coal Limited||BCCL_BLOCK II AREA,12-Sep-2025 09:00 AM,https://coalindiatenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SKmNTfWMv7F7KxxlcUwaB8Q%3D%3D
