Serial Number,Title,Organisation,Closing Date,Link
1,[CSB/NC/ARV/LT/IMP/DYNAMIC POSITIONING SYS/ET-3203],Garden Reach Shipbuilders and Engineers Ltd.||Commercial Ship Building-GRSE,16-Sep-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Ss4Clzg5omC8%2FJ5IqZLhA1g%3D%3D
2,[SCC/RM/LT/VESSEL CONSTRUCTION/045/ET-3211],Garden Reach Shipbuilders and Engineers Ltd.||GRSE Main - ND,15-Sep-2025 05:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SLWV7POqK%2BQ%2Btg7F%2FL4%2FYhw%3D%3D
3,[NCM/RKS/IMP/ND/LT/Seismic/ ORV/ET-3254],Garden Reach Shipbuilders and Engineers Ltd.||GRSE Main - ND,22-Sep-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Slmc0G5BdNzV%2FaJfFaAwybA%3D%3D
4,[CSB/PK/MPV/IMP/ST/Loading Computer/124/ET-3262],Garden Reach Shipbuilders and Engineers Ltd.||Commercial Ship Building-GRSE,18-Sep-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Ser03NG9ZckyfiUfVClwHVg%3D%3D
5,[CSB/OT (ND)/PKS/ORV/Marine CCTV System/RA-3268],Garden Reach Shipbuilders and Engineers Ltd.||GRSE Main - ND,10-Sep-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Savxq9Q%2BjTXZkuKI%2FYaQriw%3D%3D
6,[CSB/OT (ND)/PKS/ORV/Satellite TV System/RA-3269],Garden Reach Shipbuilders and Engineers Ltd.||GRSE Main - ND,11-Sep-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Syjy%2F4aUP0q%2FcMmX3I7wfow%3D%3D
7,[SCC/NK/NIC/OT(P)/RENO RNC/107/RA-3272],Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE,11-Sep-2025 03:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SXzsN3%2BXI5x%2F0y3G3JKwjLg%3D%3D
8,[SCC/AKD/OT(Web)/SOLID BALLAST/112/ET-3275],Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE,15-Sep-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SpuhU3gkgmqUwzb6KOigrKA%3D%3D
9,[SCC/AKD/OT(Web)/AL SEATS/070/ET-3278],Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE,18-Sep-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SPFVXY%2B2jy65YFUZ%2FzIHdeg%3D%3D
10,[CSB/PK/MPV/IMP/ST/Sludge Pump/134/ET-3277],Garden Reach Shipbuilders and Engineers Ltd.||Commercial Ship Building-GRSE,12-Sep-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SKQbwyjtpeUcQixh7Rk0G1w%3D%3D
11,[SCC/NK/NIC/OT(P)/BLK-FAB OUT/103/RA-3279],Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE,23-Sep-2025 03:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S0iFwYlBgwBsE%2B9glRu2rhQ%3D%3D
12,[SCC/AS/NIC/OT/Printing Activity/121/ET-3280],Garden Reach Shipbuilders and Engineers Ltd.||Main Unit - GRSE||Contract Cell - GRSE,22-Sep-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SVL%2BUbU8OHAYJB1cBTiEmEA%3D%3D
13,[SCC/KKC/LT/BLASTING OUTSIEDE GRSE/ET-3282],Garden Reach Shipbuilders and Engineers Ltd.||GRSE Main - ND,18-Sep-2025 12:00 PM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SUSM7Fygw5mf0rnaELLcWZw%3D%3D
14,[SCC/DC/NIC/ST/Construction of ASV/120/ET-3283],Garden Reach Shipbuilders and Engineers Ltd.||GRSE Main - ND,13-Sep-2025 10:00 AM,https://eprocuregrse.co.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SfJsO3O50zJB4ZEJFeqGjQQ%3D%3D
