Serial Number,Title,Organisation,Closing Date,Link
1,[Procurement ogf Bulb flat],Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,10-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SgVlUBEPYAdKY6kI9R6XxZA%3D%3D
2,[Rate Contract for Mobile Services for CUG Mobile Connections for a period of 02 (two) years with option to extend for another 01 (one) year],Hindustan Shipyard Limited||SHIP BUILDING OUTSOURCING,10-Sep-2025 03:00 PM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SY7ZAUteUCXN9VUr6%2BhRkVw%3D%3D
3,"[Supply, Installatio, commissioing of Marine Emergency Diesel Generator along with control panel   for ORV Sagar kanya ]",Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,10-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SqHPhbJQH5iIR7gFDdLzMrg%3D%3D
4,"[Supply, Installation and Commissioning of Anchor windlass for ORV Sagar kanya]",Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,10-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S9rieB%2BI0yD0ExBFiAA7bWA%3D%3D
5,[Refurbishment of Submarine office and Site Office for Shipbuilding at Outfit Jetty],Hindustan Shipyard Limited||CIVIL ENGINEERING,11-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S5Vuxk0HoLVjZbpbYBwBB3A%3D%3D
6,[Hiring of 2 Portable AC units for INS SHAKTI ],Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,15-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SvR6BG63kn94CKoZHV3oX%2Fg%3D%3D
7,"[Rate Contract for empanelment of Advertisement Agency for publishing various types of advertisement of HSL for a period of 02 years, extendable for one more year]",Hindustan Shipyard Limited||SHIP BUILDING OUTSOURCING,12-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sr5LSJ%2BXh9Xog5Nye9oXdtw%3D%3D
8,"[Facelift of L and W Workshop Offices, Toilets and EKM Documentation Room of Submarine Division for MRLC]",Hindustan Shipyard Limited||CIVIL ENGINEERING,11-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S2UxaDctVs5eYXeybJEmWCQ%3D%3D
9,[Serviceability Checks of the Complete System ORV Sagar Kanya],Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,12-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SLcmOYCIPRhUdz1g791vSzg%3D%3D
10,"[FABRICATION, ERECTION, CONSOLIDATION, WELDING, SURVEY AND PRESSURE TESTING OF STERN TUBE BLOCK OF FSS]",Hindustan Shipyard Limited||MAIN PURCHASE,15-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S2RcqeIUmRh4Z2Y9mNF%2FcTg%3D%3D
11,"[Analysis of Lub Oil, Coolant, Hydraulic oil and Portable water on INS JAMUNA ]",Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,12-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sh04tX%2FQwQWPBhsjOdvgoSg%3D%3D
