Serial Number,Title,Organisation,Closing Date,Link
1,"[Contract for Inspection, refurbishment and dynamic balancing of Rotor of steam turbine of Naphtha feed pump 68-P 13A/B of Offsite unit at Panipat Naphtha Cracker, Panipat.    ]",IndianOil||Refineries||Panipat Refinery||Contracts,18-Sep-2025 02:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S9A9Rj6OvBn1GZrmz7IWxVQ%3D%3D
2,[DRE025S075 Liningup agency for overhauling of Geysers and installation of prefilter at the inlet of Geysers],IndianOil||Refineries||AOD Digboi||Contracts Section,09-Sep-2025 04:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SXcVtbPNRT7b2Dk6OdbfvJQ%3D%3D
3,[Miscellaneous hot and cold jobs for  DCU SAD and any unplanned Shutdown at DR.],IndianOil||Refineries||AOD Digboi||Contracts Section,15-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S7eTuaZYFrXnnoYKtEv%2BXLA%3D%3D
4,[Operation of Mobile Medical Units (MMUs) in the vicinity of Digboi Refinery Under CSR Indian Oil Arogyam],IndianOil||Refineries||AOD Digboi||Contracts Section,19-Sep-2025 05:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S1O73zJ0QHLIqsJO9UBMjGg%3D%3D
5,[DRE125B093 EXPRESSION OF INTEREST (EOI) FOR  PROCESSING FLUE GAS PRODUCED AT DIGBOI REFINERY FOR CARBON CAPTURE AND UTILIZATION.],IndianOil||Refineries||AOD Digboi||Contracts Section,22-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SztaGr%2B4fUTEcyFygXzdcNQ%3D%3D
6,[nnual Rate Contract (ARC) for up keeping of electrical earthing system at Digboi Refinery Township and Raw water intake and treatment plant Nazirating Digboi.],IndianOil||Refineries||AOD Digboi||Contracts Section,16-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SbB2cCq89S2axVfyBH%2BwQwA%3D%3D
7,[DRE225B091 Annual Rate Contract for various insulation and refractory works at IOCL  Digboi Refinery],IndianOil||Refineries||AOD Digboi||Contracts Section,18-Sep-2025 04:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SrYZnU0SveHJuxhnkUcVVyw%3D%3D
8,"[Providing	Security and	Allied	Services	at Indane Bottling Plant, VIZAG]",IndianOil||Marketing||Telangana and Andhra Pradesh State Office||LPG,15-Sep-2025 10:00 AM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SVs9bcJ01wkkkX8Vmb55fvA%3D%3D
9,[TAPSO/ENG/LT/01/25-26],IndianOil||Marketing||Telangana and Andhra Pradesh State Office||Engineering,15-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SjqiK6KWEX6cvbC96wib87g%3D%3D
10,"[Rate Contract for Transportation of  High Density Ammonium Nitrate Melt for the Sector RCFL Mumbai, to Bulk explosives for a period of 2 years after placement of AOC/AOW (tentative period January 2026 to December 2027)]",IndianOil||Business Development||Contracts,24-Sep-2025 02:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S6SNyFEbDKn0RDH9Vf%2BbHCg%3D%3D
11,[Construction Tanker Offloading Facility at ONGC CTF Ankleshwar Gujarat.],IndianOil||Business Development||Contracts,12-Sep-2025 05:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SNHWU3kdcG5kcJO0brqxVSg%3D%3D
12,[Disposal of Below Utility Material (BSPE/ PEPS)],IndianOil||Business Development||Contracts,15-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SboBuXQLDdkVAwtEOoCB3Uw%3D%3D
13,[Construction of HMT platform and foot-over bridge at Polymer  Terminal PPMC Panipat ],IndianOil||Business Development||Petrochemicals,15-Sep-2025 05:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S%2Fl2Rdxp8kWSCjE5Ww%2B2p3g%3D%3D
14,[Outright Sale of Spent Catalyst at  Bongaigaon Refinery],IndianOil||Refineries||Bongaigaon Refinery||Materials,03-Oct-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SrTUsbNGw%2Bcfca3O4uVLZKA%3D%3D
15,[Supply of Auto-switch cutting tool for DCU-2 Coke Cutting ],IndianOil||Refineries||Bongaigaon Refinery||Materials,11-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SSBDWkW9KIDRz7nJltD5asA%3D%3D
16,[Lining up Linde Engineering India Private Limited for licensor services in HGU PSA],IndianOil||Refineries||Bongaigaon Refinery||Contract,19-Sep-2025 02:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SRJ2NUwDAFwqLVAkxsbN6LA%3D%3D
17,[RATE CONTRACT FOR SUPPLY AND APPLICATION OF PERLITE INSULATION AND REFRACTORY JOBS IN BONGAIGAON REFINERY  IOCL],IndianOil||Refineries||Bongaigaon Refinery||Contract,10-Sep-2025 04:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SimV1%2Fypaq7mZ0ecIHmp9Eg%3D%3D
18,"[Piling, Civil and Structural Works along with associated area development and enabling Works for interconnection Pipe Rack (Package-2) for capacity expansion (to 9.00 MMTPA) Project of Barauni Refinery of Indian Oil Corporation Limited at Barauni]",IndianOil||Refineries||Barauni Refinery||Contract,23-Sep-2025 10:00 AM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SzVX9q17uuAxpKUCLq6nnsQ%3D%3D
19,[ARC FOR REWINDING AND REPAIRING OF LT MOTORS OF BARAUNI REFINERY.],IndianOil||Refineries||Barauni Refinery||Contract,16-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sv4XOxmtgN80U1HMlwLvwjw%3D%3D
20,[ARC for repair and maintenance of Civil and PH Works at Barauni Refinery Township (Part-A and B).],IndianOil||Refineries||Barauni Refinery||Contract,24-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SMzBA%2FD%2FaY%2FvWTDipL%2B7MBg%3D%3D
21,[Repair and maintenance of the damaged drains along the railway track in gantry area at Barauni Refinery.],IndianOil||Refineries||Barauni Refinery||Contract,20-Sep-2025 04:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SRO0bDsdcdIPe%2FqYqtcspyQ%3D%3D
22,"[Contract for Security and Allied Services at Khunti Terminal, Jharkhand from DGR Sponsored Agencies ]",IndianOil||Marketing||Bihar State Office||Operations,12-Sep-2025 06:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SYt1q9QTtvwCx2nPtsUJ6OA%3D%3D
23,[Transportation of Bulk Petroleum Product ATF by Top Loading Tank Trucks Ex Barauni Terminal ],IndianOil||Marketing||Bihar State Office||Operations,17-Sep-2025 09:00 AM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SdzNWM4slVDF%2BFE8N2vnd6A%3D%3D
24,"[Decorative beautification and other allied Works of BSO building reception, Patna.]",IndianOil||Marketing||Bihar State Office||Engineering,11-Sep-2025 05:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S066GpfG8I%2FN2zfFZ7bZ3Zg%3D%3D
25,[Providing Security and Allied Services at Banka LPG Bottling Plant BY DGR SPONSORED AGENCIES ONLY ],IndianOil||Marketing||Bihar State Office||LPG,15-Sep-2025 03:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SrqYGwpFRaOX1nQ1znycWtw%3D%3D
26,"[OFC laying works and liaison works in selected sections of BKPL, HMRBPL and PHBPL under following Groups in ERPL Jurisdiction Gr A PMBPL (CH. Ex Patna)13 Km  BKPL (CH. Ex Barauni)-31 Km BKPL (CH. Ex Barauni) 36 Km Total 80 Km]",IndianOil||Pipelines||ERPL Kolkata||Materials,09-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SdIAuis6FkVc%2Bhqu%2BpVhR5Q%3D%3D
27,"[OFC laying works and liaison works in selected sections of BKPL, HMRBPL and PHBPL under following Groups in ERPL Jurisdiction Gr C BKPL (CH. Ex Barauni) Total 115 Km]",IndianOil||Pipelines||ERPL Kolkata||Materials,09-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SAqm8Si7uIkxC8XyRkDoCrQ%3D%3D
28,"[OFC laying works and liaison works in selected sections of BKPL, HMRBPL and PHBPL under following Groups in ERPL Jurisdiction Gr D BKPL (CH. Ex Barauni) Total 108.95 Km]",IndianOil||Pipelines||ERPL Kolkata||Materials,09-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SMPejE1FewRNeXwsgIPpPQg%3D%3D
29,"[OFC laying works and liaison works in selected sections of BKPL, HMRBPL and PHBPL under following Groups in ERPL Jurisdiction Gr E BKPL (CH. Ex Barauni) Total 107.45 Km]",IndianOil||Pipelines||ERPL Kolkata||Materials,09-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SPUqAmqWyARfLeCGMFkHEgw%3D%3D
30,"[OFC laying works and liaison works in selected sections of BKPL, HMRBPL and PHBPL under following Groups in ERPL Jurisdiction Gr G PHBPL (CH. Ex Haldia) 109.31 km BKPL-HQ Barauni , PHBPL Barauni and BPS Barauni Interconnection 1.6 Km,Total 110.91 Km]",IndianOil||Pipelines||ERPL Kolkata||Materials,09-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S1gfAjBH91g6JXPppwq5Jaw%3D%3D
31,[ROAD TRANSPORTATION OF BULK PETROLEUM PRODUCTS BY BOTTOM LOADING TANK TRUCKS - MS / HSD / BRANDED FUELS EX. KHUNTI TERMINAL UNDER BIHAR STATE OFFICE],IndianOil||Marketing||Eastern Region Office||Contract Cell,15-Sep-2025 11:00 AM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SFWT4jb0IeO7xBf5o92xRWA%3D%3D
32,"[Construction of new A site Retail Outlet with facilities like Sales Building, Canopy, Paver block driveway and other allied civil and electrical works WITHIN 5 KMS OF DONBOK SERVICE STATION (IOCL)TOWARDS, LAITYNGKOT ON NH 206, MEGHALAYA]",IndianOil||Marketing||Eastern Region Office||Contract Cell,10-Sep-2025 05:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S3oteBBfvdB6qFN4Juj%2BVsQ%3D%3D
33,"[CONSTRUCTION OF NEW A SITE RETAIL OUTLET WITH FACILITIES LIKE SALES BUILDING, CANOPY, PAVER BLOCK DRIVEWAY AND OTHER ALLIED CIVIL AND ELECTRICAL WORKS BETWEEN KM STONE 35 AND KM STONE 41 ON NH 6 (NEW) OR, NH 44 (OLD) ON SHILLONG- SILCHAR ROAD]",IndianOil||Marketing||Eastern Region Office||Contract Cell,09-Sep-2025 04:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S6E%2FebqIwFT4G1LfgKqntMg%3D%3D
34,"[Cutting and Transportation of 2 X 100 MT above ground Bullet from Haldwani BP to Silchar BP and re-fabrication, erection, installation, commissioning of 2X100 MT LPG Storage vessels at Silchar Bottling Plant, Indian Oil Corporation Limited.]",IndianOil||Marketing||Eastern Region Office||Contract Cell,09-Sep-2025 05:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SqM6mc9U4HooksRYPXxgjJA%3D%3D
35,"[OSO ENGG-Construction of New A Site RO with facilities like Sales Building, Paver block Canopy, Driveway and other allied civil and electrical works at location From Parjang Chhak to Badajhara on NH-53, District Mayurbhanj under Bhubaneswar DO]",IndianOil||Marketing||Eastern Region Office||Contract Cell,12-Sep-2025 04:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SRSofYAf0BuZ%2BRPq3X%2FD9NQ%3D%3D
36,"[Construction of General Civil Works like dismantling RCC foundation, Brick, PCC etc, Excavation, PCC, Reinforcement, Shuttering, RCC, Backfilling, Finishing Works, etc. for installation of 2X100 MT above ground Bullet at Silchar BP, Assam]",IndianOil||Marketing||Eastern Region Office||Contract Cell,15-Sep-2025 06:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sg7RwtCcr8THJPcybiK7GIg%3D%3D
37,[Construction of NewA Site RO with facilities like Sales Building Paver block Canopy Driveway and other allied civil and electrical works at location WITHIN 10 KM FROM GOVT PRIMARY SCHOOL JHUMPURA TOWARDS ROURKELA ON NH143 of Sambalpur Divisional Offi],IndianOil||Marketing||Eastern Region Office||Contract Cell,09-Sep-2025 06:45 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SpO0p%2FXrWoCmRe2ffDnSF0w%3D%3D
38,[Development of new A site Retail Outlet at BHABANIPUR TO PATHSALA on NH31 Village Niz Bhabanipur Dist Bajali Assam under Guwahati DO],IndianOil||Marketing||Eastern Region Office||Contract Cell,09-Sep-2025 03:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SzIIH4tyM%2FjciBXwLusgzqw%3D%3D
39,[Development of New A site RO at location BETWEEN KASHIKOTRA SIDLI HIGH SCHOOL IN KASHIKOTRA AND BHUTAN MORH IN SAMTHAIBARI ON NH 27 RHS WHILE GOING FROM BONGAIGAON TO SRIRAMPUR Dist CHIRANG ASSAM],IndianOil||Marketing||Eastern Region Office||Contract Cell,11-Sep-2025 02:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S8rJFQK2zNFSf1LfIETb19g%3D%3D
40,[Construction of New A Site Retail Outlet with facilities like Sales Building Paver block Canopy Driveway and other allied civil electrical works at Location CHAKAPADA ON TIKKABALLI CHAKAPADA ROAD District Kandhamal under Bhubaneswar Divisional Offi],IndianOil||Marketing||Eastern Region Office||Contract Cell,12-Sep-2025 03:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SpKmnGr%2BKqNK5QXOl4s31BA%3D%3D
41,"[Construction of New A Site RO with facilities like Sales Building, Paver block, Canopy, Driveway and other allied civil and electrical works at location From Gopinathpur to Nuagada on NH-16 on LHS towards Visakhapatnam Dist Khordha under Bhubanesw]",IndianOil||Marketing||Eastern Region Office||Contract Cell,16-Sep-2025 12:30 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SIPBz9lGY%2Fq7u118euZMgeQ%3D%3D
42,[PROVISION OF PRE-FABRICATED PANEL INSULATION ON COKE DRUMS DURING ONLINE CONDITION IN DCU UNIT AT GUWAHATI REFINERY],IndianOil||Refineries||Guwahati Refinery||Contracts,10-Sep-2025 05:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SLdMxRRn%2FjsZwfO0svuiLUA%3D%3D
43,[SUPPLY AND APPLICATION OF POLYMER BASED SEALING SYSTEM ON ANNULAR PLATE PROJECTION OF TANKS AT IOCL GUWAHATI REFINERY],IndianOil||Refineries||Guwahati Refinery||Contracts,09-Sep-2025 05:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SAKjEih%2FUnfCPydVTiqmm8g%3D%3D
44,"[MODIFICATION OF EXISTING CUPBOARDS AND MODULAR KITCHEN INCLUDING ALLIED CIVIL WORKS IN STAFF QUARTERS OF GUWAHATI REFINERY TOWNSHIP SECTOR-1,2 AND 3]",IndianOil||Refineries||Guwahati Refinery||Contracts,12-Sep-2025 12:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SBzj3QqXiWFoe9FH8DjdNBw%3D%3D
45,[CIVIL WORKS FOR PROVIDING MONKEY CAGE TO PROTECT WATER  TANKS OF GUWAHATI REFINERY TOWNSHIP SECTOR-2],IndianOil||Refineries||Guwahati Refinery||Contracts,18-Sep-2025 05:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SXeXVXoS7kbHkWxBh8g4WlA%3D%3D
46,[SERVOXPERT BRANDING WORKS UNDER GUJARAT STATE OFFICE],IndianOil||Marketing||Gujarat State Office||Ahmedabad DO,10-Sep-2025 09:00 AM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SBLZTO5QIZX%2BOrGGvocvkfA%3D%3D
47,[Development of Apna Ghar Facilities at M/s Pramukhraj Petroleum under Surat East RSA of Surat Divisional Office of Gujarat State Office],IndianOil||Marketing||Gujarat State Office||Engineering,10-Sep-2025 02:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SY56duKdTDcsVKojLBh4HwA%3D%3D
48,[Fixing of louvers in doors of substations at Haldia Refinery],IndianOil||Refineries||Haldia Refinery||Contracts,16-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S5Ro9SNPE6eYmGa%2FfShAKSw%3D%3D
49,[Lining up of a Power Trading Agency for Evacuation of 30 MW Renewable Energy (RE) Power on Round the Clock (RTC) Basis Generated from Indian Oil NTPC Green Energy Pvt Ltd (INGEL) to 132 KV Grid Power Intake at IOCL Haldia Refinery using Inter State T],IndianOil||Refineries||Haldia Refinery||Contracts,16-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SPBVq45ijIpYGxmKLmUnQ4Q%3D%3D
50,"[Civil interior and renovation jobs along with Electrical works inside Type-IV and V Quarters in Haldia Refinery Township (Phase-IX), (Part A and Part B)]",IndianOil||Refineries||Haldia Refinery||Contracts,10-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SFZtkdAbUvPkh7fQ6rjDwOQ%3D%3D
51,[Repair and modification works of false ceiling in Haldia Refinery],IndianOil||Refineries||Haldia Refinery||Contracts,09-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=StpRQc30%2BGlVFJmky2Ndgdg%3D%3D
52,[Construction of New Drain Facilities of CDW-II Unit (from CDW-II unit to ETP) at IOCL Haldia Refinery],IndianOil||Refineries||Haldia Refinery||Contracts,17-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SDhbiFCsZsXKqbVpvS50%2B%2BQ%3D%3D
53,"[Development of existing Storage Yard near BS-VI and DYIP Guard Pond area, Haldia Refinery]",IndianOil||Refineries||Haldia Refinery||Contracts,10-Sep-2025 03:00 PM,https://iocletenders.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S5XOyJRIeKFouhvylfazhYA%3D%3D
