Serial Number,Title,Organisation,Closing Date,Link
1,[NON COMPREHENSSIVE BIENNIAL RATE CONTRACT FOR DI DR OF EPM ALTERNATOR OF UNDER],Mazagon Dock Shipbuilders Limited||Submarine and Heavy Engineering Div - MDL||EY Commercial - MDL,15-Oct-2025 12:00 PM,https://eprocuremdl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SE3C5G4x%2FWQ0ql4iRkheZkQ%3D%3D
2,[Design Development and Manufacturing of],Mazagon Dock Shipbuilders Limited||Submarine and Heavy Engineering Div - MDL||EY Commercial - MDL,11-Sep-2025 12:00 PM,https://eprocuremdl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SlQTtzQwkVWJqlxjp46hDUA%3D%3D
3,"[Design, Manufacturing, Supply, Erection, Installation, Testing, and Commissioning of 01 no 150 20T Level Luffing LL Jib Crane at Alcock Yard, MDL.]",Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Outsourcing - MDL,16-Sep-2025 03:30 PM,https://eprocuremdl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SH0pEtEH4dk64bAwYGGX2sg%3D%3D
4,[Replacement of Bearing Alternators Port and STBD],Mazagon Dock Shipbuilders Limited||Submarine and Heavy Engineering Div - MDL||EY Commercial - MDL,12-Sep-2025 12:00 PM,https://eprocuremdl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SDVh5g3ndze2mzXCMOQ2j5g%3D%3D
5,[Diving Equipment and Accessories],Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Commecial-Naval Project - MDL||C-P15B - MDL,16-Sep-2025 02:00 PM,https://eprocuremdl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SQiqfgNz5BGegzGy0k27ajw%3D%3D
6,[PROCUREMENT OF AC PLANT AND HVAC SYSTEM FOR 6 NGOPVS],Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Commecial-Naval Project - MDL||C-P15B - MDL,15-Sep-2025 02:00 PM,https://eprocuremdl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sz3%2FIKFRGRqa4WDrkvmwSiw%3D%3D
7,"[ PROCUREMENT OF PE PIPES, VALVES AND FITTINGS FOR PROJECT 7500 DWT MULTI PURPOSE DRY CARGO VESSEL]",Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Commecial-Naval Project - MDL||C-P17A - MDL,18-Sep-2025 02:00 PM,https://eprocuremdl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SlNAUKLyuP%2B2Yidb22dRqvg%3D%3D
8,"[Modernization of 6th floor, OTS Department, North Block 1, NY, MDL, Mumbai]",Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Outsourcing - MDL,10-Sep-2025 03:30 PM,https://eprocuremdl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SXn69ODKSJB7cc04%2B%2BL6dFQ%3D%3D
9,[Centrifugal Pumps for 06 NGOPVS],Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Commecial-Naval Project - MDL||C-P15B - MDL,12-Sep-2025 02:00 PM,https://eprocuremdl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SZKm%2BPFYQibexVF5Y9UBbyQ%3D%3D
10,[135 KW EDA for CTS and NGOPVs],Mazagon Dock Shipbuilders Limited||Ship Building Division - MDL||Commecial-Naval Project - MDL||C-P15B - MDL,12-Sep-2025 02:00 PM,https://eprocuremdl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SBafXPg%2F%2BkZi20hir7je3%2FQ%3D%3D
