Serial Number,Title,Organisation,Closing Date,Link
1,[Power Transformers Package for Telangana STPP-II (3 X 800MW)],NTPC Limited||Corporate Centre||Corporate Contracts,11-Sep-2025 11:00 AM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=StAt0X9i3OoKQTen3SdZv%2FQ%3D%3D
2,[ANDAMAN and NICOBAR GAS ENGINE POWER PROJECT],NTPC Vidyut Vyapar Nigam Limited,22-Oct-2025 05:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SEn%2F0deN56YisSeN08wFWeA%3D%3D
3,[AMC OF FOWLER WESTRUP MAKE TRANSFORMER FILTER MACHINE OF BRBCL NABINAGAR],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,16-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S7R4BURZBbr971aVXUEHHYQ%3D%3D
4,[Construction of Additional Field Hostel in BRBCL Township at the risk],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,17-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SgLBfXmwACZe1b0mg7G5L6g%3D%3D
5,[Biennial maintenance Contract of ABB Make CALDOS 27 Generator Hydrogen meter],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,15-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SlWBCcZZy7cru10XyT9qKkw%3D%3D
6,[Construction of Balance Civil Works of Ash Water Recirculation System],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,19-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SINZmb6aIhuvU1a7C8p3hGA%3D%3D
7,[Hiring of poclain for 24 hrs with operator and a semi skilled worker for Unloading of coal from Railway BOXN wagons and other miscellaneous works],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,09-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SnjaTEW29R53vqENt%2FS55Ww%3D%3D
8,[procurement of isolation transformer and isolation stud for Electircal],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,09-Sep-2025 05:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SdsVCj6W50Qzj9B%2BUWt0rYg%3D%3D
9,[Procurement of Silo Telescopic Chute Complete Assy for AHP BRBCL],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,09-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S3BjeUmiz6sYoZILx0CjVrQ%3D%3D
10,[Procurement of reflective jackets],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,09-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SmIay91sSzs9tKfBy80oIyg%3D%3D
11,[Civil works for AC and Ventilation Systems in TG and ESP VFD Civil works in Cable Galleries and Civil works in A Row Staircase at BRBCL Plant],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,09-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SZCDy5WyHd6c8urgql6fB3A%3D%3D
12,[TMC ATTEND BREAKDOWN OF SCADA SYSTEM FOR 400 132 KV SWITCHYARD and GRP AT BRBCL NABINAGAR],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,11-Sep-2025 02:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S0Iuad8yfDDm1tLRNSsqAcw%3D%3D
13,[Procurement of HACH make Silica Analyser for DM Plant],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,09-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S0HtMJy11VSMG%2BzYgy7cOaA%3D%3D
14,[Third Party Electrical Protection Audit and Review of Electrical Systems BRBCL NABINAGAR],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,18-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SEiSLwuLE%2BarmCLoyMPHIUA%3D%3D
15,[Completion of raising of height of Township Boundary wall and club open Stage works at the risk and cost of Ms K S Construction],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,15-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S6h0CbD41hRfHzit62IerjA%3D%3D
16,[PROCUREMENT OF LT MOTOR FOR FOPH PUMP HOUSE],Bhartiya Rail Bijlee Company Limited||Nabinagar Thermal Power Project - BRBCL,09-Sep-2025 05:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SG6%2B%2Bx0OcusnJctbDZsa4xA%3D%3D
