S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
1,2025_YIL_249302_1,1,Private Security Guards ,Yantra India Limited||METAL AND STEEL FACTORY - 24 PARGANAS,AOC,https://etenders.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SWQkBjCCcrE18ySx4AioUNw%3D%3D
2,2025_YIL_239185_1,1,Term Contract for artificers work for OFA Quarters as per MES SSR 2020 for the year 2025-26 at East Ordnance Estate Ambernath,Yantra India Limited||ORDNANCE FACTORY AMBERNATH - MUMBAI,AOC,https://etenders.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SzafxEqqbNIJ4d%2FISgk6kxA%3D%3D
3,2025_YIL_239182_1,1,Term Contract for artificers work for OFA Quarters as per MES SSR 2020 for the year 2025-26 at West Ordnance Estate Ambernath,Yantra India Limited||ORDNANCE FACTORY AMBERNATH - MUMBAI,AOC,https://etenders.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S2dyUvHVv6n2O2yCc%2FFgtNw%3D%3D
4,2025_YIL_239174_1,1,Term Contract for artificers work for Production Buildings as per MES SSR 2020 for the year 2025-26 at Ordnance Factory Ambernath.,Yantra India Limited||ORDNANCE FACTORY AMBERNATH - MUMBAI,AOC,https://etenders.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SHuJqaUd18H6px4thsNvBhg%3D%3D
5,2025_YIL_239153_1,1,Term Contract for artificers work for Non-Production and Office Buildings as per MES SSR 2020 for the year 2025-26 at Ordnance Factory Ambernath,Yantra India Limited||ORDNANCE FACTORY AMBERNATH - MUMBAI,AOC,https://etenders.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S8lbCWTTGRxeu08tgvDaq4Q%3D%3D
6,2025_YIL_234322_1,1,RENOVATION OF NRM SECTION (BLDG NO 256) INSIDE MSF ISHAPORE.,Yantra India Limited||METAL AND STEEL FACTORY - 24 PARGANAS,AOC,https://etenders.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SEYNUvON%2FDNcBPSKsR9qaMw%3D%3D
7,2025_YIL_233366_1,1,"Term Contract for Civil maintenance works for all production sections ,different offices and other civil structures at Ferrous areas inside MSF, Ishapore.",Yantra India Limited||METAL AND STEEL FACTORY - 24 PARGANAS,AOC,https://etenders.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SnxnMEBAs3yCRyrFHTdnUQQ%3D%3D
8,2025_YIL_233085_1,1,"Repairing/ renovation of 7th Bay of Pinaka Shop to Railway Axle machining shop inside MSF, Ishapore",Yantra India Limited||METAL AND STEEL FACTORY - 24 PARGANAS,AOC,https://etenders.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SnfKX1aG90bI2qRoAlxXUFw%3D%3D
9,2025_YIL_232189_1,1,"Term Contract for civil and Joinery maintenance works at Ty-III, Ty-IV and Ty-V  Quarters at Park  Estate of MSF Ishapore.",Yantra India Limited||METAL AND STEEL FACTORY - 24 PARGANAS,AOC,https://etenders.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SKdltttNTHfEiGa%2FEmzVCqg%3D%3D
10,2025_YIL_230619_1,1,Hiring of Private Security Services for OFA as per Scope of Work as per Annexure A for a period of one year,Yantra India Limited||ORDNANCE FACTORY AMBERNATH - MUMBAI,AOC,https://etenders.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S0IfzORK167wolxbKeJMbng%3D%3D
11,2025_WAPCO_224205_1,1,"RfQ for Shortlisting of the Agencies for the work of Engineering, Procurement and Construction for Development of IIM Mumbai",WAPCOS Limited||Centre for Infrastructure Development,AOC,https://etenders.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SfNrA9TK294Cx4mLP6k2E5g%3D%3D
12,2025_VPT_233990_1,1,Selection of Independent Engineer for Providing Engineering Consultancy Services for Revamping of existing West Quay 6 terminal in VPA,Visakhapatnam Port Trust||Civil Engineering - VPT||SE CP Division - VPT,AOC,https://etenders.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SySy%2BYFAjWmaxxNSkjBO4OQ%3D%3D
13,2025_VPT_225767_1,1,Allotment of land on long term lease annual lease rental basis of 30 years on as is where is basis in Zone-Z-9 Plot 430 M2 situated at old Sarada Mahila Samajam at Harbour Park area under non port related activities-2nd call,Visakhapatnam Port Trust||Civil Engineering - VPT,AOC,https://etenders.gov.in/eprocure/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sx%2B4dFUbI4CtTQDQeiz55JQ%3D%3D
