S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
1,2024_RDPRI_16855_1,1,MANPOWER SUPPLY,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Rangat/Panchayat Samiti Rangat||Rangat Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SlgR%2BNzVqruwjyzHfIY2kzg%3D%3D
2,2024_RDPRI_16355_1,1,Hire of Vehicle for transpotation of wastes under GPRN,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Little Andaman/Panchayat Samiti L. A||Rabindranagar Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=ScUi8VfwfZRTawQqDZOUBqQ%3D%3D
3,2024_DSW_16746_1,1,Supply of Supplementary Nutrition Programme Articles,Directorate Of Social Welfare||Child Development Project Office - Urban Project,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SQekKNyt7GH6eX5j%2F22zUAg%3D%3D
4,2024_DFODP_16208_1,1,"Construction of Permanent Structure Net Shed at Central Nursery, Kishorinagar under Paschimsagar Range",Department of Environment and Forests||Office of Divisional Forest Officer Diglipur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SurbIL8ce%2Fgcbc94NqsX2Bg%3D%3D
5,2024_DFOBT_16349_1,1,Renovation and up gradation of Type-III Quarter No P/BT-25 at Nilambur Range Baratang Division,Department of Environment and Forests||Office of Divisional Forest Officer Baratang,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SWIq%2BfTMJscWVAsB4xpAd6w%3D%3D
6,2024_DFOBT_16347_1,1,Replacement of old Asbestos Plain Sheet Ceiling and fixing false ceiling and modification of Wash Room at DFO Chamber Nilambur Range Baratang Division,Department of Environment and Forests||Office of Divisional Forest Officer Baratang,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S3uhSGtBsFau%2BevoE6FTQ1g%3D%3D
1,2025_RDPRI_17658_1,1,Hire of Vehicle for transpotation of wastes under GP Ramkrishnapur,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Little Andaman/Panchayat Samiti L. A||Ramakrishnapur Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S13e6KcWLmTnW1RSoQQNQnQ%3D%3D
2,2025_RDPRI_17657_1,1,Supply of manpower for sanitation work under GP Ramkrishnapur,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Little Andaman/Panchayat Samiti L. A||Ramakrishnapur Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SKSos3Ny%2BkZSplLPDubIW7w%3D%3D
3,2025_RDPRI_17168_1,1,"Engaging of workers on as and when required basis for sanitation works,door to door collection of garbage from household,commercial and other establishments loading unloading at cluster cleanings collection of user fee under GP Sundergarh Baratang",DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Rangat/Panchayat Samiti Rangat||Sundergarh Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SK0dmGIuuYfY3Lyw9wpAUOg%3D%3D
4,2025_ANP_17754_1,1,National Cybercrime Helpline no.1930 setup,Andaman and Nicobar Police||Superintendent of Police CID,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SNnnYzv6qTApdy6tmR29jLg%3D%3D
1,2025_RDPRI_17214_1,1,SUPPLY OF VEHICLE FOR GARBAGE COLLECTION AND TRANSPORTATION UNDER GP KALIGHAT,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Diglipur/Panchayat Samiti Diglipur||Subhasgram Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SqTEZ3RPJgwvQrpD0piqmQQ%3D%3D
2,2025_ANIIT_17213_1,1,"Annual Contract for supply of Fruits and Vegetables to Dolphin Beach Resort, Swaraj Dweep",Andaman and Nicobar Islands Integrated Development Corporation Limited (ANIIDCO)||IT,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SbkSGzH3hqZVGX%2F6aQSqaxA%3D%3D
1,2025_APWD_17081_1,1,Renovation of 04 Nos Type I Qtr No149 to 152 DS by replacing roofing ceiling doors windows and providing tiles under SDIII CDII APWD Prothrapur,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SAQHPsM0J1vjhNWL7YOyd9A%3D%3D
2,2024_RDPRI_17009_1,1,"AMC of Street light under Gram Panchayat, Campbell Bay, Great Nicobar Islands ",DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Campbell Bay/Panch Samiti C.Bay||Campbell Bay Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S5Ibe2tvN6NAswtLoJfN7Rw%3D%3D
3,2024_APWD_17018_1,1,"Construction of RCC Box Culvert and CC Drain behind MSME office and along the road existing between Plot No. 117 and Plot No. 120 under CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S9TbRwAUWmqol3VhHL4wCqw%3D%3D
4,2024_APWD_17016_1,1,"Repair and maintenance of Non-Residential building of PHED office under SD-III, CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SE2lAVGOja6yRaGOWVpIijg%3D%3D
5,2024_APWD_16948_1,1,"Construction of protection wall in the land sliding Zone which exists from Plot No. 124, 128, 121 and 117 at Industrial Estate, Dollygunj under CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sg58ixuHS9Tjqp81sG%2FmvSA%3D%3D
6,2024_APWD_16889_1,1,"Repair and renovation of 16 Nos. Ty-II Qtr. No. 145 to 148 (D-S) 213 to 218 (T-S) and 219 to 224 (T-S) at Satellite Township Colony under SD-III, CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S1l26HQzt0Y9YUqig9YEyFg%3D%3D
7,2024_APWD_16540_1,1,Renovation of existing toilet block near shed No. A-6 and A-7 at Industrial Estate Dollygunj.,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S6848uCxlvMg787F2a9piHQ%3D%3D
